datetime,actual_power,predicted_power,corrected_average_wind,original_average_wind,error,abs_error,original_gfs_10m,original_ec_10m
2022-09-21 09:00:00,33.5131,70.63875832753662,7.247468491284215,8.094692,37.12565832753662,37.12565832753662,8.193626,7.995758
2022-09-21 09:15:00,20.0866,70.63875832753662,7.247468491284215,8.0218405,50.55215832753662,50.55215832753662,8.257906,7.785775
2022-09-21 09:30:00,22.4074,70.63875832753662,7.196099364423098,7.9023555000000005,48.231358327536626,48.231358327536626,8.213424,7.591287
2022-09-21 09:45:00,23.2514,70.63875832753662,7.196099364423098,7.89630225,47.38735832753662,47.38735832753662,8.163282,7.6293225
2022-09-21 10:00:00,23.2514,65.18668708430593,7.218968373242744,7.97401165,41.935287084305926,41.935287084305926,8.093997,7.8540263
2022-09-21 10:15:00,30.3426,65.18668708430593,7.218968373242744,7.9851905,34.844087084305926,34.844087084305926,8.021162,7.949219
2022-09-21 10:30:00,34.5262,65.18668708430593,7.142650383137868,7.92901135,30.660487084305927,30.660487084305927,7.968029,7.8899937
2022-09-21 10:45:00,36.6694,65.18668708430593,7.142650383137868,7.8544887,28.517287084305927,28.517287084305927,7.929013,7.7799644
2022-09-21 11:00:00,32.3729,60.77216554981894,7.087632155982835,7.7794823,28.399265549818942,28.399265549818942,7.8762336,7.682731
2022-09-21 11:15:00,25.6469,57.87580205281477,6.992031670281401,7.6924975,32.228902052814774,32.228902052814774,7.796091,7.588904
2022-09-21 11:30:00,23.9653,57.87580205281477,6.992031670281401,7.581029,33.91050205281477,33.91050205281477,7.700757,7.461301
2022-09-21 11:45:00,23.9653,57.87580205281477,6.875784015441887,7.4736448,33.91050205281477,33.91050205281477,7.604047,7.3432426
2022-09-21 12:00:00,26.2031,57.87580205281477,6.799838777324322,7.3535395,31.67270205281477,31.67270205281477,7.472007,7.235072
2022-09-21 12:15:00,25.8834,56.42740782831904,6.772283762244732,7.23276735,30.54400782831904,30.54400782831904,7.3002954,7.1652393
2022-09-21 12:30:00,24.9343,56.344215693026825,6.742614188019848,7.11243345,31.409915693026825,31.409915693026825,7.1124153,7.1124516
2022-09-21 12:45:00,22.9104,56.344215693026825,6.637634976420849,6.9834647499999996,33.43381569302683,33.43381569302683,6.8921638,7.0747657
2022-09-21 13:00:00,22.9104,57.792609917522554,6.943417724554459,6.87178085,34.88220991752256,34.88220991752256,6.6813054,7.0622563
2022-09-21 13:15:00,28.2533,57.87580205281477,6.907525456679732,6.807128649999999,29.62250205281477,29.62250205281477,6.4919486,7.1223087
2022-09-21 13:30:00,33.6566,57.87580205281477,6.907525456679732,6.7495428,24.219202052814772,24.219202052814772,6.3169346,7.182151
2022-09-21 13:45:00,39.6723,57.87580205281477,6.907525456679732,6.707891,18.20350205281477,18.20350205281477,6.203081,7.212701
2022-09-21 14:00:00,45.8101,57.87580205281477,6.95589111634772,6.71558935,12.065702052814771,12.065702052814771,6.1292577,7.301921
2022-09-21 14:15:00,47.2487,57.87580205281477,6.95589111634772,6.7296193,10.62710205281477,10.62710205281477,6.09829,7.3609486
2022-09-21 14:30:00,43.988,57.87580205281477,6.95589111634772,6.6761820499999995,13.88780205281477,13.88780205281477,6.0406275,7.3117366
2022-09-21 14:45:00,51.7455,58.66445594677966,6.95589111634772,6.65583485,6.918955946779661,6.918955946779661,5.934749,7.3769207
2022-09-21 15:00:00,62.6715,58.66445594677966,6.921574455607099,6.6603008,-4.007044053220341,4.007044053220341,5.853706,7.4668956
2022-09-21 15:15:00,71.2652,58.66445594677966,6.921574455607099,6.6863385,-12.600744053220332,12.600744053220332,5.786383,7.586294
2022-09-21 15:30:00,68.923,58.66445594677966,6.921574455607099,6.6860117,-10.25854405322034,10.25854405322034,5.7151604,7.656863
2022-09-21 15:45:00,62.5152,58.66445594677966,6.921574455607099,6.626014,-3.850744053220339,3.850744053220339,5.57717,7.674858
2022-09-21 16:00:00,60.1851,59.08050023093197,6.870154351587361,6.49268175,-1.104599769068031,1.104599769068031,5.3712735,7.61409
2022-09-21 16:15:00,60.1851,57.63210600643624,6.649104498701528,6.3483754999999995,-2.55299399356376,2.55299399356376,5.133964,7.562787
2022-09-21 16:30:00,60.1851,53.96500733582573,6.334345958837562,6.1749737499999995,-6.220092664174267,6.220092664174267,4.9079595,7.441988
2022-09-21 16:45:00,60.1851,50.25068971065602,6.130943372233259,5.968306500000001,-9.93441028934398,9.93441028934398,4.692775,7.243838
2022-09-21 17:00:00,55.5675,50.25068971065602,6.041070911802811,5.72129155,-5.316810289343984,5.316810289343984,4.4811125,6.9614706
2022-09-21 17:15:00,38.7559,48.06512198639414,5.862986248352843,5.44101,9.309221986394142,9.309221986394142,4.2302923,6.6517277
2022-09-21 17:30:00,28.1077,47.408916490719406,5.862986248352843,5.15210045,19.301216490719405,19.301216490719405,3.9457579,6.358443
2022-09-21 17:45:00,26.4446,39.64068866814653,5.670829735294661,4.8618863,13.19608866814653,13.19608866814653,3.617087,6.1066856
2022-09-21 18:00:00,25.0764,49.67877552416127,5.649029647902108,4.5882667999999995,24.602375524161268,24.602375524161268,3.2733736,5.90316
2022-09-21 18:15:00,8.6527,45.71871192562639,5.343291306075084,4.3117816,37.066011925626384,37.066011925626384,2.9548762,5.668687
2022-09-21 18:30:00,8.6527,40.298020114784116,5.0624079847521735,3.9014782500000003,31.645320114784116,31.645320114784116,2.7040145,5.098942
2022-09-21 18:45:00,6.6238,35.61501551962186,4.809131845098638,3.2496785,28.991215519621864,28.991215519621864,2.480526,4.018831
2022-09-21 19:00:00,1.0443,29.012202584538652,4.545843697741118,2.72633595,27.967902584538653,27.967902584538653,1.8759147,3.5767572
2022-09-21 19:15:00,0.0,26.788809393943218,4.484567367212014,2.78976445,26.788809393943218,26.788809393943218,1.9896234,3.5899055
2022-09-21 19:30:00,0.0,25.583525087651672,4.484567367212014,2.68955775,25.583525087651672,25.583525087651672,1.935243,3.4438725
2022-09-21 19:45:00,0.0,24.54163087821427,4.279369426616749,2.5256131,24.54163087821427,24.54163087821427,1.8562384,3.1949878
