datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,original_forecast_wind,observed_wind,corrected_wind_speed,error,abs_error
2022-07-23 13:00:00,35.3701,49.65141152192247,6.179054052093548,38.180708978693694,235.92066452660177,13,7,1,5.674924131336869,4.388979047342863,6.419657,5.4,6.179054052093548,14.281311521922468,14.281311521922468
2022-07-23 13:15:00,36.9017,52.12068342423228,6.173269171831261,38.10925226788222,235.25867218685786,13,7,1,6.179054052093548,4.394762619417623,6.3110423,5.56,6.173269171831261,15.218983424232285,15.218983424232285
2022-07-23 13:30:00,32.9029,52.12068342423228,6.186970220871553,38.27860051395139,236.82856147645575,13,7,1,6.173269171831261,4.394762619417623,6.213376,5.74,6.186970220871553,19.21778342423228,19.21778342423228
2022-07-23 13:45:00,28.568,48.97855497160077,6.0036378777951835,36.04366776769705,216.3931290648114,13,7,1,6.186970220871553,4.301767628292239,6.0721383,5.08,6.0036378777951835,20.41055497160077,20.41055497160077
2022-07-23 14:00:00,24.317,47.28316396394764,6.049947768174828,36.60186799764359,221.43938960337346,14,7,1,6.0036378777951835,4.535595235927511,5.9165626,6.14,6.049947768174828,22.966163963947643,22.966163963947643
2022-07-23 14:15:00,24.317,43.58038551502685,5.95801930680364,35.49799406024492,211.49773396374016,14,7,1,6.049947768174828,4.364129013637043,5.8856807,4.34,5.95801930680364,19.263385515026847,19.263385515026847
2022-07-23 14:30:00,42.7121,42.80650462037016,5.959712668956724,35.51817509652328,211.67811810097302,14,7,1,5.95801930680364,4.523179825106817,5.8895917,6.83,5.959712668956724,0.09440462037016317,0.09440462037016317
2022-07-23 14:45:00,45.2773,42.80650462037016,5.959712668956724,35.51817509652328,211.67811810097302,14,7,1,5.959712668956724,4.82331730901367,5.8915954,5.83,5.959712668956724,-2.470795379629834,2.470795379629834
2022-07-23 15:00:00,37.0296,46.50928306929095,6.0253702623848024,36.305086798831105,218.751590370976,15,7,1,5.959712668956724,4.861647524699341,5.887386,6.36,6.0253702623848024,9.47968306929095,9.47968306929095
2022-07-23 15:15:00,40.7294,43.58038551502685,5.925833431692421,35.115501860163576,208.08861489361473,15,7,1,6.0253702623848024,4.839888064149225,5.817884,5.45,5.925833431692421,2.8509855150268493,2.8509855150268493
2022-07-23 15:30:00,29.8205,42.80650462037016,5.649052769426149,31.91179719176124,180.27142630348445,15,7,1,5.925833431692421,4.743988741041112,5.7053156,4.75,5.649052769426149,12.986004620370164,12.986004620370164
2022-07-23 15:45:00,22.4522,41.94104944570216,5.573826025782907,31.067536565694873,173.1650438668322,15,7,1,5.649052769426149,4.755537502417686,5.576822,5.1,5.573826025782907,19.48884944570216,19.48884944570216
2022-07-23 16:00:00,32.0852,41.94104944570216,5.573826025782907,31.067536565694873,173.1650438668322,16,7,1,5.573826025782907,5.179087412410552,5.463823,4.48,5.573826025782907,9.855849445702162,9.855849445702162
2022-07-23 16:15:00,35.8873,41.94104944570216,5.468174336949396,29.900930579271964,163.5035012444804,16,7,1,5.573826025782907,5.10760744084885,5.319483,5.5,5.468174336949396,6.0537494457021594,6.0537494457021594
2022-07-23 16:30:00,37.0466,40.58991580479085,5.389173772753586,29.04319395293512,156.5188191281535,16,7,1,5.468174336949396,5.10760744084885,5.104866,4.55,5.389173772753586,3.5433158047908506,3.5433158047908506
2022-07-23 16:45:00,37.3599,39.213713746666414,5.385076066387713,28.999044240781764,156.1620590891523,16,7,1,5.389173772753586,5.10760744084885,4.9449115,4.73,5.385076066387713,1.853813746666411,1.853813746666411
2022-07-23 17:00:00,41.6863,40.56484738757773,5.474307635505032,29.968044088148698,164.05429257290385,17,7,1,5.385076066387713,5.601969183543072,4.810526,6.02,5.474307635505032,-1.1214526124222743,1.1214526124222743
2022-07-23 17:15:00,41.6863,40.95701199337406,5.396973277298031,29.127320555869048,157.19937067931886,17,7,1,5.474307635505032,5.601969183543072,4.6540365,5.61,5.396973277298031,-0.7292880066259428,0.7292880066259428
2022-07-23 17:30:00,41.7715,41.43030256224573,5.650333433294187,31.926267907402075,180.3940589575012,17,7,1,5.396973277298031,5.64134952070082,4.515516,5.61,5.650333433294187,-0.3411974377542748,0.3411974377542748
2022-07-23 17:45:00,42.0059,42.80650462037016,5.650333433294187,31.926267907402075,180.3940589575012,17,7,1,5.650333433294187,5.655050569741112,4.3848286,6.95,5.650333433294187,0.8006046203701658,0.8006046203701658
2022-07-23 18:00:00,41.4241,49.970652326675406,5.650333433294187,31.926267907402075,180.3940589575012,18,7,0,5.650333433294187,5.635543794179121,4.237573,5.83,5.650333433294187,8.546552326675403,8.546552326675403
2022-07-23 18:15:00,41.3346,47.20679130931093,5.265270816657865,27.723076772748982,145.96950707952072,18,7,0,5.650333433294187,5.615077800992193,4.1239295,6.14,5.265270816657865,5.872191309310928,5.872191309310928
2022-07-23 18:30:00,42.5729,44.921350668368376,5.265270816657865,27.723076772748982,145.96950707952072,18,7,0,5.265270816657865,5.628778850032485,4.0528083,5.71,5.265270816657865,2.348450668368379,2.348450668368379
2022-07-23 18:45:00,59.908,39.875319738488685,4.9954595038300695,24.954615654406165,124.6597719352299,18,7,0,5.265270816657865,5.674924131336869,3.99769,6.2,4.9954595038300695,-20.032680261511317,20.032680261511317
2022-07-23 19:00:00,42.4428,37.608434022869,4.900797713883849,24.01781823240916,117.70646868586863,19,7,0,4.9954595038300695,6.179054052093548,3.8980389,5.29,4.900797713883849,-4.834365977131,4.834365977131
2022-07-23 19:15:00,36.0848,37.608434022869,4.900797713883849,24.01781823240916,117.70646868586863,19,7,0,4.900797713883849,6.173269171831261,3.731085,5.23,4.900797713883849,1.5236340228689969,1.5236340228689969
2022-07-23 19:30:00,36.0706,37.608434022869,4.900797713883849,24.01781823240916,117.70646868586863,19,7,0,4.900797713883849,6.186970220871553,3.5361774,4.47,4.900797713883849,1.5378340228689993,1.5378340228689993
2022-07-23 19:45:00,29.2877,34.71454129219251,4.871265876408101,23.729231238657984,115.59139440627177,19,7,0,4.900797713883849,6.0036378777951835,3.203036,4.4,4.871265876408101,5.426841292192506,5.426841292192506
2022-07-23 20:00:00,28.8032,32.39466915275614,4.660538357702978,21.720617783620774,101.22977233357005,20,7,0,4.871265876408101,6.049947768174828,2.1100132,4.4,4.660538357702978,3.5914691527561367,3.5914691527561367
2022-07-23 20:15:00,28.4593,31.4709627558909,4.643313493829841,21.560360201982284,100.11151145769622,20,7,0,4.660538357702978,5.95801930680364,2.2754035,5.42,4.643313493829841,3.0116627558908995,3.0116627558908995
2022-07-23 20:30:00,26.2244,31.4709627558909,4.643313493829841,21.560360201982284,100.11151145769622,20,7,0,4.643313493829841,5.959712668956724,2.4144404,4.94,4.643313493829841,5.246562755890899,5.246562755890899
2022-07-23 20:45:00,26.1136,31.4709627558909,4.643313493829841,21.560360201982284,100.11151145769622,20,7,0,4.643313493829841,5.959712668956724,2.5218012,4.78,4.643313493829841,5.357362755890897,5.357362755890897
