Feature,SHAP_Importance,SHAP_Std
obs_wind_speed_10m,19.92065100117005,12.832246307959343
obs_wind_speed_70m,8.43558205131888,5.5490076863722155
obs_wind_speed_50m,4.975239206153715,3.4951059868515313
obs_temperature_10m,2.639760138159417,3.6653135568856543
obs_wind_speed_30m,1.3818175560611692,1.6760643478525301
obs_wind_dir_sin_50m,1.0915388367721868,1.0774380257118266
obs_wind_dir_sin_70m,1.061999949552452,1.013403692793925
obs_wind_dir_cos_50m,0.9728259418364705,1.3710629605868054
obs_wind_dir_cos_70m,0.9229015616960644,1.007003920985803
obs_wind_dir_sin_10m,0.7164175992613364,0.8923600489787787
obs_wind_dir_sin_30m,0.6027747868241755,0.5972032853902057
obs_wind_dir_cos_10m,0.5621041044182404,0.7497841258971616
obs_wind_dir_cos_30m,0.544670257043301,0.8445867063413293
