datetime,actual_power,predicted_power,wind_speed,wind_speed_2,wind_speed_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,error,abs_error
2022-10-29 05:15:00,0.67,25.35268889919097,4.5274806,20.498080583376357,92.80466217847312,5,10,0,4.2949357,7.6129227,24.682688899190968,24.682688899190968
2022-10-29 05:30:00,0.51,25.35268889919097,4.612558,21.275691303364,98.13536012686204,5,10,0,4.5274806,7.441514,24.842688899190968,24.842688899190968
2022-10-29 05:45:00,0.55,25.35268889919097,4.538642,20.599271204164,93.49271745660933,5,10,0,4.612558,7.19218,24.80268889919097,24.80268889919097
2022-10-29 06:00:00,0.55,24.99549125344863,4.2220516,17.82571971306256,75.26110843568735,6,10,1,4.538642,7.68333,24.44549125344863,24.44549125344863
2022-10-29 06:15:00,0.0,23.563754872022304,3.3072484,10.937891979302561,36.17432574792123,6,10,1,4.2220516,7.760983,23.563754872022304,23.563754872022304
2022-10-29 06:30:00,0.0,22.381675475014116,2.6823394,7.1949446567923605,19.299283533733625,6,10,1,3.3072484,7.859138,22.381675475014116,22.381675475014116
2022-10-29 06:45:00,0.0,22.381675475014116,2.5629346,6.568633763877161,16.834978748169007,6,10,1,2.6823394,7.7231603,22.381675475014116,22.381675475014116
2022-10-29 07:00:00,0.0,22.381675475014116,2.7044501,7.314050343390009,19.780484182586143,7,10,1,2.5629346,7.3350177,22.381675475014116,22.381675475014116
2022-10-29 07:15:00,0.0,22.381675475014116,2.8774083,8.279478524908889,23.823440227244596,7,10,1,2.7044501,6.6342587,22.381675475014116,22.381675475014116
2022-10-29 07:30:00,0.0,22.381675475014116,2.9126334,8.483433322795559,24.709131242647324,7,10,1,2.8774083,5.8761606,22.381675475014116,22.381675475014116
2022-10-29 07:45:00,0.0,22.381675475014116,2.930005,8.584929300025,25.15388577371975,7,10,1,2.9126334,5.4435363,22.381675475014116,22.381675475014116
2022-10-29 08:00:00,0.0,22.381675475014116,2.989576,8.937564659776,26.719528805314496,8,10,1,2.930005,5.298017,22.381675475014116,22.381675475014116
2022-10-29 08:15:00,0.0,22.381675475014116,2.749822,7.561521031684,20.79283688638736,8,10,1,2.989576,5.4520464,22.381675475014116,22.381675475014116
2022-10-29 08:30:00,0.0,22.381675475014116,2.1866362,4.781377871150441,10.45513393893649,8,10,1,2.749822,5.6264067,22.381675475014116,22.381675475014116
2022-10-29 08:45:00,0.0,22.381675475014116,2.1452262,4.6019954491664405,9.872321209832618,8,10,1,2.1866362,5.3175874,22.381675475014116,22.381675475014116
