,ec_10m,ec_30m,ec_50m,ec_70m,gfs_10m,gfs_30m,gfs_50m,gfs_70m
OBS_10m,2.3579381694674457,2.941987565446571,3.214334896513769,3.565387430957661,2.443880733077971,2.9779119878057996,3.2921341665499395,3.6769687989318323
OBS_30m,2.389958143865534,2.5934521300353297,2.832669663508294,3.1580162169420283,2.5245661464882603,2.700333833936963,2.9717905006940484,3.321191815455592
OBS_50m,2.650426167601818,2.6937174183665302,2.8855146816362622,3.167284563706843,2.779092831246835,2.8139501863036744,3.0295581482243863,3.3296793214563283
OBS_70m,2.8349102666822037,2.7609358261943715,2.9115483980239985,3.154346139382607,2.9870062533710047,2.9224779302030846,3.0908768169051637,3.34681367104089
