feature,near_neutral_night_importance,near_neutral_day_importance,unstable_day_importance,unstable_night_importance,stable_night_importance,stable_day_importance,avg_importance
obs_wind_speed_10m,26.340539143034178,23.584667126116496,11.007602742340687,16.238825109372016,4.411268761010571,5.9888917184564665,14.595299100055072
obs_wind_speed_70m,7.793548319761457,8.569220566054856,15.66829216094579,13.41254320720158,13.513637273774776,6.221833349948255,10.86317914628112
obs_wind_speed_30m,2.1564636918155595,1.7186744433674435,6.3208104406951335,8.743889901575725,2.1024369920681676,1.615051164715703,3.776221105706288
obs_temperature_10m,3.2532184073259907,3.800378079307512,3.0343913327765746,2.994848041655101,3.2389052198028834,1.793038572602157,3.0191299422450366
obs_wind_speed_50m,1.0239455149176722,2.025507749790996,2.7216606014240408,1.5765639523205013,2.0903307049140656,1.016234640027522,1.7423738605657997
obs_wind_dir_cos_50m,0.8898314529926126,1.1154708917579672,1.0200245615632118,2.1652908447075867,1.750596312321697,0.8912079062496013,1.3054036615987794
obs_wind_dir_cos_70m,0.8769050521269128,0.7381532534887062,1.014094605804373,2.796064579557744,0.7219491769200613,0.779093040217296,1.1543766180191821
obs_wind_dir_sin_50m,1.3950494078485223,1.157841919225141,0.5384956167313912,0.9111643257541071,1.4681329011440534,1.1552074534005399,1.1043152706839592
obs_wind_dir_cos_10m,0.9977015316127122,0.899599412115405,0.9275008645158408,1.0306494534144195,1.1290121400436743,1.419488788115321,1.067325364969562
obs_wind_dir_sin_70m,1.1016633809539733,1.0060437419021135,0.6698029474659698,0.8380117264479591,2.1234129447533143,0.6565083402817612,1.0659071803008486
obs_wind_dir_cos_30m,1.149551563115709,0.6608281938180443,0.7989760517113959,1.293845180290318,0.8762302107022792,0.9475785423171469,0.9545016236591488
obs_wind_dir_sin_10m,0.941871207431872,0.8391518530684278,1.002791190907379,1.0054213423510812,0.934795809884971,0.8080619990028508,0.9220155671077636
obs_wind_dir_sin_30m,0.6225094211524917,0.834444731736239,1.0027631273258317,0.7967102809203841,0.8676352910433524,0.9263326396379434,0.8417325819693735
