Layer,Samples,EC_Correlation,GFS_Correlation,EC_RMSE,GFS_RMSE,EC_bias,GFS_bias
10m,52317,0.61066108,0.605804279,2.357938169,2.443880733,-0.008694814,0.064950136
30m,52317,0.61023318,0.590759321,2.59345213,2.700333834,0.405380293,0.425039204
50m,52317,0.603590821,0.576353567,2.885514682,3.029558148,0.500751829,0.572593345
70m,52317,0.592415081,0.554782855,3.154346139,3.346813671,0.684140336,0.803709831
