,correlation,rmse,mae,r2,bias
train_metrics,0.8372704333287908,1.5280638275296066,1.1683514214240633,0.6943456141740592,0.001203129886019637
test_metrics,0.6236065521936169,2.0954323660539425,1.5239268559525314,0.3214667992461908,0.581101887696371
