Variable,Count,Mean,Std,RMSE,MAE,Min,Max,Q25,Q50,Q75
EC_WS_Error_10m,52317,-0.008694813783282672,2.357944673778272,2.3579381694674697,1.7636280210447624,-15.9059497,12.071472,-1.3727009999999993,0.012108999999999703,1.3768000000000002
GFS_WS_Error_10m,52317,0.06495013562673703,2.443040851026795,2.443880733077986,1.8534144719962793,-15.048817000000001,11.773141,-1.3761595,0.07050149999999977,1.555319
EC_WS_Error_30m,52317,0.4053802927534454,2.5615983667675875,2.593452130035324,2.020754391091959,-15.5770208,13.344321,-1.1308410000000002,0.5047617999999998,2.0750759999999997
GFS_WS_Error_30m,52317,0.4250392038159681,2.666698411273078,2.700333833936963,2.1076476184991493,-14.7284105,11.994314000000001,-1.2053550999999998,0.4911966000000003,2.171576
EC_WS_Error_50m,52317,0.5007518288642315,2.8417594801061092,2.8855146816362747,2.2433415578322533,-16.365321700000003,14.31192,-1.2493219999999994,0.488467,2.3649630000000004
GFS_WS_Error_50m,52317,0.5725933453034577,2.9749837992107757,3.029558148224381,2.384732097649438,-16.175519,12.715029,-1.3175949,0.5848639999999996,2.5835980000000003
EC_WS_Error_70m,52317,0.684140335664736,3.0792909589807724,3.154346139382601,2.459236450457939,-16.7477001,16.160099,-1.2567589999999988,0.6514629999999997,2.691274
GFS_WS_Error_70m,52317,0.8037098310904869,3.248909665542161,3.3468136710409015,2.6517920279736797,-16.761818199999997,13.580927,-1.2918434000000003,0.8077719999999999,3.002567
EC_Temp_Error_10m,52317,-1.6456019486973417,2.194697992172671,2.7431028020891035,2.3361626956820785,-10.24707999999998,10.807629999999996,-3.13327999999996,-1.9877999999999698,-0.42124999999997925
GFS_Temp_Error_10m,52317,-1.2436536454689457,2.399630059526686,2.702737269575973,2.2876146306171887,-9.120759999999997,11.729560000000012,-3.024699999999971,-1.6589499999999697,0.2136700000000431
