datetime,power,ec_wind_speed_70m
2021-05-02 06:00:00,25.4122,9.866454
2021-05-02 06:15:00,25.7883,10.931193
2021-05-02 06:30:00,26.3434,10.392485
2021-05-02 06:45:00,27.1006,9.703482
2021-05-02 07:00:00,28.1013,9.166963
2021-05-02 07:15:00,29.3953,8.944553
2021-05-02 07:30:00,30.5276,9.255678
2021-05-02 07:45:00,31.4926,8.086985
2021-05-02 08:00:00,32.3041,7.679333
2021-05-02 08:15:00,32.9509,6.211266
2021-05-02 08:30:00,33.4238,5.832604
2021-05-02 08:45:00,33.7474,6.4806414
2021-05-02 09:00:00,33.9179,6.744601
2021-05-02 09:15:00,33.949,6.893428
2021-05-02 09:30:00,33.6084,6.696377
2021-05-02 09:45:00,32.9509,6.399755
2021-05-02 10:00:00,32.0514,6.1355357
2021-05-02 10:15:00,30.9565,6.354663
2021-05-02 10:30:00,29.9498,6.7841134
2021-05-02 10:45:00,29.0533,6.941519
2021-05-02 11:00:00,28.3001,6.478094
2021-05-02 11:15:00,27.6815,5.9624867
2021-05-02 11:30:00,27.2031,5.8366723
2021-05-02 11:45:00,26.846,5.3266883
2021-05-02 12:00:00,26.6062,4.985144
2021-05-02 12:15:00,26.4432,4.7683735
2021-05-02 12:30:00,26.1943,4.3119006
2021-05-02 12:45:00,25.8128,3.7371802
2021-05-02 13:00:00,25.304,2.9031734
2021-05-02 13:15:00,24.6754,2.512727
2021-05-02 13:30:00,24.0845,2.4633508
2021-05-02 13:45:00,23.4846,2.5215228
2021-05-02 14:00:00,22.8664,2.5425522
2021-05-02 14:15:00,22.1897,2.432723
2021-05-02 14:30:00,21.4402,2.3000047
2021-05-02 14:45:00,20.6172,2.5371158
2021-05-02 15:00:00,19.7029,2.9581459
2021-05-02 15:15:00,18.731,3.025025
2021-05-02 15:30:00,17.7487,2.8527358
2021-05-02 15:45:00,16.7952,2.4628108
2021-05-02 16:00:00,15.8719,1.9494485
2021-05-02 16:15:00,14.9797,1.8429449
2021-05-02 16:30:00,14.2126,1.850132
2021-05-02 16:45:00,13.5687,2.2032402
2021-05-02 17:00:00,13.0585,2.261155
2021-05-02 17:15:00,12.6809,2.4429302
2021-05-02 17:30:00,12.4488,2.6728582
2021-05-02 17:45:00,12.3782,2.8704689
2021-05-02 18:00:00,12.4783,3.0176113
2021-05-02 18:15:00,12.7592,3.2626193
2021-05-02 18:30:00,13.1827,6.7568893
2021-05-02 18:45:00,13.7757,8.916887
2021-05-02 19:00:00,14.5531,10.596541
2021-05-02 19:15:00,15.5513,9.491771
2021-05-02 19:30:00,16.8192,9.692119
2021-05-02 19:45:00,18.4034,9.089581
2021-05-02 20:00:00,20.3725,8.258139
2021-05-02 20:15:00,22.7793,7.600203
2021-05-02 20:30:00,25.4846,6.8606505
2021-05-02 20:45:00,28.4333,7.3192177
2021-05-02 21:00:00,31.5656,9.698316
2021-05-02 21:15:00,34.8448,9.769439
2021-05-02 21:30:00,38.1062,9.316691
2021-05-02 21:45:00,41.2561,8.91919
2021-05-02 22:00:00,44.1768,9.186062
2021-05-02 22:15:00,46.7263,9.893024
2021-05-02 22:30:00,49.4186,9.866158
2021-05-02 22:45:00,52.2355,9.941571
2021-05-02 23:00:00,55.0225,10.0468025
2021-05-02 23:15:00,57.6733,9.930312
2021-05-02 23:30:00,59.8398,9.487234
2021-05-02 23:45:00,61.4129,8.904917
2021-05-03 00:00:00,44.7324,4.6480365
2021-05-03 00:15:00,44.4636,3.5074923
2021-05-03 00:30:00,44.5403,2.595715
2021-05-03 00:45:00,44.9445,2.5183504
2021-05-03 01:00:00,45.6435,2.924246
2021-05-03 01:15:00,46.6073,3.6995933
2021-05-03 01:30:00,47.8069,4.73766
2021-05-03 01:45:00,49.2949,5.399844
2021-05-03 02:00:00,51.0667,5.6990247
2021-05-03 02:15:00,53.118,5.6899815
2021-05-03 02:30:00,55.3107,5.4132514
2021-05-03 02:45:00,57.6278,5.172414
2021-05-03 03:00:00,60.003,4.8891907
2021-05-03 03:15:00,62.268,4.7901382
2021-05-03 03:30:00,64.4595,5.491114
2021-05-03 03:45:00,66.3714,6.2784133
2021-05-03 04:00:00,67.8876,6.4979043
2021-05-03 04:15:00,68.9673,5.6377892
2021-05-03 04:30:00,69.7258,4.9061522
2021-05-03 04:45:00,70.132,6.1114974
2021-05-03 05:00:00,70.1574,6.2551756
2021-05-03 05:15:00,69.7511,5.535805
2021-05-03 05:30:00,69.0429,4.7734904
2021-05-03 05:45:00,67.9877,3.8379128
2021-05-03 06:00:00,66.594,3.0350127
2021-05-03 06:15:00,64.898,2.99889
2021-05-03 06:30:00,63.1299,3.3753202
2021-05-03 06:45:00,61.342,3.658223
2021-05-03 07:00:00,59.5373,3.084425
2021-05-03 07:15:00,57.7645,2.3566775
2021-05-03 07:30:00,55.9571,1.7024089
2021-05-03 07:45:00,54.1416,2.0439305
2021-05-03 08:00:00,52.3426,2.6808152
2021-05-03 08:15:00,50.667,5.577919
2021-05-03 08:30:00,48.9866,7.3939295
2021-05-03 08:45:00,47.3445,7.4000945
2021-05-03 09:00:00,45.7803,7.1743274
2021-05-03 09:15:00,44.3487,7.162336
2021-05-03 09:30:00,43.1931,7.0218697
2021-05-03 09:45:00,42.281,6.6371856
2021-05-03 10:00:00,41.62,6.259147
2021-05-03 10:15:00,41.1655,5.8391905
2021-05-03 10:30:00,40.8947,5.563523
2021-05-03 10:45:00,40.7867,5.4771314
2021-05-03 11:00:00,40.8766,5.622339
2021-05-03 11:15:00,41.1837,6.1059885
2021-05-03 11:30:00,41.7113,6.675073
2021-05-03 11:45:00,42.4475,7.0641365
2021-05-03 12:00:00,43.3811,7.2527122
2021-05-03 12:15:00,44.5211,7.452137
2021-05-03 12:30:00,45.8978,7.852328
2021-05-03 12:45:00,47.5251,8.167389
2021-05-03 13:00:00,49.4186,8.154863
2021-05-03 13:15:00,51.5746,7.9909124
2021-05-03 13:30:00,53.6609,7.673489
2021-05-03 13:45:00,55.6445,7.396699
2021-05-03 14:00:00,57.5139,7.5208697
2021-05-03 14:15:00,59.3053,8.210448
2021-05-03 14:30:00,60.9408,8.826434
2021-05-03 14:45:00,62.4351,8.766345
