datetime,actual_power,predicted_power,wind_speed,error,abs_error
2022-07-14 23:45:00,116.3102,49.178919210948415,6.978947,-67.13128078905157,67.13128078905157
2022-07-15 00:00:00,111.2877,43.038968296250665,10.759041,-68.24873170374934,68.24873170374934
2022-07-15 00:15:00,108.7764,50.944822451155716,10.559467,-57.83157754884428,57.83157754884428
2022-07-15 00:30:00,108.7764,50.50340090177578,10.472386,-58.27299909822422,58.27299909822422
2022-07-15 00:45:00,108.7764,48.363109455422304,10.031937,-60.41329054457769,60.41329054457769
2022-07-15 01:00:00,108.7764,43.59320519986105,9.230318,-65.18319480013895,65.18319480013895
2022-07-15 01:15:00,108.7764,37.65310409325235,8.103351,-71.12329590674764,71.12329590674764
2022-07-15 01:30:00,108.7764,32.034994756858595,6.7454395,-76.7414052431414,76.7414052431414
2022-07-15 01:45:00,108.7764,31.047321994508582,6.364535,-77.72907800549142,77.72907800549142
2022-07-15 02:00:00,75.1319,34.370948008205424,7.4844313,-40.76095199179458,40.76095199179458
2022-07-15 02:15:00,7.8428,37.173304342951546,8.786097,29.330504342951546,29.330504342951546
2022-07-15 02:30:00,3.2501,37.549282407416015,8.722663,34.29918240741601,34.29918240741601
2022-07-15 02:45:00,0.8525,35.97549038869049,8.516445,35.12299038869049,35.12299038869049
2022-07-15 03:00:00,0.0,35.57846281206296,8.314332,35.57846281206296,35.57846281206296
2022-07-15 03:15:00,0.0,35.57846281206296,7.7991257,35.57846281206296,35.57846281206296
2022-07-15 03:30:00,0.0,35.57846281206296,7.709673,35.57846281206296,35.57846281206296
2022-07-15 03:45:00,0.0,30.78476152770221,6.2366652,30.78476152770221,30.78476152770221
2022-07-15 04:00:00,0.0,34.370948008205424,7.4375257,34.370948008205424,34.370948008205424
2022-07-15 04:15:00,0.0,37.82034886228245,8.88312,37.82034886228245,37.82034886228245
2022-07-15 04:30:00,0.0,36.80632939495891,7.9403696,36.80632939495891,36.80632939495891
2022-07-15 04:45:00,0.0,35.57846281206296,8.243478,35.57846281206296,35.57846281206296
2022-07-15 05:00:00,0.0,35.57846281206296,8.063981,35.57846281206296,35.57846281206296
2022-07-15 05:15:00,0.0,35.57846281206296,7.99508,35.57846281206296,35.57846281206296
2022-07-15 05:30:00,0.0,37.173304342951546,8.9946995,37.173304342951546,37.173304342951546
2022-07-15 05:45:00,0.0,42.71092400356467,9.600947,42.71092400356467,42.71092400356467
2022-07-15 06:00:00,0.5115,51.81054961605043,9.907248,51.29904961605043,51.29904961605043
2022-07-15 06:15:00,3.8717,51.81054961605043,9.57566,47.93884961605043,47.93884961605043
2022-07-15 06:30:00,6.3758,48.13688013872493,9.253952,41.761080138724935,41.761080138724935
2022-07-15 06:45:00,8.9404,41.24529854800117,8.954825,32.30489854800118,32.30489854800118
2022-07-15 07:00:00,4.1452,37.50093237575703,8.662313,33.35573237575703,33.35573237575703
2022-07-15 07:15:00,4.1452,35.97549038869049,8.324905,31.83029038869049,31.83029038869049
2022-07-15 07:30:00,6.2785,34.84903277720186,7.8776574,28.570532777201862,28.570532777201862
2022-07-15 07:45:00,14.8118,34.84903277720186,7.7718863,20.037232777201865,20.037232777201865
2022-07-15 08:00:00,14.8118,40.43344839737121,7.4690776,25.62164839737121,25.62164839737121
2022-07-15 08:15:00,16.1801,32.69356581790301,6.7285175,16.513465817903008,16.513465817903008
2022-07-15 08:30:00,17.8076,29.73476388796469,5.8625455,11.927163887964689,11.927163887964689
2022-07-15 08:45:00,11.8601,28.055698642385572,5.0234594,16.195598642385573,16.195598642385573
2022-07-15 09:00:00,14.858,25.92098986594286,3.9504395,11.06298986594286,11.06298986594286
2022-07-15 09:15:00,16.7065,22.21571462230646,1.9920323,5.509214622306462,5.509214622306462
2022-07-15 09:30:00,17.6676,21.810590611635885,1.1665213,4.142990611635884,4.142990611635884
2022-07-15 09:45:00,4.9785,21.039470150736786,2.2013361,16.060970150736786,16.060970150736786
2022-07-15 10:00:00,4.6972,23.03030840309002,4.046326,18.333108403090023,18.333108403090023
2022-07-15 10:15:00,9.2054,26.588547611464538,5.0506277,17.383147611464537,17.383147611464537
2022-07-15 10:30:00,26.0965,28.673261845718645,5.1953287,2.5767618457186465,2.5767618457186465
2022-07-15 10:45:00,23.9632,27.897972850712453,5.0430813,3.934772850712452,3.934772850712452
2022-07-15 11:00:00,23.1875,27.897972850712453,4.8512015,4.710472850712453,4.710472850712453
2022-07-15 11:15:00,23.1875,25.92098986594286,4.4303203,2.733489865942861,2.733489865942861
2022-07-15 11:30:00,8.0304,24.611564626694946,3.8226275,16.581164626694946,16.581164626694946
2022-07-15 11:45:00,3.1286,24.611564626694946,3.516733,21.482964626694947,21.482964626694947
2022-07-15 12:00:00,0.0,23.101836789940197,3.2113197,23.101836789940197,23.101836789940197
2022-07-15 12:15:00,0.0,22.62072637434171,2.7793667,22.62072637434171,22.62072637434171
2022-07-15 12:30:00,0.0,22.215602363671135,2.2452188,22.215602363671135,22.215602363671135
2022-07-15 12:45:00,0.0,22.215602363671135,1.6954359,22.215602363671135,22.215602363671135
2022-07-15 13:00:00,0.0,22.215602363671135,1.0599545,22.215602363671135,22.215602363671135
2022-07-15 13:15:00,0.0,21.810590611635885,0.91180885,21.810590611635885,21.810590611635885
2022-07-15 13:30:00,0.0,21.810590611635885,1.0785241,21.810590611635885,21.810590611635885
2022-07-15 13:45:00,0.0,21.810590611635885,1.0416416,21.810590611635885,21.810590611635885
2022-07-15 14:00:00,0.0,21.713525393181556,1.2787007,21.713525393181556,21.713525393181556
