datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_gfs_70m,original_gfs_70m,corrected_ec_70m,original_ec_70m
2022-10-25 15:45:00,90.53,87.0192343984786,9.013336585859651,-3.510765601521399,3.510765601521399,9.141872168905158,11.7778015,8.884801002814143,10.965905
2022-10-25 16:00:00,102.36,87.97558250674173,8.920540258542673,-14.384417493258269,14.384417493258269,8.9562795142712,11.702513,8.884801002814143,10.984145
2022-10-25 16:15:00,105.31,88.0341150833339,9.018567368733322,-17.2758849166661,17.2758849166661,9.016022880167668,11.635657,9.021111857298978,11.0497465
2022-10-25 16:30:00,105.31,87.8999717349897,9.082398512898667,-17.410028265010297,17.410028265010297,9.016022880167668,11.580673,9.148774145629664,11.17675
2022-10-25 16:45:00,93.04,87.8999717349897,9.082398512898667,-5.140028265010301,5.140028265010301,9.016022880167668,11.527303,9.148774145629664,11.32809
2022-10-25 17:00:00,96.59,92.32933529258166,9.166952433629003,-4.260664707418343,4.260664707418343,9.185130721628342,11.538427,9.148774145629664,11.398627
2022-10-25 17:15:00,98.32,92.32933529258166,9.166952433629003,-5.990664707418333,5.990664707418333,9.185130721628342,11.589145,9.148774145629664,11.365168
2022-10-25 17:30:00,96.59,92.32933529258166,9.166952433629003,-4.260664707418343,4.260664707418343,9.185130721628342,11.621529,9.148774145629664,11.267085
2022-10-25 17:45:00,96.59,91.08364052181753,8.795855919493036,-5.506359478182475,5.506359478182475,8.660210188182827,11.512361,8.931501650803247,11.076917
2022-10-25 18:00:00,91.74,96.13531646954692,8.484125060869857,4.395316469546927,4.395316469546927,8.660210188182827,11.3480215,8.308039933556888,11.312941
2022-10-25 18:15:00,87.56,86.76406616608602,7.943705569012751,-0.7959338339139777,0.7959338339139777,7.827423086224141,11.505285,8.059988051801362,11.859767
2022-10-25 18:30:00,104.96,77.77664943193399,7.894825920088742,-27.183350568066004,27.183350568066004,7.793855850133061,11.832454,7.9957959900444235,12.257751
2022-10-25 18:45:00,98.68,77.77664943193399,7.893681410539493,-20.903350568066017,20.903350568066017,7.804573068148031,12.054052,7.982789752930954,12.536119
2022-10-25 19:00:00,96.39,80.33094850488055,7.982723182218883,-16.059051495119448,16.059051495119448,7.974092980352045,12.006011,7.991353384085721,12.799457
2022-10-25 19:15:00,96.39,81.77174539542382,7.982723182218883,-14.61825460457618,14.61825460457618,7.974092980352045,11.897371,7.991353384085721,12.988256
2022-10-25 19:30:00,119.21,81.77174539542382,8.033301604628345,-37.43825460457617,37.43825460457617,8.07524982517097,12.149244,7.991353384085721,12.967301
2022-10-25 19:45:00,127.12,81.77174539542382,8.051427563709524,-45.348254604576184,45.348254604576184,8.111501743333328,12.239465,7.991353384085721,13.001482
2022-10-25 20:00:00,132.39,82.4194559109333,8.01579668236061,-49.97054408906669,49.97054408906669,8.040239980635501,12.074531,7.991353384085721,12.983989
2022-10-25 20:15:00,131.51,80.69392620733042,7.937624660187521,-50.81607379266957,50.81607379266957,8.040239980635501,12.0774,7.835009339739541,12.67046
2022-10-25 20:30:00,131.42,79.28366468630527,7.949994025717247,-52.136335313694715,52.136335313694715,8.040239980635501,12.207151,7.859748070798993,12.906264
2022-10-25 20:45:00,128.24,81.00919438990815,7.990240516805084,-47.23080561009186,47.23080561009186,8.120732962811175,12.2978115,7.859748070798993,13.57785
2022-10-25 21:00:00,123.49,82.4194559109333,7.990240516805084,-41.0705440890667,41.0705440890667,8.120732962811175,12.469545,7.859748070798993,13.7747755
2022-10-25 21:15:00,139.02,82.4194559109333,7.981349488969052,-56.600544089066716,56.600544089066716,8.10295090713911,12.629402,7.859748070798993,13.73228
