variable,height,EC_bias,GFS_bias,EC_abs_bias,GFS_abs_bias,better_model,EC_tendency,GFS_tendency
Wind Speed 10m,10m,-0.008694813783282672,0.06495013562673703,0.008694813783282672,0.06495013562673703,EC,Underestimate,Overestimate
Wind Speed 30m,30m,0.4053802927534454,0.4250392038159681,0.4053802927534454,0.4250392038159681,EC,Overestimate,Overestimate
Wind Speed 50m,50m,0.5007518288642315,0.5725933453034577,0.5007518288642315,0.5725933453034577,EC,Overestimate,Overestimate
Wind Speed 70m,70m,0.684140335664736,0.8037098310904869,0.684140335664736,0.8037098310904869,EC,Overestimate,Overestimate
