datetime,power,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h
2021-05-07 21:15:00,35.7895,5.27488381,27.82439920900012,146.77047291053154,21,5,0,5.357957234,6.64522712
2021-05-07 21:30:00,35.7032,5.15139156,26.536835004439236,136.70162787098087,21,5,0,5.27488381,6.70786382
2021-05-07 21:45:00,35.6459,5.01573114,25.157558868765697,126.18355142445128,21,5,0,5.15139156,6.8010432000000005
2021-05-07 22:00:00,35.6029,4.97181244,24.718918938538753,122.89782868197857,22,5,0,5.01573114,6.873916685999999
2021-05-07 22:15:00,35.5599,5.267094868,27.742288348511938,146.12126458702343,22,5,0,4.97181244,6.862607584
2021-05-07 22:30:00,35.36,5.321046514,28.31353600415155,150.65764205390408,22,5,0,5.267094868,6.816379808
2021-05-07 22:45:00,34.977,5.1911482,26.948019634363238,139.89116361848937,22,5,0,5.321046514,6.81705885
2021-05-07 23:00:00,34.4297,5.11325192,26.145345197383683,133.6877365295849,23,5,0,5.1911482,6.822392108
2021-05-07 23:15:00,33.6969,5.05734782,25.576766972458756,129.3506066908123,23,5,0,5.11325192,6.8048652
2021-05-07 23:30:00,32.8018,5.05426425,25.545587108828062,129.11414766941056,23,5,0,5.05734782,6.77922007
2021-05-07 23:45:00,31.7686,5.153347345999999,26.556988868525238,136.85738810336608,23,5,0,5.05426425,6.75322116
2021-05-08 00:00:00,28.8125,6.296097808,39.6408476079024,249.58265373137635,0,5,0,5.153347345999999,6.710543728
2021-05-08 00:15:00,27.5417,7.6728453199999995,58.87255530464589,451.7200104456934,0,5,0,6.296097808,6.6345210119999996
2021-05-08 00:30:00,26.316,8.49467332,72.15947481351984,612.9711654836188,0,5,0,7.6728453199999995,6.51392378
2021-05-08 00:45:00,25.1015,8.63445856,74.55387462435728,643.7323409314486,0,5,0,8.49467332,6.3588378
2021-05-08 01:00:00,23.9213,9.21899426,84.98985516591296,783.520986932783,1,5,0,8.63445856,6.186366619999999
2021-05-08 01:15:00,22.7549,9.66582526,93.42817795685407,903.0604424911353,1,5,0,9.21899426,5.98735704
2021-05-08 01:30:00,21.6815,9.58084064,91.79250736907561,879.4493850491391,1,5,0,9.66582526,5.76818984
2021-05-08 01:45:00,20.6846,9.17187439,84.12327982593786,771.568155838323,1,5,0,9.58084064,5.47790306
2021-05-08 02:00:00,19.7408,8.36517514,69.97615512287402,585.3627932266494,2,5,0,9.17187439,5.354802319999999
2021-05-08 02:15:00,18.8469,7.68838126,59.11120639911918,454.46949153498,2,5,0,8.36517514,5.294057607999999
2021-05-08 02:30:00,17.9917,7.19722682,51.800073898527316,372.8168811404627,2,5,0,7.68838126,5.304573791999999
2021-05-08 02:45:00,17.1729,6.945706194,48.24283453336997,335.0805546345449,2,5,0,7.19722682,5.3565526
2021-05-08 03:00:00,16.4046,6.87374744,47.24840386890655,324.7735951379825,3,5,0,6.945706194,5.357957234
2021-05-08 03:15:00,15.6681,6.76635316,45.78353508584199,309.78756730405786,3,5,0,6.87374744,5.27488381
2021-05-08 03:30:00,15.0286,6.65722477,44.31864163830155,295.0391588872545,3,5,0,6.76635316,5.15139156
2021-05-08 03:45:00,14.479,6.316288454,39.895499834133716,251.9914849688977,3,5,0,6.65722477,5.01573114
2021-05-08 04:00:00,14.0134,5.50383386,30.292187158482502,166.7231653763132,4,5,0,6.316288454,4.97181244
2021-05-08 04:15:00,13.6411,4.86389778,23.657501614288933,115.06766958208635,4,5,0,5.50383386,5.267094868
2021-05-08 04:30:00,13.2956,4.466928886,19.9534536725812,89.13065858551575,4,5,0,4.86389778,5.321046514
2021-05-08 04:45:00,12.9827,4.395562248,19.320967476042814,84.92651523252964,4,5,0,4.466928886,5.1911482
2021-05-08 05:00:00,12.7209,4.584492920000001,21.017575333530132,96.35492531213555,5,5,0,4.395562248,5.11325192
2021-05-08 05:15:00,12.502,4.909942099999999,24.107531425352406,118.36658347241077,5,5,0,4.584492920000001,5.05734782
2021-05-08 05:30:00,12.3377,5.272865108,27.803106447163856,146.60202987926016,5,5,0,4.909942099999999,5.05426425
2021-05-08 05:45:00,12.2332,5.455146773999999,29.7586263258826,162.3376744003099,5,5,0,5.272865108,5.153347345999999
2021-05-08 06:00:00,12.1877,5.46993762,29.92021756669126,163.66172366662937,6,5,1,5.455146773999999,6.296097808
2021-05-08 06:15:00,12.2137,5.38758234,29.026043470279873,156.38019920055217,6,5,1,5.46993762,7.6728453199999995
2021-05-08 06:30:00,12.2462,5.29938528,28.08348434588068,148.8252035536705,6,5,1,5.38758234,8.49467332
2021-05-08 06:45:00,12.2919,5.20718688,27.114795203244135,141.1918058362198,6,5,1,5.29938528,8.63445856
2021-05-08 07:00:00,12.3442,5.129312747999999,26.309849266795304,134.9514452421316,7,5,1,5.20718688,9.21899426
2021-05-08 07:15:00,12.4098,5.305896693999999,28.152539727400125,149.37446746731595,7,5,1,5.129312747999999,9.66582526
2021-05-08 07:30:00,12.4427,5.6855101800000005,32.32502600688364,183.7842644309017,7,5,1,5.305896693999999,9.58084064
2021-05-08 07:45:00,12.4493,5.924673006,35.101750228025075,207.9663920393345,7,5,1,5.6855101800000005,9.17187439
2021-05-08 08:00:00,12.423,5.999245714,35.990949136947364,215.91854735262348,8,5,1,5.924673006,8.36517514
