datetime,power,gfs_wind_speed_10m
2021-05-02 05:30:00,26.0214,5.176654
2021-05-02 05:45:00,25.4967,5.227247
2021-05-02 06:00:00,25.4122,4.719063
2021-05-02 06:15:00,25.7883,4.9415154
2021-05-02 06:30:00,26.3434,5.802148
2021-05-02 06:45:00,27.1006,4.8362813
2021-05-02 07:00:00,28.1013,4.1337795
2021-05-02 07:15:00,29.3953,4.9845476
2021-05-02 07:30:00,30.5276,6.7717214
2021-05-02 07:45:00,31.4926,6.9991493
2021-05-02 08:00:00,32.3041,7.7725916
2021-05-02 08:15:00,32.9509,8.104621
2021-05-02 08:30:00,33.4238,8.222699
2021-05-02 08:45:00,33.7474,7.5139694
2021-05-02 09:00:00,33.9179,6.4938617
2021-05-02 09:15:00,33.949,6.867318
2021-05-02 09:30:00,33.6084,7.0681086
2021-05-02 09:45:00,32.9509,6.9430737
2021-05-02 10:00:00,32.0514,6.738052
2021-05-02 10:15:00,30.9565,6.412557
2021-05-02 10:30:00,29.9498,6.338298
2021-05-02 10:45:00,29.0533,6.650071
2021-05-02 11:00:00,28.3001,6.969941
2021-05-02 11:15:00,27.6815,7.03515
2021-05-02 11:30:00,27.2031,6.8049946
2021-05-02 11:45:00,26.846,6.687718
2021-05-02 12:00:00,26.6062,6.571958
2021-05-02 12:15:00,26.4432,6.2414255
2021-05-02 12:30:00,26.1943,6.01053
2021-05-02 12:45:00,25.8128,5.333885
2021-05-02 13:00:00,25.304,5.1405864
2021-05-02 13:15:00,24.6754,5.2670984
2021-05-02 13:30:00,24.0845,5.1146545
2021-05-02 13:45:00,23.4846,4.5621395
2021-05-02 14:00:00,22.8664,4.364885
2021-05-02 14:15:00,22.1897,4.5177565
2021-05-02 14:30:00,21.4402,4.5719705
2021-05-02 14:45:00,20.6172,4.1379795
2021-05-02 15:00:00,19.7029,4.207736
2021-05-02 15:15:00,18.731,4.213797
2021-05-02 15:30:00,17.7487,3.702632
2021-05-02 15:45:00,16.7952,3.098933
2021-05-02 16:00:00,15.8719,2.716152
2021-05-02 16:15:00,14.9797,2.6644547
