,day_mean,night_mean,day_std,night_std,t_statistic,p_value,significant,day_higher
PC1,0.09199813203800768,-0.10873029709838598,2.0338822450831535,1.8173111014822338,11.806338856020568,3.976636862303977e-32,True,True
PC2,-0.033076134268632804,0.03909185791303636,0.4165716810735761,0.4346785047630621,-19.35385943674048,3.699310394998117e-83,True,False
PC3,-0.04322544119825858,0.05108707056958259,0.16768077753321156,0.2129337127443781,-56.640828602155445,0.0,True,False
PC4,0.0006586425723400112,-0.0007784332245200683,0.12133414476129599,0.1285809025346555,1.3132987029523104,0.18908807536016028,False,True
