datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,fused_corrected_wind_speed,corrected_wind_ec_10m,original_ec_wind_speed_10m,corrected_wind_ec_70m,original_ec_wind_speed_70m,error,abs_error
2022-09-10 00:30:00,2.3379,39.76819712831443,5.577416978767539,31.107580155044428,173.49994572511696,0,9,0,5.227451441736772,4.67380365768892,5.577416978767539,4.604460140479771,6.104666,6.550373817055308,8.750616,37.430297128314436,37.430297128314436
2022-09-10 00:45:00,1.5167,35.16427861095333,5.340262886242126,28.51840769417508,152.29579418392507,0,9,0,5.577416978767539,4.67380365768892,5.340262886242126,4.558750281156336,6.06349,6.121775491327915,8.226244,33.64757861095333,33.64757861095333
2022-09-10 01:00:00,0.2451,33.62311238251175,5.472033851493974,29.943154471895973,163.84995489072793,1,9,0,5.340262886242126,4.646176958404636,5.472033851493974,4.711707499869893,6.128429,6.232360203118055,8.546824,33.37801238251175,33.37801238251175
2022-09-10 01:15:00,0.2053,40.26467434485062,5.940227719296996,35.286305357104396,209.6086891938496,1,9,0,5.472033851493974,4.646176958404636,5.940227719296996,5.020576902592073,6.227848,6.859878536001919,9.275225,40.05937434485062,40.05937434485062
2022-09-10 01:30:00,0.0,44.16740665376243,6.081930510238173,36.98987873136597,224.96987202630478,1,9,0,5.940227719296996,4.646176958404636,6.081930510238173,5.113328443533914,6.1799607,7.050532576942432,9.5779915,44.16740665376243,44.16740665376243
2022-09-10 01:45:00,0.0,44.16740665376243,6.081930510238173,36.98987873136597,224.96987202630478,1,9,0,6.081930510238173,4.646176958404636,6.081930510238173,5.113328443533914,6.1967006,7.050532576942432,9.778677,44.16740665376243,44.16740665376243
2022-09-10 02:00:00,0.0,45.23678851553586,6.271993021189717,39.33789645785251,246.72701205193462,2,9,0,6.081930510238173,4.668517261373147,6.271993021189717,5.493453465437001,6.335715,7.050532576942432,10.01134,45.23678851553586,45.23678851553586
2022-09-10 02:15:00,0.0,44.16740665376243,6.203940238059944,38.48887447741928,238.7826770880999,2,9,0,6.271993021189717,4.668517261373147,6.203940238059944,5.552821586613485,6.482322,6.855058889506404,10.294414,44.16740665376243,44.16740665376243
2022-09-10 02:30:00,1.1636,46.33087030016977,6.347328502145082,40.28857911414333,255.724846522129,2,9,0,6.203940238059944,4.668517261373147,6.347328502145082,5.740760982898115,6.7847767,6.95389602139205,10.770364,45.16727030016977,45.16727030016977
2022-09-10 02:45:00,4.2553,49.9372040501289,6.576217426632862,43.246635642349744,284.39927895446226,2,9,0,6.347328502145082,4.61376745657816,6.576217426632862,5.910190863940358,7.0784564,7.242243989325365,10.966855,45.6819040501289,45.6819040501289
2022-09-10 03:00:00,13.7036,52.01465224575964,6.502213111973306,42.27877535351759,274.9056074618159,3,9,0,6.576217426632862,4.61376745657816,6.502213111973306,5.762182234621248,7.160523,7.242243989325365,10.988964,38.31105224575964,38.31105224575964
2022-09-10 03:15:00,10.4713,47.67107193645603,6.387150785939338,40.7956951623255,260.56825641898894,3,9,0,6.502213111973306,4.61376745657816,6.387150785939338,5.734464238839416,7.0312314,7.03983733303926,10.770652,37.19977193645603,37.19977193645603
