target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_sin_70m,0.9534443814444752,0.9534443814444752,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_sin_30m,0.6133768950002402,0.6133768950002402,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_cos_30m,0.5803086228678025,0.5803086228678025,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_cos_70m,0.30902353684920253,0.30902353684920253,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_temperature_10m,0.25009916954116546,0.25009916954116546,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_density_10m,0.20983304664793337,-0.20983304664793337,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_humidity_10m,0.20646785135459753,-0.20646785135459753,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_cos_50m,0.16940528890730258,0.16940528890730258,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_speed_10m,0.16515847593354624,0.16515847593354624,0.0,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_cos_10m,0.1373612081936405,0.1373612081936405,1.032007756731018e-218,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_dir_sin_10m,0.11198243536705098,0.11198243536705098,1.3683856662054477e-145,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_speed_50m,0.0654620863869682,0.0654620863869682,8.690386207735849e-51,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_speed_30m,0.05516210693137007,0.05516210693137007,1.5085640631601007e-36,***
obs_wind_dir_sin_50m,Wind Dir Sin (50m),obs_wind_speed_70m,0.010617922432824492,0.010617922432824492,0.015155646111046257,*
