datetime,actual_power,predicted_power,corrected_wind,original_wind,observed_wind,error,abs_error
2022-09-01 07:15:00,13.1154,28.2380931797224,5.37914543104037,5.5809793,5.09,15.122693179722402,15.122693179722402
2022-09-01 07:30:00,13.494,25.32406392514885,5.273366542118472,5.5076294,5.3,11.830063925148849,11.830063925148849
2022-09-01 07:45:00,14.1831,25.32406392514885,5.273366542118472,5.3869944,5.86,11.14096392514885,11.14096392514885
2022-09-01 08:00:00,14.1831,25.32406392514885,5.273366542118472,5.2596455,5.5,11.14096392514885,11.14096392514885
2022-09-01 08:15:00,21.9194,28.2380931797224,5.30736220715015,5.15437,5.45,6.318693179722402,6.318693179722402
2022-09-01 08:30:00,27.0769,25.32406392514885,5.273366542118472,5.0743213,4.07,-1.7528360748511496,1.7528360748511496
2022-09-01 08:45:00,27.0769,28.2380931797224,5.304630006924964,5.5331254,3.71,1.161193179722403,1.161193179722403
2022-09-01 09:00:00,9.4732,24.637758545846253,5.116873494664261,5.9150257,4.32,15.164558545846253,15.164558545846253
2022-09-01 09:15:00,7.4805,24.637758545846253,5.158918896190989,6.0049295,5.09,17.157258545846254,17.157258545846254
2022-09-01 09:30:00,11.0929,24.637758545846253,5.158918896190989,6.032332,3.86,13.544858545846253,13.544858545846253
2022-09-01 09:45:00,11.0929,24.637758545846253,5.158918896190989,5.9561815,5.3,13.544858545846253,13.544858545846253
2022-09-01 10:00:00,27.1977,24.637758545846253,5.155943360659106,5.8268013,7.65,-2.5599414541537477,2.5599414541537477
2022-09-01 10:15:00,44.6273,28.2380931797224,5.3566221082634575,5.6518044,8.11,-16.389206820277597,16.389206820277597
2022-09-01 10:30:00,70.4149,28.2380931797224,5.317552242268612,5.5835805,7.86,-42.176806820277605,42.176806820277605
2022-09-01 10:45:00,70.4149,28.2380931797224,5.317552242268612,5.667063,7.29,-42.176806820277605,42.176806820277605
2022-09-01 11:00:00,73.7466,28.2380931797224,5.29986725942916,5.978386,9.03,-45.5085068202776,45.5085068202776
2022-09-01 11:15:00,76.6763,28.2380931797224,5.456424636380908,6.231731,9.85,-48.4382068202776,48.4382068202776
2022-09-01 11:30:00,70.969,30.84095533653234,5.954275451174273,6.54215,8.98,-40.128044663467655,40.128044663467655
2022-09-01 11:45:00,92.3705,30.84095533653234,5.954275451174273,6.7399697,8.88,-61.52954466346767,61.52954466346767
2022-09-01 12:00:00,100.1131,39.19261400911759,6.31281071575015,6.8965564,9.65,-60.92048599088241,60.92048599088241
2022-09-01 12:15:00,101.605,42.05404037028067,6.4936781163013615,7.0904517,8.93,-59.55095962971934,59.55095962971934
2022-09-01 12:30:00,100.3419,42.05404037028067,6.432996266704734,7.2815456,9.44,-58.28785962971933,58.28785962971933
2022-09-01 12:45:00,102.6272,43.40010892890493,6.51646928639749,7.3209887,9.85,-59.227091071095074,59.227091071095074
2022-09-01 13:00:00,100.4392,48.66970870309521,7.103898172600602,7.2490845,8.88,-51.76949129690479,51.76949129690479
2022-09-01 13:15:00,83.3725,47.65008744420463,7.009248778033007,7.189045,7.5,-35.72241255579537,35.72241255579537
2022-09-01 13:30:00,50.0747,47.0609057608258,7.009248778033007,7.0079365,7.5,-3.013794239174203,3.013794239174203
2022-09-01 13:45:00,38.2977,46.709148412915745,6.834532380615232,6.9266086,7.91,8.411448412915746,8.411448412915746
2022-09-01 14:00:00,33.1189,51.44449461145831,7.325548923378015,7.065778,6.58,18.325594611458314,18.325594611458314
2022-09-01 14:15:00,33.1189,50.70088733962515,7.057906065413877,7.168539,5.04,17.58198733962515,17.58198733962515
2022-09-01 14:30:00,13.3271,47.54374794912982,6.7760675048727546,7.138959,3.96,34.21664794912982,34.21664794912982
2022-09-01 14:45:00,2.4708,50.05975100159036,7.276202452455527,7.191797,3.96,47.58895100159036,47.58895100159036
2022-09-01 15:00:00,0.0,55.74960746711668,7.377488086978174,7.2542276,2.35,55.74960746711668,55.74960746711668
2022-09-01 15:15:00,0.0,55.74960746711668,7.377488086978174,7.286687,2.89,55.74960746711668,55.74960746711668
2022-09-01 15:30:00,0.0,58.156434883884046,7.591139563436489,7.355258,1.69,58.156434883884046,58.156434883884046
2022-09-01 15:45:00,0.0,59.07125922992527,7.701878118488889,7.452618,2.1,59.07125922992527,59.07125922992527
2022-09-01 16:00:00,0.0,60.14732970084622,7.754925602705892,7.4964375,1.3,60.14732970084622,60.14732970084622
2022-09-01 16:15:00,0.0,60.14732970084622,7.754925602705892,7.443784,2.76,60.14732970084622,60.14732970084622
2022-09-01 16:30:00,0.0,60.14732970084622,7.615897355619681,7.248022,2.1,60.14732970084622,60.14732970084622
2022-09-01 16:45:00,0.0,60.14732970084622,7.430335268511534,7.0534024,3.07,60.14732970084622,60.14732970084622
2022-09-01 17:00:00,0.0,55.034790897100486,7.072413494849422,6.974954,3.17,55.034790897100486,55.034790897100486
2022-09-01 17:15:00,0.0,50.31270936957618,7.072413494849422,7.001511,2.48,50.31270936957618,50.31270936957618
2022-09-01 17:30:00,0.1193,51.053661546486744,7.1939212253643054,7.0267015,3.96,50.93436154648674,50.93436154648674
2022-09-01 17:45:00,0.0,51.053661546486744,7.1939212253643054,6.9360375,4.94,51.053661546486744,51.053661546486744
2022-09-01 18:00:00,0.0,52.33132829491752,7.1939212253643054,6.980208,6.22,52.33132829491752,52.33132829491752
2022-09-01 18:15:00,12.2786,52.33132829491752,7.1939212253643054,7.150825,6.47,40.052728294917515,40.052728294917515
2022-09-01 18:30:00,28.7819,56.70291492175269,7.551842999026418,7.342347,5.45,27.921014921752693,27.921014921752693
2022-09-01 18:45:00,16.2184,62.215334032865236,7.757230948646413,7.66883,8.83,45.99693403286524,45.99693403286524
2022-09-01 19:00:00,44.248,67.50879030444261,7.848143641186964,7.989338,8.57,23.260790304442615,23.260790304442615
2022-09-01 19:15:00,71.5216,70.525883792531,7.988201884649019,8.906472,9.75,-0.9957162074690018,0.9957162074690018
2022-09-01 19:30:00,95.1368,74.02172233573226,8.16549236041884,9.623462,8.32,-21.11507766426773,21.11507766426773
2022-09-01 19:45:00,58.4915,59.927652577948514,6.074944290812371,8.151773,6.73,1.436152577948512,1.436152577948512
2022-09-01 20:00:00,33.6041,45.03478918582026,6.114260311813535,9.238125,4.07,11.430689185820256,11.430689185820256
2022-09-01 20:15:00,12.2466,45.03478918582026,6.106207755618863,8.0660095,7.19,32.78818918582026,32.78818918582026
2022-09-01 20:30:00,21.2374,44.738302948382476,6.267277202157133,7.3345447,8.37,23.500902948382475,23.500902948382475
2022-09-01 20:45:00,21.2374,44.738302948382476,6.208310776701897,7.8172455,8.32,23.500902948382475,23.500902948382475
2022-09-01 21:00:00,30.1174,52.436754234296835,7.3077013631466565,8.746036,7.91,22.319354234296835,22.319354234296835
2022-09-01 21:15:00,47.8774,66.97441778743645,8.236639803581252,9.471299,6.01,19.09701778743645,19.09701778743645
2022-09-01 21:30:00,28.1155,77.1046842664266,8.510756109436524,10.08621,6.93,48.989184266426605,48.989184266426605
2022-09-01 21:45:00,26.7039,79.68828920886999,8.427597676186066,9.258828,7.96,52.984389208869985,52.984389208869985
2022-09-01 22:00:00,29.2458,75.90327414595801,8.184241427984325,9.037904,7.04,46.657474145958005,46.657474145958005
2022-09-01 22:15:00,45.7675,75.90327414595801,8.208881279879055,9.373872,8.57,30.13577414595801,30.13577414595801
2022-09-01 22:30:00,51.6518,70.40818484102596,7.7167221533380514,10.01746,9.44,18.756384841025955,18.756384841025955
2022-09-01 22:45:00,53.7915,69.81773842627103,8.292039713129514,10.085721,10.52,16.026238426271036,16.026238426271036
2022-09-01 23:00:00,53.7915,72.53369670822008,8.286754806635399,9.901938,10.31,18.742196708220078,18.742196708220078
2022-09-01 23:15:00,108.5101,72.53369670822008,8.170308909496805,9.730105,9.95,-35.97640329177992,35.97640329177992
2022-09-01 23:30:00,108.1648,72.53369670822008,8.272071862179168,9.610339,10.47,-35.63110329177992,35.63110329177992
2022-09-01 23:45:00,106.7497,72.53369670822008,8.272071862179168,10.246644,10.11,-34.21600329177993,34.21600329177993
2022-09-02 00:00:00,102.0099,56.02090328793085,6.052082612821243,2.7424986,10.31,-45.98899671206915,45.98899671206915
2022-09-02 00:15:00,117.8071,33.1877424896885,5.850927225700235,3.0486026,10.31,-84.6193575103115,84.6193575103115
2022-09-02 00:30:00,113.6306,30.84095533653234,5.850927225700235,3.578026,10.62,-82.78964466346767,82.78964466346767
2022-09-02 00:45:00,103.8377,30.84095533653234,5.9142298981699915,3.3377783,10.57,-72.99674466346767,72.99674466346767
2022-09-02 01:00:00,92.1318,30.84095533653234,5.830882250880081,2.3771942,8.88,-61.29084466346766,61.29084466346766
2022-09-02 01:15:00,72.5944,30.080435400122703,5.77262687578836,2.716123,7.75,-42.51396459987729,42.51396459987729
2022-09-02 01:30:00,51.379,30.080435400122703,5.763827209514785,4.3805337,6.17,-21.298564599877295,21.298564599877295
2022-09-02 01:45:00,17.4332,30.84095533653234,5.827129881984542,4.6707788,5.86,13.40775533653234,13.40775533653234
2022-09-02 02:00:00,17.4332,30.080435400122703,5.746012601121229,5.402759,5.14,12.647235400122703,12.647235400122703
2022-09-02 02:15:00,12.8298,30.84095533653234,5.88481826594834,6.667971,5.19,18.01115533653234,18.01115533653234
2022-09-02 02:30:00,7.4358,38.570356709824544,6.13690760218351,6.948059,3.61,31.134556709824544,31.134556709824544
2022-09-02 02:45:00,0.0,40.91714386298071,6.13690760218351,7.1035757,2.22,40.91714386298071,40.91714386298071
2022-09-02 03:00:00,0.0,32.42722255327887,5.774885973747818,7.796804,0.41,32.42722255327887,32.42722255327887
2022-09-02 03:15:00,0.0,38.570356709824544,6.158376419899113,9.194829,1.69,38.570356709824544,38.570356709824544
2022-09-02 03:30:00,0.0,49.57466457117163,7.073315542485449,9.370662,4.63,49.57466457117163,49.57466457117163
2022-09-02 03:45:00,0.8418,43.76873675650773,6.136858013129784,9.314058,6.11,42.92693675650773,42.92693675650773
2022-09-02 04:00:00,35.0604,40.91714386298071,6.131292430088677,9.828411,8.37,5.856743862980707,5.856743862980707
2022-09-02 04:15:00,52.8197,33.1877424896885,5.81072675738625,8.7696905,6.52,-19.631957510311494,19.631957510311494
2022-09-02 04:30:00,32.6074,30.84095533653234,5.81072675738625,9.339408,4.07,-1.7664446634676594,1.7664446634676594
2022-09-02 04:45:00,5.1262,30.080435400122703,5.779463292579758,9.3697195,3.25,24.954235400122702,24.954235400122702
2022-09-02 05:00:00,0.0,38.570356709824544,6.024709078105635,10.224589,3.04,38.570356709824544,38.570356709824544
2022-09-02 05:15:00,0.0,46.24373580770307,6.689536645506131,11.377707,4.37,46.24373580770307,46.24373580770307
2022-09-02 05:30:00,6.01,47.157460498635324,6.980007831395589,11.544755,5.86,41.147460498635326,41.147460498635326
2022-09-02 05:45:00,12.2899,58.38866862216685,7.5294833488888155,11.784328,6.11,46.098768622166844,46.098768622166844
2022-09-02 06:00:00,18.6551,65.67533589065746,8.090784057245532,12.081538,7.29,47.02023589065746,47.02023589065746
2022-09-02 06:15:00,27.5245,71.07212114826407,8.090784057245532,11.928272,6.73,43.54762114826407,43.54762114826407
2022-09-02 06:30:00,17.6328,71.07212114826407,8.090784057245532,11.599451,7.29,53.43932114826407,53.43932114826407
2022-09-02 06:45:00,16.9324,71.07212114826407,8.043867610238413,10.944359,9.04,54.13972114826407,54.13972114826407
2022-09-02 07:00:00,26.4219,69.19056933803833,8.043867610238413,10.638003,9.65,42.76866933803833,42.76866933803833
2022-09-02 07:15:00,88.1038,69.82474114828119,8.337221668120067,11.529034,8.21,-18.279058851718816,18.279058851718816
2022-09-02 07:30:00,104.139,73.35409892433773,9.149506886387792,11.986631,9.49,-30.784901075662262,30.784901075662262
2022-09-02 07:45:00,111.6926,76.46577165474935,9.090735707461663,11.642951,10.26,-35.22682834525065,35.22682834525065
2022-09-02 08:00:00,115.1381,77.51125871428776,9.400533776066094,12.1281185,9.44,-37.62684128571223,37.62684128571223
2022-09-02 08:15:00,105.2919,78.18685853382696,9.400533776066094,12.044605,8.88,-27.105041466173034,27.105041466173034
2022-09-02 08:30:00,105.4837,78.18685853382696,9.469862367543024,11.953014,9.75,-27.296841466173035,27.296841466173035
2022-09-02 08:45:00,106.8648,77.14137147428855,9.056025952065532,12.314146,9.65,-29.723428525711455,29.723428525711455
2022-09-02 09:00:00,110.0019,77.51125871428776,9.433418767134295,11.4988575,9.85,-32.49064128571224,32.49064128571224
2022-09-02 09:15:00,111.2145,77.14137147428855,9.1772640650744,11.670328,10.06,-34.073128525711454,34.073128525711454
2022-09-02 09:30:00,105.601,79.6917749338394,9.433418767134295,11.122727,9.55,-25.9092250661606,25.9092250661606
2022-09-02 09:45:00,98.8664,77.14137147428855,9.01604047209371,10.843619,9.24,-21.72502852571145,21.72502852571145
