datetime,power,ec_wind_speed_10m,ec_wind_speed_70m,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-01 19:45:00,120.6875,3.1307917,5.532326,6.655734,8.63244
2021-05-01 20:00:00,118.5896,3.7925408,6.328955,5.6750755,8.289149
2021-05-01 20:15:00,115.6912,3.842661,6.1544547,4.847425,8.130012
2021-05-01 20:30:00,112.2903,3.6610405,6.051259,4.3250265,7.976763
2021-05-01 20:45:00,108.482,3.0208075,5.1848426,3.9777255,7.7440724
2021-05-01 21:00:00,104.3068,3.8605232,4.6696806,3.7021391,7.5163693
2021-05-01 21:15:00,99.8097,6.252755,8.850744,3.5610187,7.3634634
2021-05-01 21:30:00,95.5865,6.0969925,8.361968,3.5019853,6.979953
2021-05-01 21:45:00,91.6398,6.57541,8.729712,3.4607306,6.546859
2021-05-01 22:00:00,88.0252,6.487032,8.328623,3.9215412,5.77778
2021-05-01 22:15:00,84.7378,6.6982474,8.951805,5.000476,6.000292
2021-05-01 22:30:00,81.9615,6.965164,9.788408,5.155073,6.439086
2021-05-01 22:45:00,79.6269,7.0338516,10.07882,5.6373134,7.2686815
2021-05-01 23:00:00,77.7211,7.100881,10.095914,5.9320245,8.1928625
2021-05-01 23:15:00,76.2323,7.137376,10.006684,6.121197,8.630183
2021-05-01 23:30:00,75.2032,7.1668987,9.909655,6.2227407,9.011123
2021-05-01 23:45:00,74.6517,7.121659,9.50437,6.3617725,9.540523
2021-05-02 00:00:00,84.7101,7.064104,9.618738,6.0940237,8.837965
2021-05-02 00:15:00,85.9583,7.1763535,9.990679,6.267772,9.272046
2021-05-02 00:30:00,86.85,6.903199,9.4539385,6.4622793,9.564997
2021-05-02 00:45:00,87.325,6.982655,9.485528,6.5686197,9.693369
2021-05-02 01:00:00,87.297,6.987619,9.513917,6.635066,9.737123
2021-05-02 01:15:00,86.7662,7.0428114,9.438052,6.6792665,9.795563
2021-05-02 01:30:00,85.3472,7.24388,9.987333,6.700341,9.872168
2021-05-02 01:45:00,83.0018,7.3879814,10.509409,6.6519365,9.871982
2021-05-02 02:00:00,79.7619,7.469169,10.857493,6.609361,9.879084
2021-05-02 02:15:00,75.651,7.6507497,11.336893,6.3684616,9.7175045
2021-05-02 02:30:00,70.9737,6.4059706,10.397274,3.9865751,6.668656
2021-05-02 02:45:00,65.829,4.8774085,8.059123,4.5463743,7.827487
2021-05-02 03:00:00,60.3069,4.101843,6.0182176,2.0525465,4.5495834
2021-05-02 03:15:00,54.5369,0.8027748,2.5189626,1.4554422,2.7641063
2021-05-02 03:30:00,49.2125,2.772145,5.2412677,2.1383054,2.7845588
2021-05-02 03:45:00,44.387,2.6740096,6.355717,2.950919,3.6990645
2021-05-02 04:00:00,40.0369,2.5392334,5.7451944,2.7835095,4.973312
2021-05-02 04:15:00,36.1836,2.8744364,5.3734894,2.9065485,5.9078183
2021-05-02 04:30:00,33.0267,3.0610332,5.396212,2.906418,5.720809
2021-05-02 04:45:00,30.4992,3.4649475,4.500082,3.0189304,5.2164025
2021-05-02 05:00:00,28.5135,4.488343,4.4085894,3.214798,4.9207344
2021-05-02 05:15:00,27.024,4.674359,4.781728,4.6858974,5.2661386
2021-05-02 05:30:00,26.0214,4.945932,5.967097,5.176654,6.5902476
2021-05-02 05:45:00,25.4967,5.353591,7.5204697,5.227247,7.3482094
2021-05-02 06:00:00,25.4122,6.1714373,9.866454,4.719063,7.292114
2021-05-02 06:15:00,25.7883,6.620405,10.931193,4.9415154,8.375984
2021-05-02 06:30:00,26.3434,6.261334,10.392485,5.802148,9.245472
2021-05-02 06:45:00,27.1006,5.553357,9.703482,4.8362813,8.767887
2021-05-02 07:00:00,28.1013,5.1584625,9.166963,4.1337795,6.993806
2021-05-02 07:15:00,29.3953,5.152367,8.944553,4.9845476,8.480489
2021-05-02 07:30:00,30.5276,6.2566347,9.255678,6.7717214,9.104903
2021-05-02 07:45:00,31.4926,6.8966527,8.086985,6.9991493,8.962029
2021-05-02 08:00:00,32.3041,6.715591,7.679333,7.7725916,9.052364
2021-05-02 08:15:00,32.9509,5.564867,6.211266,8.104621,9.46895
2021-05-02 08:30:00,33.4238,5.1849813,5.832604,8.222699,9.631583
2021-05-02 08:45:00,33.7474,5.7126923,6.4806414,7.5139694,8.650342
2021-05-02 09:00:00,33.9179,5.9146776,6.744601,6.4938617,7.449778
2021-05-02 09:15:00,33.949,6.111373,6.893428,6.867318,7.86796
2021-05-02 09:30:00,33.6084,6.037235,6.696377,7.0681086,8.093369
2021-05-02 09:45:00,32.9509,5.765493,6.399755,6.9430737,7.9213705
2021-05-02 10:00:00,32.0514,5.5233254,6.1355357,6.738052,7.6494246
2021-05-02 10:15:00,30.9565,5.7385097,6.354663,6.412557,7.2477193
2021-05-02 10:30:00,29.9498,6.1491017,6.7841134,6.338298,7.170221
2021-05-02 10:45:00,29.0533,6.299016,6.941519,6.650071,7.5108595
2021-05-02 11:00:00,28.3001,5.8781166,6.478094,6.969941,7.835707
2021-05-02 11:15:00,27.6815,5.3867908,5.9624867,7.03515,7.863719
2021-05-02 11:30:00,27.2031,5.384012,5.8366723,6.8049946,7.5712624
2021-05-02 11:45:00,26.846,5.0472198,5.3266883,6.687718,7.436816
2021-05-02 12:00:00,26.6062,4.713656,4.985144,6.571958,7.2902503
2021-05-02 12:15:00,26.4432,4.504097,4.7683735,6.2414255,6.914155
2021-05-02 12:30:00,26.1943,4.0818396,4.3119006,6.01053,6.6386266
2021-05-02 12:45:00,25.8128,3.5769093,3.7371802,5.333885,5.795519
2021-05-02 13:00:00,25.304,2.8063087,2.9031734,5.1405864,5.6532097
2021-05-02 13:15:00,24.6754,2.392148,2.512727,5.2670984,5.7591805
2021-05-02 13:30:00,24.0845,2.3140402,2.4633508,5.1146545,5.485317
2021-05-02 13:45:00,23.4846,2.3729222,2.5215228,4.5621395,4.887688
2021-05-02 14:00:00,22.8664,2.4010105,2.5425522,4.364885,4.75834
2021-05-02 14:15:00,22.1897,2.3010905,2.432723,4.5177565,4.974146
2021-05-02 14:30:00,21.4402,2.1801229,2.3000047,4.5719705,4.899875
2021-05-02 14:45:00,20.6172,2.421088,2.5371158,4.1379795,4.4087157
2021-05-02 15:00:00,19.7029,2.8764567,2.9581459,4.207736,4.4937086
2021-05-02 15:15:00,18.731,2.983483,3.025025,4.213797,4.473906
2021-05-02 15:30:00,17.7487,2.8601274,2.8527358,3.702632,3.8976884
2021-05-02 15:45:00,16.7952,2.5688808,2.4628108,3.098933,3.2278266
2021-05-02 16:00:00,15.8719,2.1529906,1.9494485,2.716152,2.8043196
2021-05-02 16:15:00,14.9797,2.0897748,1.8429449,2.6644547,2.7461932
2021-05-02 16:30:00,14.2126,2.083974,1.850132,2.6575327,2.7330632
2021-05-02 16:45:00,13.5687,2.3611155,2.2032402,2.593899,2.6685731
2021-05-02 17:00:00,13.0585,2.3061118,2.261155,2.4693012,2.5423205
2021-05-02 17:15:00,12.6809,2.372576,2.4429302,2.2610705,2.3121283
2021-05-02 17:30:00,12.4488,2.5177758,2.6728582,2.1353846,2.1574981
2021-05-02 17:45:00,12.3782,2.6766276,2.8704689,2.1314704,2.1201124
2021-05-02 18:00:00,12.4783,2.8010697,3.0176113,2.1322217,2.0795298
2021-05-02 18:15:00,12.7592,2.998009,3.2626193,1.9536191,1.8884053
2021-05-02 18:30:00,13.1827,5.9248085,6.7568893,1.7431321,1.731423
2021-05-02 18:45:00,13.7757,7.6097193,8.916887,1.964895,2.0171154
2021-05-02 19:00:00,14.5531,9.059232,10.596541,2.9487236,3.0885317
2021-05-02 19:15:00,15.5513,7.9637785,9.491771,3.6763775,3.9096413
2021-05-02 19:30:00,16.8192,8.145602,9.692119,3.943225,4.3201756
2021-05-02 19:45:00,18.4034,7.13833,9.089581,6.3961177,7.276467
2021-05-02 20:00:00,20.3725,5.566591,8.258139,5.9643183,6.9463387
2021-05-02 20:15:00,22.7793,4.304891,7.600203,5.9135704,7.168202
2021-05-02 20:30:00,25.4846,3.9913197,6.8606505,5.2189097,6.860217
2021-05-02 20:45:00,28.4333,4.1421247,7.3192177,4.929711,6.8371086
2021-05-02 21:00:00,31.5656,4.678145,9.698316,4.6309223,6.812035
2021-05-02 21:15:00,34.8448,4.9467835,9.769439,4.621017,7.033911
2021-05-02 21:30:00,38.1062,4.426475,9.316691,4.5804787,7.166314
2021-05-02 21:45:00,41.2561,4.298836,8.91919,4.480677,7.2177644
2021-05-02 22:00:00,44.1768,4.6910825,9.186062,4.3096337,7.1592255
2021-05-02 22:15:00,46.7263,5.390287,9.893024,4.2991233,7.233539
2021-05-02 22:30:00,49.4186,5.4828076,9.866158,4.292495,7.176047
2021-05-02 22:45:00,52.2355,5.5678005,9.941571,4.073029,6.9689875
2021-05-02 23:00:00,55.0225,5.585169,10.0468025,4.2670937,7.092819
2021-05-02 23:15:00,57.6733,5.3793154,9.930312,4.417474,7.3731146
2021-05-02 23:30:00,59.8398,4.7997594,9.487234,5.1077514,7.748117
2021-05-02 23:45:00,61.4129,4.4260254,8.904917,5.939782,8.387377
2021-05-03 00:00:00,44.7324,2.6011589,4.6480365,4.4749246,6.9335923
2021-05-03 00:15:00,44.4636,2.0744102,3.5074923,5.627793,8.212544
2021-05-03 00:30:00,44.5403,2.276881,2.595715,6.4768333,9.882724
2021-05-03 00:45:00,44.9445,2.948258,2.5183504,7.0286584,10.727266
2021-05-03 01:00:00,45.6435,3.0087311,2.924246,7.2203813,10.908511
2021-05-03 01:15:00,46.6073,2.5992362,3.6995933,7.455176,11.158713
2021-05-03 01:30:00,47.8069,2.4196684,4.73766,8.584837,12.051492
2021-05-03 01:45:00,49.2949,2.6140997,5.399844,8.367561,11.848192
2021-05-03 02:00:00,51.0667,3.113536,5.6990247,7.9503446,11.4651375
2021-05-03 02:15:00,53.118,3.512704,5.6899815,7.063931,10.6878195
2021-05-03 02:30:00,55.3107,3.4016557,5.4132514,7.6400714,11.218416
2021-05-03 02:45:00,57.6278,3.2778056,5.172414,7.670368,11.047062
2021-05-03 03:00:00,60.003,3.419358,4.8891907,6.5788155,10.403122
2021-05-03 03:15:00,62.268,3.6613038,4.7901382,6.4107127,10.301935
2021-05-03 03:30:00,64.4595,4.131099,5.491114,6.5916433,10.374843
2021-05-03 03:45:00,66.3714,4.53565,6.2784133,7.2044396,10.962809
2021-05-03 04:00:00,67.8876,4.335632,6.4979043,7.2407823,10.902798
2021-05-03 04:15:00,68.9673,3.5925415,5.6377892,6.8554616,10.566503
2021-05-03 04:30:00,69.7258,3.1755474,4.9061522,6.044953,10.291349
2021-05-03 04:45:00,70.132,3.7166247,6.1114974,5.328423,9.758433
2021-05-03 05:00:00,70.1574,3.4755175,6.2551756,4.8477116,8.956546
2021-05-03 05:15:00,69.7511,3.1598449,5.535805,4.338257,7.909772
2021-05-03 05:30:00,69.0429,3.1716135,4.7734904,4.2882257,7.5382752
2021-05-03 05:45:00,67.9877,3.11276,3.8379128,4.209118,7.4158607
2021-05-03 06:00:00,66.594,3.1567647,3.0350127,4.6250777,7.9534454
2021-05-03 06:15:00,64.898,3.3531945,2.99889,5.0069084,8.346737
2021-05-03 06:30:00,63.1299,3.575698,3.3753202,5.0515556,8.668142
2021-05-03 06:45:00,61.342,3.5436034,3.658223,4.8442507,8.507819
2021-05-03 07:00:00,59.5373,2.9365668,3.084425,4.420819,7.6510596
2021-05-03 07:15:00,57.7645,2.0522244,2.3566775,3.645039,6.3094316
2021-05-03 07:30:00,55.9571,1.6260747,1.7024089,3.550442,5.2618456
2021-05-03 07:45:00,54.1416,1.5520065,2.0439305,3.671728,4.6152515
2021-05-03 08:00:00,52.3426,1.9741226,2.6808152,3.771721,4.103966
2021-05-03 08:15:00,50.667,4.1542325,5.577919,3.255241,3.2704387
2021-05-03 08:30:00,48.9866,6.132512,7.3939295,2.9682412,2.866482
2021-05-03 08:45:00,47.3445,6.3809934,7.4000945,2.850298,2.751826
2021-05-03 09:00:00,45.7803,6.1717415,7.1743274,2.647617,2.5292122
2021-05-03 09:15:00,44.3487,6.1774263,7.162336,2.304737,2.1633208
2021-05-03 09:30:00,43.1931,6.085442,7.0218697,2.1368542,1.9766661
2021-05-03 09:45:00,42.281,5.7663555,6.6371856,2.1138084,1.9265177
2021-05-03 10:00:00,41.62,5.4747972,6.259147,2.1015954,1.9010794
2021-05-03 10:15:00,41.1655,5.122572,5.8391905,2.1318238,1.9272622
2021-05-03 10:30:00,40.8947,4.857155,5.563523,2.121991,1.9265684
2021-05-03 10:45:00,40.7867,4.7504206,5.4771314,2.263016,2.0769107
2021-05-03 11:00:00,40.8766,4.8533907,5.622339,2.53938,2.397529
2021-05-03 11:15:00,41.1837,5.2908273,6.1059885,2.6769135,2.5980072
2021-05-03 11:30:00,41.7113,5.818568,6.675073,2.7050831,2.7046216
2021-05-03 11:45:00,42.4475,6.1793885,7.0641365,2.8031392,2.876633
2021-05-03 12:00:00,43.3811,6.3596025,7.2527122,2.9482691,3.0775898
2021-05-03 12:15:00,44.5211,6.5219083,7.452137,3.1292577,3.307907
2021-05-03 12:30:00,45.8978,6.8531947,7.852328,3.2328784,3.4389026
2021-05-03 12:45:00,47.5251,7.1364045,8.167389,3.3527453,3.5816913
2021-05-03 13:00:00,49.4186,7.152998,8.154863,3.4437957,3.7054937
2021-05-03 13:15:00,51.5746,7.0311933,7.9909124,3.6237042,3.932881
2021-05-03 13:30:00,53.6609,6.785327,7.673489,3.9163637,4.275721
2021-05-03 13:45:00,55.6445,6.5602584,7.396699,4.161611,4.53666
2021-05-03 14:00:00,57.5139,6.6445975,7.5208697,4.2327337,4.618947
2021-05-03 14:15:00,59.3053,7.188859,8.210448,4.324941,4.7396445
2021-05-03 14:30:00,60.9408,7.685661,8.826434,4.708045,5.1599336
2021-05-03 14:45:00,62.4351,7.6555166,8.766345,4.8920193,5.3526382
2021-05-03 15:00:00,63.7565,7.19898,8.237783,4.737364,5.1802783
2021-05-03 15:15:00,64.898,6.832795,7.8352656,4.366522,4.789314
2021-05-03 15:30:00,65.9767,6.7298026,7.7387037,4.286405,4.735872
2021-05-03 15:45:00,67.0154,6.915475,7.958141,4.7883396,5.3027687
2021-05-03 16:00:00,68.0127,7.126486,8.18538,5.3674726,5.92562
2021-05-03 16:15:00,68.9673,7.0204263,8.057908,5.502139,6.067384
2021-05-03 16:30:00,69.599,6.706976,7.7579174,5.4022894,5.9522886
2021-05-03 16:45:00,69.8779,6.7524323,7.812367,5.1114745,5.621976
2021-05-03 17:00:00,69.8018,6.592058,7.611833,4.726674,5.193181
2021-05-03 17:15:00,69.2702,6.278185,7.2571087,4.351287,4.7809324
2021-05-03 17:30:00,68.3887,6.077915,7.002831,4.141882,4.5488195
2021-05-03 17:45:00,67.0651,5.761184,6.569421,4.1268682,4.5179677
2021-05-03 18:00:00,65.3136,5.6632433,6.411464,4.234888,4.621504
2021-05-03 18:15:00,63.1058,5.409824,6.1613054,4.293498,4.6775575
2021-05-03 18:30:00,60.9173,5.186935,5.944769,4.2106147,4.594443
2021-05-03 18:45:00,58.7736,4.7765408,5.4964614,4.0516376,4.4242644
2021-05-03 19:00:00,56.6984,4.3909206,5.085008,4.151235,4.5185113
2021-05-03 19:15:00,54.7352,3.9862516,4.6449285,4.495071,4.907922
2021-05-03 19:30:00,52.8156,3.3714812,4.200582,4.5754075,5.067101
2021-05-03 19:45:00,50.9824,3.6612432,5.9172053,4.980162,5.591738
2021-05-03 20:00:00,49.3155,3.9306905,6.809463,4.95207,5.7109547
2021-05-03 20:15:00,47.9482,4.088239,7.073959,4.838213,6.1778064
2021-05-03 20:30:00,47.1445,4.066311,6.8274517,4.7890296,6.7184944
2021-05-03 20:45:00,47.0248,3.805495,6.348987,5.0656366,7.3340163
2021-05-03 21:00:00,47.686,3.4639733,5.7753263,5.771096,8.253383
2021-05-03 21:15:00,49.192,3.106765,5.314925,5.82033,8.430593
2021-05-03 21:30:00,51.1511,3.8867455,7.0541377,5.650225,8.407658
2021-05-03 21:45:00,53.7045,4.620231,8.734014,5.4899955,8.42953
2021-05-03 22:00:00,56.9016,4.5116224,8.052517,5.382758,8.526007
2021-05-03 22:15:00,60.8467,4.611791,7.2511644,5.3270288,8.654527
2021-05-03 22:30:00,65.0445,4.588464,7.494273,5.2898483,8.717311
2021-05-03 22:45:00,69.5484,4.7836185,7.867096,5.2809563,8.786748
2021-05-03 23:00:00,74.259,5.1478844,8.54586,5.379385,8.872984
2021-05-03 23:15:00,79.1419,5.3682437,9.032612,5.611765,9.227487
2021-05-03 23:30:00,84.268,5.408766,9.615843,5.9344554,9.53784
2021-05-03 23:45:00,89.4879,5.3466787,9.527605,5.8580074,9.288378
2021-05-04 00:00:00,108.9771,6.8649406,11.136794,5.7665434,9.275988
2021-05-04 00:15:00,111.1962,6.9641557,11.351066,6.0444937,9.675846
2021-05-04 00:30:00,112.7568,6.890767,11.347349,6.2777443,10.0184555
2021-05-04 00:45:00,113.7119,6.804601,11.334501,6.3715663,10.199945
2021-05-04 01:00:00,114.1173,6.996733,11.633512,6.5546474,10.460016
2021-05-04 01:15:00,114.0304,7.1732125,11.843386,6.7866926,10.646236
2021-05-04 01:30:00,113.7987,7.387791,12.123021,6.896041,10.756384
2021-05-04 01:45:00,113.4223,7.688748,12.549902,6.9214244,10.858882
2021-05-04 02:00:00,112.9304,7.967797,13.048125,7.0146794,10.967733
2021-05-04 02:15:00,112.323,7.620201,12.546083,7.100256,11.117712
2021-05-04 02:30:00,111.4561,7.516852,12.794808,7.360359,11.575989
2021-05-04 02:45:00,110.4172,7.912785,13.126445,7.566888,11.786708
2021-05-04 03:00:00,109.1497,7.962721,13.181713,7.200128,11.390667
2021-05-04 03:15:00,107.7128,7.651942,12.832249,7.239018,11.510901
2021-05-04 03:30:00,106.223,7.366412,12.534354,7.2923317,11.515882
2021-05-04 03:45:00,104.6812,7.3306766,12.513563,7.230408,11.512344
2021-05-04 04:00:00,103.0887,7.2988944,12.492375,7.243587,11.50314
2021-05-04 04:15:00,101.475,7.203077,12.407608,7.3178663,11.596987
2021-05-04 04:30:00,99.8694,7.1053553,12.316494,7.468009,11.815368
2021-05-04 04:45:00,98.2725,7.0834255,12.32989,7.4767327,11.894156
2021-05-04 05:00:00,96.6847,7.0516324,12.349147,7.460733,11.793672
2021-05-04 05:15:00,95.1342,6.945614,12.360839,7.273194,11.59904
2021-05-04 05:30:00,93.5115,6.776133,12.345805,7.2687063,11.782002
2021-05-04 05:45:00,91.7915,6.547488,12.147349,7.414491,12.043382
2021-05-04 06:00:00,90.0045,6.5292807,12.489607,7.3226647,11.969829
2021-05-04 06:15:00,88.1532,6.5480967,12.776174,7.1549463,11.96316
2021-05-04 06:30:00,86.3465,6.7812963,13.139469,6.998433,12.008523
2021-05-04 06:45:00,84.6104,7.0897694,13.300238,6.7631373,11.834991
2021-05-04 07:00:00,82.9439,7.4733353,13.184917,6.6051235,11.39324
2021-05-04 07:15:00,81.3716,7.882463,12.824804,6.617825,11.024363
2021-05-04 07:30:00,79.8661,8.504243,12.27667,6.8468347,10.62783
2021-05-04 07:45:00,78.4765,8.901104,11.824459,7.3351936,10.290067
2021-05-04 08:00:00,77.225,8.486273,10.790751,7.192055,10.002661
2021-05-04 08:15:00,76.0837,8.489381,10.138403,7.8188834,9.8871765
2021-05-04 08:30:00,75.0258,8.624972,10.234501,8.289403,9.899803
2021-05-04 08:45:00,74.0494,8.883308,10.581888,8.911217,10.619669
2021-05-04 09:00:00,73.1771,9.178425,10.855276,9.492584,11.371562
2021-05-04 09:15:00,72.359,9.24625,10.820526,10.032607,11.909916
2021-05-04 09:30:00,71.5703,9.240735,10.747721,10.137865,11.951723
2021-05-04 09:45:00,70.8105,9.247444,10.712895,10.219802,12.037338
2021-05-04 10:00:00,69.9852,9.088496,10.484373,10.133729,11.884867
2021-05-04 10:15:00,69.1426,8.871291,10.208507,9.945083,11.626997
2021-05-04 10:30:00,68.0523,8.734016,10.015931,9.76533,11.385789
2021-05-04 10:45:00,66.7219,8.508684,9.722901,9.618456,11.1916485
2021-05-04 11:00:00,65.0938,8.345652,9.500917,9.498018,11.021159
2021-05-04 11:15:00,63.1398,8.255132,9.366029,9.382669,10.844075
2021-05-04 11:30:00,60.8387,8.187558,9.256022,9.22647,10.6322
2021-05-04 11:45:00,58.2204,8.0362625,9.041674,9.074204,10.431503
2021-05-04 12:00:00,55.2999,7.7953644,8.745818,8.888627,10.191813
2021-05-04 12:15:00,52.0813,7.5147305,8.405279,8.654048,9.90486
2021-05-04 12:30:00,48.9103,7.1278477,7.9343877,8.370909,9.547357
2021-05-04 12:45:00,45.7812,6.6222415,7.3259587,7.99427,9.084201
2021-05-04 13:00:00,42.7409,6.1327863,6.774204,7.6455064,8.652636
2021-05-04 13:15:00,39.7653,5.704554,6.2842326,7.3384595,8.269249
2021-05-04 13:30:00,36.8665,5.365562,5.8435225,6.997497,7.8478985
2021-05-04 13:45:00,34.0548,4.8216786,5.139132,6.648794,7.4231753
2021-05-04 14:00:00,31.3394,4.0815663,4.290328,6.3266077,7.028215
2021-05-04 14:15:00,28.74,3.400031,3.5343719,6.09193,6.735074
2021-05-04 14:30:00,26.271,2.8441885,2.9089282,5.9409056,6.534146
2021-05-04 14:45:00,23.9109,2.5015469,2.5183303,5.862477,6.4188466
2021-05-04 15:00:00,21.7008,2.23132,2.2206254,5.6774516,6.1886797
2021-05-04 15:15:00,19.624,2.061628,2.0586581,5.372335,5.7996583
