datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_10m,original_ec_wind_speed_70m,original_gfs_wind_speed_10m,original_gfs_wind_speed_70m,fused_wind
2022-07-14 23:45:00,116.3102,60.158070045638006,-56.15212995436199,56.15212995436199,-48.27790679539215,6.650227650500001,44.22552780347476,294.1098278566244,23,7,0,6.4869888938999996,7.9244113676,4.361823,6.978947,7.8438187,9.924555,6.650227650500001
2022-07-15 00:00:00,111.2877,42.229780242964736,-69.05791975703526,69.05791975703526,-62.05350613844111,7.0420938865,49.59108630628067,349.225085702353,0,7,0,6.650227650500001,7.528625591999999,7.7037435,10.759041,3.6995347,5.402774,7.0420938865
2022-07-15 00:15:00,108.7764,47.003211640898336,-61.77318835910166,61.77318835910166,-56.78914576454337,7.4094975994,54.90065467551436,406.786269023712,0,7,0,7.0420938865,6.9889291484000005,7.439081,10.559467,4.921076,6.7494383,7.4094975994
2022-07-15 00:30:00,108.7764,56.73635573140277,-52.04004426859723,52.04004426859723,-47.841300377483634,7.679155573000001,58.969430314336975,452.835429434976,0,7,0,7.4094975994,6.8608787198000005,7.363413,10.472386,5.705847,7.47618,7.679155573000001
2022-07-15 00:45:00,108.7764,61.5324334420748,-47.2439665579252,47.2439665579252,-43.43218432820169,7.575247472800001,57.3843742741628,434.70083619856115,0,7,0,7.679155573000001,6.9620031893,6.9942274,10.031937,5.9262104,8.167533,7.575247472800001
2022-07-15 01:00:00,108.7764,53.93359541662749,-54.842804583372505,54.842804583372505,-50.41792574338801,7.169633226200001,51.403640598231036,368.54524958072057,1,7,0,7.575247472800001,6.938930344000001,6.3584256,9.230318,5.944745,8.294316,7.169633226200001
2022-07-15 01:15:00,108.7764,42.55030522386103,-66.22609477613896,66.22609477613896,-60.882778589887785,6.3133483668000006,39.85836760057624,251.63975999441203,1,7,0,7.169633226200001,6.4947869802,5.489689,8.103351,5.257132,7.7420716,6.3133483668000006
2022-07-15 01:30:00,108.7764,34.76795869159124,-74.00844130840875,74.00844130840875,-68.03722250562166,5.428278119400001,29.46620334155681,159.950746860764,1,7,0,6.3133483668000006,6.279646339200001,4.6411233,6.7454395,4.681778,6.9264946,5.428278119400001
2022-07-15 01:45:00,108.7764,35.04648873034771,-73.72991126965229,73.72991126965229,-67.78116508992224,5.440811278,29.602427362811994,161.06122065176328,1,7,0,5.428278119400001,6.0792482513,4.840876,6.364535,4.764126,6.735047,5.440811278
2022-07-15 02:00:00,75.1319,37.35723230948477,-37.77466769051523,37.77466769051523,-50.277801686750166,6.125039343799999,37.516106963097926,229.7876311751839,2,7,0,5.440811278,6.211098618200001,5.4796286,7.4844313,5.139409,7.5169735,6.125039343799999
2022-07-15 02:15:00,7.8428,40.333651372606624,32.49085137260663,32.49085137260663,414.27616834777126,7.053051134499999,49.74553030587172,350.8577689601326,2,7,0,6.125039343799999,6.214905001,6.07274,8.786097,6.0185227,8.984245,7.053051134499999
2022-07-15 02:30:00,3.2501,45.249613970574536,41.99951397057453,41.99951397057453,1292.2529719500703,7.1958384435,51.780090904952495,372.60116874178186,2,7,0,7.053051134499999,5.8333322135,6.077906,8.722663,6.4628453,9.122112,7.1958384435
2022-07-15 02:45:00,0.8525,43.01436061988935,42.16186061988935,42.16186061988935,4945.672741973263,6.8889591695,47.45775843903812,326.9345601625277,2,7,0,7.1958384435,5.801343297000001,5.662946,8.516445,6.2449145,8.86077,6.8889591695
2022-07-15 03:00:00,0.0,38.97483114108642,38.97483114108642,38.97483114108642,389748311410.86414,6.346446806,40.27738706138761,255.6182944697691,3,7,0,6.8889591695,6.3178051542,5.3625984,8.314332,5.387362,7.7606344,6.346446806
2022-07-15 03:15:00,0.0,34.76795869159124,34.76795869159124,34.76795869159124,347679586915.9124,5.489675335700001,30.13653529139292,165.43979449261238,3,7,0,6.346446806,6.169792160800001,4.9110622,7.7991257,4.0805435,6.1788073,5.489675335700001
2022-07-15 03:30:00,0.0,33.039097207337576,33.039097207337576,33.039097207337576,330390972073.37573,5.230339422,27.356450469327296,143.08352133571296,3,7,0,5.489675335700001,5.914927699200001,4.964268,7.709673,3.3046212,5.987259,5.230339422
2022-07-15 03:45:00,0.0,27.1115046695151,27.1115046695151,27.1115046695151,271115046695.151,4.473502122599999,20.0122212409067,89.52471419913691,3,7,0,5.230339422,5.859640206800001,2.8239486,6.2366652,4.2277646,7.33146,4.473502122599999
2022-07-15 04:00:00,0.0,34.18802101317385,34.18802101317385,34.18802101317385,341880210131.7385,6.6142239566,43.74795854806136,289.3587954809312,4,7,0,4.473502122599999,6.023615509700001,6.7035246,7.4375257,5.072342,7.67555,6.6142239566
2022-07-15 04:15:00,0.0,39.68302744301803,39.68302744301803,39.68302744301803,396830274430.18024,6.6247209458,43.88692760972125,290.73864858292865,4,7,0,6.6142239566,6.0384812307,6.1211214,8.88312,4.9372754,7.685581,6.6247209458
2022-07-15 04:30:00,0.0,36.60000131033076,36.60000131033076,36.60000131033076,366000013103.30756,6.0718058,36.86682567291364,223.84820594838592,4,7,0,6.6247209458,6.002276656799999,5.2428384,7.9403696,4.9016004,7.793853,6.0718058
2022-07-15 04:45:00,0.0,37.633793378906404,37.633793378906404,37.633793378906404,376337933789.064,6.341854752,40.21912169546498,255.06382804565087,4,7,0,6.0718058,6.0791327898,5.4083085,8.243478,5.2199636,8.20572,6.341854752
