z0,d,u_star,u_star_std,r_squared,rmse,n_points,wind_profile,height_profile,timestamp,confidence
0.0003354644130700569,0.00022364294204670458,0.08006359408582599,0.04161530282778521,0.7809347036891372,4.474416833174151,4,"[4.99, 5.03, 5.25, 5.4]","[10, 30, 50, 70]",2021-05-01 17:00:00,0.85
0.00033546441321367703,0.00022364294214245135,0.2352626939250445,0.03150027512221015,0.9477365906997187,3.028118563357952,4,"[4.31, 5.2, 5.3, 5.45]","[10, 30, 50, 70]",2021-05-01 17:00:00,0.85
0.0003354644132515071,0.0002236429421676714,0.1716688639569371,0.03562086912938503,0.6925378429049548,6.37344064012542,4,"[7.24, 8.18, 7.85, 8.16]","[10, 30, 50, 70]",2021-05-17 14:00:00,0.85
0.00033546441322886394,0.00022364294215257595,0.33922057632792846,0.023846613740562676,0.9229293133902793,5.5235466285688455,4,"[7.37, 8.57, 9.02, 8.88]","[10, 30, 50, 70]",2021-05-17 14:00:00,0.85
0.0003354644132297417,0.00022364294215316112,0.3800023045882573,0.03228856863579533,0.8749644346619415,5.938109137410785,4,"[7.95, 9.62, 9.48, 9.85]","[10, 30, 50, 70]",2021-05-17 14:00:00,0.85
0.00033546441315739024,0.0002236429421049268,0.4494282449945585,0.022378988396890405,0.9972723043611096,5.788292053822186,4,"[8.4, 9.57, 10.14, 10.62]","[10, 30, 50, 70]",2021-05-17 14:00:00,0.85
0.00033546441313590255,0.00022364294209060168,0.5309872238690706,0.040164077594561746,0.9748202430613448,5.116320982903431,4,"[8.28, 9.4, 10.25, 10.93]","[10, 30, 50, 70]",2021-05-18 00:00:00,0.85
0.00033546441303639333,0.00022364294202426222,0.2536408924649293,0.042718427549802616,0.6451254432177982,6.354104675758784,4,"[8.05, 7.96, 8.77, 9.39]","[10, 30, 50, 70]",2021-05-18 00:00:00,0.85
0.00033546441309645396,0.00022364294206430262,0.46586950204854766,0.0452300416556668,0.8682612445319655,5.173960398632185,4,"[8.08, 8.62, 9.63, 10.47]","[10, 30, 50, 70]",2021-05-18 00:00:00,0.85
0.0003354644131578828,0.0002236429421052552,0.5321536207226449,0.035342346767478314,0.9913513036730908,5.467067143034455,4,"[8.58, 9.84, 10.76, 11.13]","[10, 30, 50, 70]",2021-05-18 00:00:00,0.85
0.00033546441315657747,0.00022364294210438498,0.7294963903217453,0.037738396279267464,0.9941200067501529,7.13704113896433,4,"[11.37, 13.32, 14.12, 15.02]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
0.00033546441311702995,0.00022364294207801995,0.40075892113393446,0.022664929754864383,0.9022631905321097,10.945051900146499,4,"[13.41, 13.93, 14.99, 15.33]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
0.00033546441316165636,0.0002236429421077709,0.2552323689575117,0.0354247106532172,0.9974109853785762,13.178391274798049,4,"[14.66, 15.31, 15.7, 15.89]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
0.00033546441311717653,0.0002236429420781177,0.384258055061334,0.022991491394325908,0.9409344778891753,11.96665330837261,4,"[14.3, 14.98, 15.65, 16.25]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
0.0003354644131399422,0.00022364294209329479,0.7033535869104454,0.02072356005363775,0.9561348978516028,10.696421571428361,4,"[14.91, 16.2, 17.79, 18.25]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
0.00033546441321439033,0.00022364294214292688,0.44009005418857516,0.025799318906299572,0.9577864827861114,6.1538982659492465,4,"[8.57, 10.12, 10.55, 10.62]","[10, 30, 50, 70]",2021-05-18 20:00:00,0.85
