datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_gfs_10m,original_gfs_10m,corrected_gfs_70m,original_gfs_70m
2022-10-17 08:15:00,0.0,18.546161552724534,4.282603162666364,18.546161552724534,18.546161552724534,3.8161766374465333,3.9672601,4.749029687886194,3.0450325
2022-10-17 08:30:00,0.58,18.546161552724534,4.282603162666364,17.966161552724536,17.966161552724536,3.8161766374465333,4.1076202,4.749029687886194,3.156411
2022-10-17 08:45:00,0.58,18.546161552724534,4.233611868060049,17.966161552724536,17.966161552724536,3.708371638770825,3.7801545,4.758852097349274,3.1085317
2022-10-17 09:00:00,1.04,18.546161552724534,4.2391313961445505,17.506161552724535,17.506161552724535,3.7194106949398282,3.324777,4.758852097349274,2.9724977
2022-10-17 09:15:00,2.3,16.405411684193123,4.187504523799023,14.105411684193122,14.105411684193122,3.652231003044353,2.8434045,4.722778044553693,2.642375
2022-10-17 09:30:00,9.45,15.966139104374298,4.187504523799023,6.516139104374298,6.516139104374298,3.652231003044353,2.9346359,4.722778044553693,2.4214017
2022-10-17 09:45:00,7.34,15.966139104374298,4.187504523799023,8.626139104374298,8.626139104374298,3.652231003044353,2.508781,4.722778044553693,2.4608707
2022-10-17 10:00:00,3.67,18.106888972905708,4.2597748962267845,14.436888972905708,14.436888972905708,3.7967717478998755,2.4364135,4.722778044553693,2.6401098
2022-10-17 10:15:00,3.67,18.546161552724534,4.2597748962267845,14.876161552724534,14.876161552724534,3.7967717478998755,2.4889297,4.722778044553693,2.7658808
2022-10-17 10:30:00,1.39,18.546161552724534,4.2597748962267845,17.156161552724534,17.156161552724534,3.7967717478998755,2.4942021,4.722778044553693,2.803993
2022-10-17 10:45:00,0.07,18.546161552724534,4.277914210166745,18.476161552724534,18.476161552724534,3.8330503757797967,2.4854624,4.722778044553693,2.8145938
2022-10-17 11:00:00,0.0,18.546161552724534,4.306349315179116,18.546161552724534,18.546161552724534,3.8899205858045383,2.5737274,4.722778044553693,2.9222713
2022-10-17 11:15:00,0.0,18.546161552724534,4.316049870429735,18.546161552724534,18.546161552724534,3.8899205858045383,2.7690144,4.742179155054932,3.149845
2022-10-17 11:30:00,0.0,18.546161552724534,4.316049870429735,18.546161552724534,18.546161552724534,3.8899205858045383,2.9972606,4.742179155054932,3.386632
2022-10-17 11:45:00,0.0,18.546161552724534,4.3308308209465824,18.546161552724534,18.546161552724534,3.8899205858045383,3.163728,4.771741056088626,3.524661
2022-10-17 12:00:00,0.52,18.546161552724534,4.455885403281436,18.026161552724535,18.026161552724535,4.099860475184045,3.2371674,4.811910331378828,3.5812821
2022-10-17 12:15:00,0.95,18.546161552724534,4.455885403281436,17.596161552724535,17.596161552724535,4.099860475184045,3.31573,4.811910331378828,3.664833
2022-10-17 12:30:00,1.06,18.546161552724534,4.455885403281436,17.486161552724536,17.486161552724536,4.099860475184045,3.435386,4.811910331378828,3.7965612
2022-10-17 12:45:00,1.08,18.546161552724534,4.455885403281436,17.466161552724536,17.466161552724536,4.099860475184045,3.526674,4.811910331378828,3.889946
2022-10-17 13:00:00,0.69,24.550411991135974,5.012439414170415,23.860411991135972,23.860411991135972,4.492589574179761,3.6020398,5.532289254161069,3.9606476
2022-10-17 13:15:00,0.84,23.438505834987303,4.856327155614724,22.598505834987304,22.598505834987304,4.535233388546814,3.6351757,5.177420922682634,3.9755757
2022-10-17 13:30:00,0.89,22.561728487128967,4.742545411934513,21.671728487128966,21.671728487128966,4.39149469033627,3.584209,5.093596133532756,3.9004214
2022-10-17 13:45:00,0.7,22.561728487128967,4.742545411934513,21.861728487128968,21.861728487128968,4.39149469033627,3.5176597,5.093596133532756,3.8157485
2022-10-17 14:00:00,0.0,22.561728487128967,4.734804684089455,22.561728487128967,22.561728487128967,4.39149469033627,3.477984,5.07811467784264,3.7589846
2022-10-17 14:15:00,0.0,22.561728487128967,4.734804684089455,22.561728487128967,22.561728487128967,4.39149469033627,3.3816109,5.07811467784264,3.6312242
2022-10-17 14:30:00,0.0,22.561728487128967,4.734804684089455,22.561728487128967,22.561728487128967,4.39149469033627,3.2974906,5.07811467784264,3.523729
2022-10-17 14:45:00,0.0,22.561728487128967,4.734804684089455,22.561728487128967,22.561728487128967,4.39149469033627,3.2350144,5.07811467784264,3.4393506
2022-10-17 15:00:00,0.0,22.561728487128967,4.737549389906668,22.561728487128967,22.561728487128967,4.2834998955272665,3.1703234,5.191598884286069,3.3695447
2022-10-17 15:15:00,0.0,22.561728487128967,4.737549389906668,22.561728487128967,22.561728487128967,4.2834998955272665,3.1039765,5.191598884286069,3.3034453
2022-10-17 15:30:00,0.36,22.561728487128967,4.740562985911819,22.201728487128968,22.201728487128968,4.2834998955272665,3.015258,5.197626076296371,3.2111838
2022-10-17 15:45:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.9010205,5.197626076296371,3.0918968
2022-10-17 16:00:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.7749624,5.197626076296371,2.96175
2022-10-17 16:15:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.617955,5.197626076296371,2.7985373
2022-10-17 16:30:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.4777422,5.197626076296371,2.65389
2022-10-17 16:45:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.358442,5.197626076296371,2.5325637
2022-10-17 17:00:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.220983,5.197626076296371,2.3908672
2022-10-17 17:15:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,2.0861874,5.197626076296371,2.2560885
2022-10-17 17:30:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,1.9616125,5.197626076296371,2.1322007
2022-10-17 17:45:00,0.0,22.561728487128967,4.740562985911819,22.561728487128967,22.561728487128967,4.2834998955272665,1.8287559,5.197626076296371,2.016067
2022-10-17 18:00:00,0.0,22.561728487128967,4.776615794066684,22.561728487128967,22.561728487128967,4.355605511836998,1.3860295,5.197626076296371,1.9124409
2022-10-17 18:15:00,0.0,22.561728487128967,4.776615794066684,22.561728487128967,22.561728487128967,4.355605511836998,1.4766382,5.197626076296371,1.8240957
2022-10-17 18:30:00,0.0,22.561728487128967,4.776615794066684,22.561728487128967,22.561728487128967,4.355605511836998,1.4448202,5.197626076296371,1.7078211
2022-10-17 18:45:00,0.0,19.0762879029856,4.5054239166437,19.0762879029856,19.0762879029856,4.117876931735182,1.2537464,4.892970901552218,1.4408389
2022-10-17 19:00:00,0.0,18.546161552724534,4.5054239166437,18.546161552724534,18.546161552724534,4.117876931735182,0.98890805,4.892970901552218,1.118784
2022-10-17 19:15:00,0.0,18.546161552724534,4.488676788020927,18.546161552724534,18.546161552724534,4.084382674489635,0.8820238,4.892970901552218,0.9965248
2022-10-17 19:30:00,0.0,18.546161552724534,4.369854434411613,18.546161552724534,18.546161552724534,4.084382674489635,1.1220897,4.65532619433359,1.255799
2022-10-17 19:45:00,0.0,18.546161552724534,4.3360121479083205,18.546161552724534,18.546161552724534,4.01669810148305,1.5861154,4.65532619433359,1.8001431
2022-10-17 20:00:00,0.0,18.546161552724534,4.3360121479083205,18.546161552724534,18.546161552724534,4.01669810148305,1.9031115,4.65532619433359,2.26284
2022-10-17 20:15:00,0.0,18.546161552724534,4.3360121479083205,18.546161552724534,18.546161552724534,4.01669810148305,2.01932,4.65532619433359,2.456773
2022-10-17 20:30:00,0.0,18.546161552724534,4.3360121479083205,18.546161552724534,18.546161552724534,4.01669810148305,2.0581946,4.65532619433359,2.4350376
2022-10-17 20:45:00,0.0,18.546161552724534,4.309999288747239,18.546161552724534,18.546161552724534,3.964672383160887,2.1307373,4.65532619433359,2.4247296
2022-10-17 21:00:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.251401,4.621669070805275,2.5793407
2022-10-17 21:15:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.2436385,4.621669070805275,2.5598633
2022-10-17 21:30:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.2448819,4.621669070805275,2.5148137
2022-10-17 21:45:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.2955236,4.621669070805275,2.6411035
2022-10-17 22:00:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.324454,4.621669070805275,2.7808871
2022-10-17 22:15:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.4679286,4.621669070805275,3.0121183
2022-10-17 22:30:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.6420338,4.621669070805275,3.2302332
2022-10-17 22:45:00,0.0,18.546161552724534,4.293170726983082,18.546161552724534,18.546161552724534,3.964672383160887,2.7945364,4.621669070805275,3.1567526
2022-10-17 23:00:00,0.0,18.546161552724534,4.352840924267751,18.546161552724534,18.546161552724534,3.964672383160887,2.7839565,4.741009465374614,2.8583584
2022-10-17 23:15:00,0.0,18.546161552724534,4.352840924267751,18.546161552724534,18.546161552724534,3.964672383160887,2.4890826,4.741009465374614,2.496972
2022-10-17 23:30:00,0.0,18.546161552724534,4.352840924267751,18.546161552724534,18.546161552724534,3.964672383160887,2.1768107,4.741009465374614,2.2279475
2022-10-17 23:45:00,0.0,18.546161552724534,4.352840924267751,18.546161552724534,18.546161552724534,3.964672383160887,2.1780252,4.741009465374614,2.0851986
2022-10-18 00:00:00,0.0,16.405411684193123,4.190051698250639,16.405411684193123,16.405411684193123,3.7504872834299348,2.656523,4.629616113071344,2.0932026
2022-10-18 00:15:00,0.0,18.106888972905708,4.274709922211238,18.106888972905708,18.106888972905708,3.919803731351132,2.966217,4.629616113071344,2.4851964
2022-10-18 00:30:00,0.53,18.546161552724534,4.316058906524715,18.016161552724533,18.016161552724533,3.919803731351132,3.16063,4.712314081698298,2.8245957
2022-10-18 00:45:00,2.68,18.546161552724534,4.429118066843769,15.866161552724535,15.866161552724535,4.042019811435644,3.347536,4.816216322251893,3.18351
2022-10-18 01:00:00,1.92,18.546161552724534,4.450812118449248,16.626161552724533,16.626161552724533,4.085407914646602,3.6198282,4.816216322251893,3.776053
2022-10-18 01:15:00,0.96,22.031602136867903,4.801729218623306,21.071602136867902,21.071602136867902,4.323878444131327,3.9004602,5.279579993115284,4.603649
2022-10-18 01:30:00,0.96,23.17328812512674,4.904808709667812,22.213288125126738,22.213288125126738,4.395085208986476,3.9247084,5.4145322103491464,5.0200977
