datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_ec_10m,corrected_ec_70m,corrected_gfs_10m,corrected_gfs_70m
2022-07-14 23:45:00,116.3102,49.547305160719816,5.924492215778485,-66.76289483928018,66.76289483928018,4.896307398643237,6.212617190665675,6.460349129573823,7.8534107931590835
2022-07-15 00:00:00,111.2877,50.28643706170756,5.777405972009744,-61.00126293829244,61.00126293829244,5.458835843560948,6.727316861860606,5.500868948956564,5.981475775262743
2022-07-15 00:15:00,108.7764,48.95489184110047,5.711714018515474,-59.821508158899526,59.821508158899526,5.602932815567471,6.812977254498029,4.900839176230089,6.3769368851985275
2022-07-15 00:30:00,108.7764,48.42126496012788,5.70391282695468,-60.35513503987212,60.35513503987212,5.602932815567471,6.812977254498029,4.851426128887474,6.4471641116184255
2022-07-15 00:45:00,108.7764,48.42126496012788,5.704643269781414,-60.35513503987212,60.35513503987212,5.4731431798155015,6.8344193065579555,5.016363818491806,6.4359299099608105
2022-07-15 01:00:00,108.7764,42.60618109669811,5.488944337904997,-66.17021890330189,66.17021890330189,5.039268109470315,6.7536263852630745,4.921511892864255,6.460582492049805
2022-07-15 01:15:00,108.7764,37.87292781466041,5.241131894125681,-70.90347218533958,70.90347218533958,4.713541988737143,6.166380116905843,4.894545750281004,6.540753501653537
2022-07-15 01:30:00,108.7764,34.496189342532354,5.142459973843884,-74.28021065746765,74.28021065746765,4.729414681397626,5.62908476714187,4.902388482153188,6.5416060321050375
2022-07-15 01:45:00,108.7764,32.98680957386311,5.11993671661124,-75.78959042613688,75.78959042613688,4.6153536744714945,5.874330552667747,4.8164546587335835,6.539927386690171
2022-07-15 02:00:00,75.1319,32.98680957386311,5.114293751540385,-42.14509042613689,42.14509042613689,4.584866229677943,5.9941735536030105,4.781496749652852,6.470635240527491
2022-07-15 02:15:00,7.8428,36.363548045991166,5.3168603672533745,28.520748045991166,28.520748045991166,4.713578546505362,6.472501667132062,4.948941184208212,6.522462599623542
2022-07-15 02:30:00,3.2501,37.87292781466041,5.323880452119639,34.622827814660404,34.622827814660404,4.582805366286918,6.558162059769485,4.96838376327259,6.886107646691975
2022-07-15 02:45:00,0.8525,37.87292781466041,5.351262608825881,37.02042781466041,37.02042781466041,4.776303644934392,6.288262297993615,4.981593088614012,6.886107646691975
2022-07-15 03:00:00,0.0,37.87292781466041,5.314102057905652,37.87292781466041,37.87292781466041,5.070517103354221,6.080719724268421,4.815823501891081,6.250042211429548
2022-07-15 03:15:00,0.0,36.39648847381906,5.23009555884658,36.39648847381906,36.39648847381906,5.010731361104992,5.9326895207927794,4.815916568178039,5.944901397926155
2022-07-15 03:30:00,0.0,35.21395580584269,5.169331146229678,35.21395580584269,35.21395580584269,4.9190968684536065,5.9326895207927794,4.804881593756456,5.7369001656274206
2022-07-15 03:45:00,0.0,33.60980252758078,5.006014063607868,33.60980252758078,33.60980252758078,4.653010313936832,5.624386116473341,4.748235001742489,5.9546221421572065
2022-07-15 04:00:00,0.0,34.88710870514982,5.2088271777137605,34.88710870514982,34.88710870514982,4.805828077305168,6.349557326337455,4.633209508789949,6.26621628887218
2022-07-15 04:15:00,0.0,37.85435363362213,5.378809101962912,37.85435363362213,37.85435363362213,5.0155980332845465,6.897817415814356,4.575024933706755,6.204989253741962
2022-07-15 04:30:00,0.0,37.87292781466041,5.260596976372417,37.87292781466041,37.87292781466041,5.0322529275283925,6.317279075689516,4.545803549496536,6.204989253741962
2022-07-15 04:45:00,0.0,37.87292781466041,5.329672711851361,37.87292781466041,37.87292781466041,4.996559124190305,6.287450305303779,4.79671237578418,6.3454528837922926
2022-07-15 05:00:00,0.0,37.87292781466041,5.266108397951141,37.87292781466041,37.87292781466041,4.881799696487762,6.287450305303779,4.720295579198673,6.3980978453567845
2022-07-15 05:15:00,0.0,37.87292781466041,5.350398405306383,37.87292781466041,37.87292781466041,5.0322529275283925,6.287450305303779,4.80610245490594,6.381764367624886
2022-07-15 05:30:00,0.0,39.128286924059786,5.473908978854559,39.128286924059786,39.128286924059786,4.951045803931137,7.067417420239163,4.80610245490594,6.381764367624886
2022-07-15 05:45:00,0.0,43.81652052456606,5.687554807530088,43.81652052456606,43.81652052456606,5.298210055216085,7.362260219888788,4.853363189767393,6.3980978453567845
2022-07-15 06:00:00,0.5115,42.45698896170817,5.806483485902066,41.94548896170817,41.94548896170817,5.611194651534068,7.431449023511999,4.7950167542033615,6.372107943250303
2022-07-15 06:15:00,3.8717,42.040781252737766,5.721684832740178,38.16908125273777,38.16908125273777,5.342839721569358,7.3790061372083455,4.800582209862386,6.6857305371205005
2022-07-15 06:30:00,6.3758,42.040781252737766,5.680442142241693,35.66498125273777,35.66498125273777,5.169276250158583,7.30175755304549,4.89173585220485,6.848593759077059
2022-07-15 06:45:00,8.9404,39.47906385126138,5.606454385079754,30.53866385126138,30.53866385126138,4.992493059433662,7.292747827208352,4.907454102380955,6.786713651503322
2022-07-15 07:00:00,4.1452,34.72586178931775,5.379348288437779,30.580661789317748,30.580661789317748,4.790111414055303,6.891126284759618,4.81630046003849,6.401883278521863
2022-07-15 07:15:00,4.1452,34.920585919432376,5.259317687867773,30.775385919432377,30.775385919432377,4.794204773533361,6.518962244015889,4.695243100424233,6.292703995239804
2022-07-15 07:30:00,6.2785,33.88316481553636,5.2031772164907135,27.60466481553636,27.60466481553636,4.813205479652088,6.518962244015889,4.502370581560467,6.233914013585602
