z0,d,u_star,u_star_array,u_star_relative_std,r_squared,rmse,slope,intercept,ln_z0_optimal,n_points,wind_profile,height_profile,timestamp,confidence
0.9999999936240658,0.6666666624160438,1.0931566948183264,[1.01003217 1.01458404 1.0875699  1.02573157],0.030140176640767652,0.9845793166245316,0.2597842369324389,2.732891737045816,-0.47420775501288404,-6.375934237191196e-09,4,"[5.64, 8.57, 10.6, 10.87]","[10, 30, 50, 70]",2021-05-05 02:00:00,0.85
0.9999999936240658,0.6666666624160438,0.9693382478565514,[1.04763975 1.02050344 1.03011338 1.00214068],0.016039979966025995,0.9977029339276747,0.08832128704338005,2.4233456196413785,0.4523448370588028,-6.375934237191196e-09,4,"[5.85, 8.62, 10.04, 10.62]","[10, 30, 50, 70]",2021-05-05 02:00:00,0.85
0.9999999936240658,0.6666666624160438,0.7876140054156127,[0.62500217 0.68783352 0.68434823 0.70772647],0.045680465865199894,0.9980457619233131,0.06618062419949704,1.9690350135390315,-0.9009803401965737,-6.375934237191196e-09,4,"[3.49, 5.81, 6.67, 7.5]","[10, 30, 50, 70]",2021-05-10 05:00:00,0.85
4.5399941971471775e-05,3.0266627980981182e-05,0.44943222842270497,[0.2731134  0.28564614 0.2915464  0.29813676],0.03207927396857074,0.9972724816954864,0.04326915420003405,1.1235805710567623,5.788086694387123,-9.999999731079203,4,"[8.4, 9.57, 10.14, 10.62]","[10, 30, 50, 70]",2021-05-17 14:00:00,0.85
4.539994197063781e-05,3.0266627980425207e-05,0.5309920506427089,[0.26921178 0.28057197 0.29470913 0.30683943],0.04937810658674565,0.9748208587025841,0.15710258997947726,1.3274801266067724,5.1138557641827465,-9.999999731097573,4,"[8.28, 9.4, 10.25, 10.93]","[10, 30, 50, 70]",2021-05-18 00:00:00,0.85
4.5399941971979364e-05,3.0266627981319575e-05,0.532158359617634,[0.27896583 0.29370513 0.30937271 0.31245406],0.04484755019192648,0.9913515628346267,0.0915025364566171,1.330395899044085,5.4662494814038185,-9.999999731068023,4,"[8.58, 9.84, 10.76, 11.13]","[10, 30, 50, 70]",2021-05-18 00:00:00,0.85
4.539994197298737e-05,3.0266627981991577e-05,0.7295028527017369,[0.3696785  0.39757645 0.4059798  0.42165858],0.04731428448751673,0.994120174304079,0.10328257367180292,1.8237571317543422,7.136222983407946,-9.99999973104582,4,"[11.37, 13.32, 14.12, 15.02]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
4.539994197080483e-05,3.026662798053655e-05,0.4007626696442665,[0.43600604 0.41578378 0.43099414 0.43036126],0.01761041803573629,0.9022642355530628,0.2428199812550984,1.0019066741106661,10.942317414389674,-9.999999731093894,4,"[13.41, 13.93, 14.99, 15.33]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
4.539994197347721e-05,3.026662798231814e-05,0.25523462536611735,[0.47664792 0.45697414 0.45140814 0.44608221],0.025241828417830237,0.9974111174180429,0.023938445219274473,0.6380865634152934,13.178344808810534,-9.99999973103503,4,"[14.66, 15.31, 15.7, 15.89]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
4.539994197062072e-05,3.026662798041381e-05,0.384261615213361,[0.46494306 0.44712427 0.44997053 0.45618855],0.015034395298198975,0.9409354011064092,0.1772343936897797,0.9606540380334024,11.96530210010723,-9.99999973109795,4,"[14.3, 14.98, 15.65, 16.25]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
4.539994197108096e-05,3.0266627980720638e-05,0.7033599960513905,[0.48477629 0.48353893 0.51150005 0.51233483],0.027889349190756505,0.9561355439002012,0.2773394061967181,1.7583999901284761,10.692755666974385,-9.999999731087811,4,"[14.91, 16.2, 17.79, 18.25]","[10, 30, 50, 70]",2021-05-18 18:00:00,0.85
4.5399941971254596e-05,3.0266627980836397e-05,0.5885366943480712,[0.4467355  0.45369085 0.45457087 0.47050585],0.019072694155508562,0.9759362532470717,0.170130320018726,1.471341735870178,10.277720793345411,-9.999999731083987,4,"[13.74, 15.2, 15.81, 16.76]","[10, 30, 50, 70]",2021-05-22 18:00:00,0.85
4.539994197082362e-05,3.0266627980549077e-05,0.5331526527396768,[0.45063712 0.45040756 0.45888369 0.46208391],0.011214568436716423,0.9901503036244542,0.09789256501683595,1.332881631849192,10.722633747775296,-9.99999973109348,4,"[13.86, 15.09, 15.96, 16.46]","[10, 30, 50, 70]",2021-05-22 18:00:00,0.85
4.5399941970676845e-05,3.0266627980451227e-05,0.3718954678193047,[0.32806122 0.32355321 0.3269115  0.3368777 ],0.01496537765524313,0.952640741140756,0.1526497276126608,0.9297386695482618,7.852457052300128,-9.999999731096713,4,"[10.09, 10.84, 11.37, 12.0]","[10, 30, 50, 70]",2021-05-25 19:00:00,0.85
4.539994197095475e-05,3.02666279806365e-05,0.5936285642456282,[0.32285906 0.33996965 0.35336344 0.35989767],0.041200333483251014,0.995794002405494,0.07102345934651687,1.4840714106140704,6.463598799804606,-9.999999731090591,4,"[9.93, 11.39, 12.29, 12.82]","[10, 30, 50, 70]",2021-05-25 19:00:00,0.85
0.8088663027452672,0.5392442018301781,0.6134600577542533,[0.82300714 0.75100537 0.74781784 0.72402522],0.04862973990952842,0.9972742051652254,0.06053447188279682,1.5336501443856332,1.609583963216747,-0.2121216379477647,4,"[5.06, 6.75, 7.69, 8.06]","[10, 30, 50, 70]",2021-05-26 00:00:00,0.85
