timestamp,ln_z0,z0,u_star,rmse,status,wind_10m,wind_30m,wind_50m,wind_70m,alpha_main,confidence
2021-05-10 04:00:00,-2.789044459790799,0.06147993240406474,0.390569662234569,0.003077382762040096,success,4.9325,6.0275,6.532500000000001,6.87,0.17026384670457193,0.85
2021-05-18 20:00:00,-3.5161574232134454,0.02971339207422654,0.43003623968674454,0.035737470268281904,success,6.255,7.3925,7.95,8.3925,0.1510641722568161,0.85
2021-05-29 06:00:00,-1.7347537909086526,0.17644363696639934,0.5021037031690424,0.236211731039,success,4.54,6.2475000000000005,7.25,7.6525,0.26830908921341606,0.85
2021-05-30 06:00:00,-1.4788134184876507,0.22790795937393177,0.5382759740994391,0.11482263394714934,success,4.9325,6.3025,7.237500000000001,7.7775,0.2340236475441072,0.85
2021-06-05 00:00:00,-1.7704823344113951,0.17025085117400346,0.5350288103842279,0.06973012826656995,success,5.325,6.745,7.6175,8.0625,0.21317067015030552,0.85
2021-06-07 02:00:00,-2.983021172239382,0.05063961153733207,0.35768025695970496,0.10054991707508547,success,4.7625,5.529999999999999,6.175,6.547499999999999,0.16357926757380944,0.85
2021-06-07 03:00:00,-1.5309755749065967,0.21632452356261042,0.5308170692524486,0.17954095491341235,success,4.985,6.1925,7.1725,7.83,0.23204005940773534,0.85
2021-06-10 01:00:00,-1.4861782952048144,0.2262356112284454,0.5540381425447968,0.0802970717648306,success,4.975,6.827500000000001,7.4375,7.83,0.23307198413674737,0.85
2021-06-19 01:00:00,-3.1037495985836974,0.04488060225701876,0.18273923389466717,0.004835116495576519,success,2.455,2.9725,3.195,3.3600000000000003,0.1612686037333108,0.85
2021-06-19 23:00:00,-3.0,0.049787068367863944,0.33746795583347167,0.13531280294810435,success,4.5875,5.1725,5.8475,6.18,0.15313299960616034,0.85
2021-06-24 02:00:00,-2.611002641222783,0.07346085194758117,0.3386394958342639,0.08982978786557362,success,4.175,4.922499999999999,5.54,5.87,0.1751058627771722,0.85
2021-07-10 07:00:00,-4.3929957184552295,0.01236363571564863,0.3051033637457374,0.09341904907591277,success,5.1625,5.82,6.28,6.705,0.13434975842713462,0.85
2021-07-10 08:00:00,-3.6974540491340195,0.024786551549300484,0.36869075518997535,0.13958988018655444,success,5.595000000000001,6.4,6.88,7.51,0.15127220758628532,0.85
2021-07-14 04:00:00,-2.7629814522420606,0.06310334799768945,0.3510584267690969,0.016810946719021738,success,4.3975,5.42,5.859999999999999,6.1274999999999995,0.17048610335457182,0.85
2021-07-18 04:00:00,-4.160337438528388,0.015602292217082068,0.374608707677383,0.11909211687003765,success,6.11,6.9675,7.4399999999999995,8.035,0.14074659415232166,0.85
2021-07-18 05:00:00,-1.6971970469984894,0.183196295686482,0.6125762950952872,0.1285218912198273,success,5.85,7.9625,8.5225,8.97,0.21966277067543544,0.85
2021-07-24 02:00:00,-1.936357535592142,0.14422834075799587,0.6605512112912747,0.30094038170937853,success,7.0175,8.295,9.57,10.52,0.20806262727609354,0.85
2021-07-24 14:00:00,-5.07513060431541,0.006250270074075139,0.7158836280953573,0.0620985893157343,success,13.24,15.065,16.0875,16.74,0.12053923181722388,0.85
2021-07-25 21:00:00,-1.8869502597020054,0.15153324188750975,0.7199079938011211,0.16526675743431293,success,7.2475000000000005,9.73,10.385,10.862499999999999,0.20795405634442482,0.85
2021-08-04 00:00:00,-1.9581965035445992,0.14111268779967762,0.2224558142265581,0.03545995846959543,success,2.335,2.9175,3.2325,3.4899999999999998,0.20653052520877277,0.85
2021-08-13 03:00:00,-1.56393911866018,0.2093099484475189,0.4628252076779666,0.09443391560906894,success,4.2575,5.845,6.205,6.69,0.2322469723511291,0.85
2021-08-16 04:00:00,-4.035113402868506,0.01768367462003962,0.4721444244728505,0.15275253192328656,success,7.57,8.555,9.315,9.9525,0.14061836749030682,0.85
2021-08-18 03:00:00,-2.150461006306539,0.11643047021825313,0.5245501903188622,0.17161321153386197,success,5.84,6.9925,7.875,8.575,0.19739873210402234,0.85
2021-08-18 04:00:00,-1.789923564639267,0.16697293181557074,0.4720644067660696,0.16463657952659477,success,4.79,5.82,6.6875,7.279999999999999,0.21511807777403794,0.85
2021-08-22 00:00:00,-3.1856919702116504,0.04134962319160439,0.40814788859007417,0.18597953962213168,success,5.6925,6.455,7.1475,7.805,0.1621940433194515,0.85
2021-08-22 23:00:00,-3.666411593393991,0.025568054102054722,0.5806564951610111,0.20778861835493032,success,8.7825,9.9225,10.9725,11.695,0.14718063679216478,0.85
2021-08-27 04:00:00,-3.973882074480476,0.018800307094224374,0.5776327943302345,0.09329286924413012,success,9.07,10.6425,11.2425,11.99,0.14342938960869978,0.85
2021-08-27 05:00:00,-2.757821265239156,0.06342981466397461,0.783869600018732,0.10907542462320545,success,9.76,12.22,13.0525,13.615,0.17106633924609826,0.85
2021-09-03 00:00:00,-2.6877111111514216,0.06803648924719749,0.4672155746026372,0.09549433643558833,success,5.8375,6.9399999999999995,7.695,8.1875,0.173854881290687,0.85
2021-09-03 03:00:00,-2.381223119431743,0.09243744630116536,0.5967372799173595,0.04869958551483615,success,6.9075,8.585,9.3,9.9425,0.18716728542738145,0.85
2021-09-03 05:00:00,-2.929505163614383,0.053423467481114734,0.4817390512419936,0.04673469799392581,success,6.235,7.685,8.18,8.6375,0.16749725578029429,0.85
2021-09-06 04:00:00,-2.1572595153200917,0.11564160122195304,0.4754502827435714,0.09088732274276169,success,5.15,6.7325,7.1625,7.535,0.19557024130202855,0.85
