Variable,Total_IMFs,Total_Energy,High_Freq_Energy_Ratio,Medium_Freq_Energy_Ratio,Low_Freq_Energy_Ratio,Dominant_IMF,Most_Stable_IMF,Highest_Persistence_IMF,Mean_Period_Hours,Std_Period_Hours
obs_wind_speed_10m,12,1937988.225037626,1.9746952266373132,12.210270917738173,85.8150338556245,12,4,12,1016.1871589294768,1789.169820468279
obs_wind_speed_70m,12,2760469.7521530213,2.118007447826651,11.236253209963614,86.64573934220974,12,12,12,934.2836152161703,1672.9883998177017
power,11,116189858.35411519,6.9698858134563935,59.483589834513154,33.546524352030445,11,4,11,579.8192388149275,1070.6739988459572
