u_star,z0,r_squared,rmse,max_residual,n_points,wind_profile,height_profile,slope,intercept,wind_std,timestamp,confidence
0.3796264410623911,0.07404746550214134,0.9800580514741595,0.09968986933411352,0.12743164157722386,4,"[4.72, 5.58, 6.11, 6.63]","[10, 30, 50, 70]",0.9490661026559777,2.4704655368985264,0.7059390908569947,2021-05-01 17:00:00,0.85
0.5167799685132228,0.058976954605133955,0.9967514885980794,0.054311412849685485,0.09118113285524299,4,"[6.67, 7.96, 8.72, 9.19]","[10, 30, 50, 70]",1.291949921283057,3.657004443348682,0.9529034578591894,2021-05-05 02:00:00,0.85
0.39952832282243594,0.0610349041573621,0.996755575112591,0.04196225085739833,0.05350256269978004,4,"[5.12, 6.14, 6.67, 7.09]","[10, 30, 50, 70]",0.9988208070560898,2.793011990862521,0.7366987172514962,2021-05-10 05:00:00,0.85
0.449432851893822,0.005790987743954424,0.9972725094503144,0.04326893404917468,0.05838680093488691,4,"[8.4, 9.57, 10.14, 10.62]","[10, 30, 50, 70]",1.123582129734555,5.78807986683617,0.8285039227426745,2021-05-17 14:00:00,0.85
0.5309928061111319,0.021231032142218432,0.974820955059088,0.15710228937607992,0.2288758888075737,4,"[8.28, 9.4, 10.25, 10.93]","[10, 30, 50, 70]",1.3274820152778297,5.113847534241019,0.9900631293003492,2021-05-18 00:00:00,0.85
0.6291801008820482,0.08757534542632994,0.9551692050675014,0.2509341220317523,0.39045044990292155,4,"[7.63, 8.79, 9.94, 10.77]","[10, 30, 50, 70]",1.5729502522051204,3.8305361706180374,1.1851450333187072,2021-05-18 00:00:00,0.85
0.5321591013315606,0.01642867248952538,0.9913516033965891,0.09150232187872694,0.1511867221407357,4,"[8.58, 9.84, 10.76, 11.13]","[10, 30, 50, 70]",1.3303977533289015,5.466241366949263,0.9839302566747301,2021-05-18 00:00:00,0.85
0.7295038641690343,0.019982218746970287,0.9941202005281451,0.10328234335102691,0.15080165369618648,4,"[11.37, 13.32, 14.12, 15.02]","[10, 30, 50, 70]",1.8237596604225859,7.136211905751205,1.346929378252624,2021-05-18 18:00:00,0.85
0.7033609991859571,0.002286020721228278,0.956135645015844,0.2773390865373534,0.47341871640229627,4,"[14.91, 16.2, 17.79, 18.25]","[10, 30, 50, 70]",1.7584024979648927,10.692744744415908,1.3242049501493338,2021-05-18 18:00:00,0.85
0.4400943140465519,0.003731017375833334,0.9577855858522533,0.17008995671645136,0.22638087597775503,4,"[8.57, 10.12, 10.55, 10.62]","[10, 30, 50, 70]",1.1002357851163798,6.151500052473407,0.8278435842597318,2021-05-18 20:00:00,0.85
0.4963085755517387,0.026401190971106804,0.9679839740853096,0.16616443888157592,0.28049851985683283,4,"[7.25, 9.01, 9.33, 9.65]","[10, 30, 50, 70]",1.2407714388793467,4.5093929109855475,0.9286549412995121,2021-05-18 20:00:00,0.85
0.5885375223378511,0.000925427234750665,0.9759363187039849,0.1701300886288821,0.23129108891995998,4,"[13.74, 15.2, 15.81, 16.76]","[10, 30, 50, 70]",1.4713438058446275,10.277711752530344,1.0967309378329768,2021-05-22 18:00:00,0.85
0.5331534006931246,0.0003208030268714984,0.9901503621654121,0.09789227410771349,0.1660254522557416,4,"[13.86, 15.09, 15.96, 16.46]","[10, 30, 50, 70]",1.3328835017328113,10.72262557610142,0.9863664379935082,2021-05-22 18:00:00,0.85
0.7819876691867566,0.019261581249990677,0.9971991680867979,0.07629378347948945,0.10933409680328232,4,"[12.17, 14.48, 15.4, 15.94]","[10, 30, 50, 70]",1.9549691729668912,7.721429870871498,1.441602840590986,2021-05-22 18:00:00,0.85
0.3718960024515458,0.0002147884196274458,0.9526408635761128,0.15264953029394931,0.1975527672108317,4,"[10.09, 10.84, 11.37, 12.0]","[10, 30, 50, 70]",0.9297400061288644,7.8524512404077464,0.7014449372545217,2021-05-25 19:00:00,0.85
0.59362939080471,0.012838548148053986,0.9957940403611152,0.071023138882043,0.12121657944824094,4,"[9.93, 11.39, 12.29, 12.82]","[10, 30, 50, 70]",1.484073477011775,6.463589755241542,1.095134124205798,2021-05-25 19:00:00,0.85
0.4630618434604623,0.06841715553262581,0.9963322710874539,0.05172162847670639,0.08760608286246985,4,"[5.74, 7.13, 7.59, 8.01]","[10, 30, 50, 70]",1.1576546086511557,3.104982093324092,0.8540308835165152,2021-05-29 17:00:00,0.85
0.3172435966310305,0.00048437478870968,0.9893072504340135,0.0607167678811047,0.08304438597896713,4,"[7.85, 8.79, 9.23, 9.34]","[10, 30, 50, 70]",0.7931089915775762,6.053524608835069,0.5871701201525843,2021-05-31 00:00:00,0.85
0.37009440511151137,0.0007315189962390582,0.9584448169502964,0.14186597305433613,0.20747272405448136,4,"[8.91, 9.62, 10.25, 10.77]","[10, 30, 50, 70]",0.9252360127787784,6.680562419971768,0.6959301329875004,2021-05-31 00:00:00,0.85
0.5150600601232291,0.005109802344073395,0.9986583316989223,0.03475430972305082,0.05172478375524392,4,"[9.77, 11.17, 11.78, 12.31]","[10, 30, 50, 70]",1.2876501503080728,6.794407772807053,0.9488249311648596,2021-06-01 14:00:00,0.85
0.3902125714038435,0.0012822034534067039,0.9845690364902021,0.08993140333638176,0.12077536030521507,4,"[8.69, 9.9, 10.4, 10.52]","[10, 30, 50, 70]",0.9755314285096087,6.496234727812528,0.7239604616275672,2021-06-01 14:00:00,0.85
