datetime,actual_power,predicted_power,error,abs_error,corrected_wind,original_gfs_wind_10m
2022-08-28 16:30:00,0.0,23.918529397055913,23.918529397055913,23.918529397055913,4.355423872080886,2.526751
2022-08-28 16:45:00,0.0,23.918529397055913,23.918529397055913,23.918529397055913,4.355423872080886,2.4605002
2022-08-28 17:00:00,0.0,23.918529397055913,23.918529397055913,23.918529397055913,4.333609994559084,2.3854373
2022-08-28 17:15:00,0.476,23.398334248319667,22.922334248319668,22.922334248319668,4.269815293807278,2.3259904
2022-08-28 17:30:00,1.9714,22.90492092471385,20.93352092471385,20.93352092471385,4.243244051355668,2.2495239
2022-08-28 17:45:00,2.323,21.912212042177877,19.589212042177877,19.589212042177877,4.102941414286317,2.1744046
2022-08-28 18:00:00,6.1528,21.168077343418847,15.015277343418848,15.015277343418848,4.102941414286317,2.1646655
2022-08-28 18:15:00,7.9067,21.168077343418847,13.261377343418847,13.261377343418847,4.102941414286317,2.1639688
2022-08-28 18:30:00,5.8182,21.168077343418847,15.349877343418846,15.349877343418846,4.0536312211258885,2.127263
2022-08-28 18:45:00,5.8182,21.168077343418847,15.349877343418846,15.349877343418846,4.0536312211258885,2.0353148
2022-08-28 19:00:00,3.3204,21.168077343418847,17.847677343418848,17.847677343418848,4.0536312211258885,1.9666264
2022-08-28 19:15:00,0.0,21.168077343418847,21.168077343418847,21.168077343418847,4.0536312211258885,1.8912094
2022-08-28 19:30:00,0.0,21.168077343418847,21.168077343418847,21.168077343418847,4.0536312211258885,1.8495939
2022-08-28 19:45:00,0.0,21.168077343418847,21.168077343418847,21.168077343418847,4.0536312211258885,1.8466047
2022-08-28 20:00:00,0.0,21.168077343418847,21.168077343418847,21.168077343418847,4.0536312211258885,1.9636916
2022-08-28 20:15:00,0.0,21.168077343418847,21.168077343418847,21.168077343418847,4.0293513444738975,1.9294885
2022-08-28 20:30:00,0.0,21.168077343418847,21.168077343418847,21.168077343418847,4.0293513444738975,2.21753
2022-08-28 20:45:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,2.3335922
2022-08-28 21:00:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,2.2219973
2022-08-28 21:15:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,2.1262786
2022-08-28 21:30:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,2.057307
2022-08-28 21:45:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,1.9383433
2022-08-28 22:00:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,1.779788
2022-08-28 22:15:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,1.5668818
2022-08-28 22:30:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9769573978044135,1.342229
2022-08-28 22:45:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9154425724762967,1.1512443
2022-08-28 23:00:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9154425724762967,0.9058797
2022-08-28 23:15:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.9154425724762967,0.44785395
2022-08-28 23:30:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.883065543728961,0.5652263
2022-08-28 23:45:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.883065543728961,0.8902726
2022-08-29 00:00:00,1.023,21.720517337223523,20.697517337223523,20.697517337223523,3.9529461121918708,4.307494
2022-08-29 00:15:00,2.2761,22.795093756030738,20.51899375603074,20.51899375603074,4.030333679345823,4.3981667
2022-08-29 00:30:00,3.1115,23.676939851452595,20.565439851452595,20.565439851452595,4.164577628908054,4.4228086
2022-08-29 00:45:00,3.1115,27.166986890476835,24.055486890476836,24.055486890476836,4.4495027464989825,4.4115844
2022-08-29 01:00:00,0.3502,30.670432492705913,30.320232492705912,30.320232492705912,4.487532297445242,4.514755
2022-08-29 01:15:00,0.7857,30.670432492705913,29.884732492705915,29.884732492705915,4.487532297445242,4.533213
2022-08-29 01:30:00,2.3884,30.670432492705913,28.282032492705913,28.282032492705913,4.487532297445242,4.5499706
2022-08-29 01:45:00,6.3616,27.77586667081494,21.41426667081494,21.41426667081494,4.278739140399012,4.700515
2022-08-29 02:00:00,5.0254,26.129784385019995,21.104384385019994,21.104384385019994,4.376270616839377,4.9857593
2022-08-29 02:15:00,5.5731,27.637506520691087,22.064406520691087,22.064406520691087,4.402841859290987,5.080325
2022-08-29 02:30:00,7.6403,30.670432492705913,23.030132492705913,23.030132492705913,4.448158380130471,4.9642534
2022-08-29 02:45:00,11.9645,28.889095288490047,16.924595288490046,16.924595288490046,4.396688003135887,4.5514154
2022-08-29 03:00:00,15.8604,27.77586667081494,11.915466670814938,11.915466670814938,4.28532906649284,3.8776758
2022-08-29 03:15:00,18.9101,24.421074550211625,5.510974550211625,5.510974550211625,4.157199120304333,3.2843792
2022-08-29 03:30:00,16.5275,22.795093756030738,6.267593756030738,6.267593756030738,4.145506718776002,2.417412
2022-08-29 03:45:00,16.5275,25.385649686260965,8.858149686260965,8.858149686260965,4.3192792599716485,1.4811182
2022-08-29 04:00:00,19.5623,26.029456525641066,6.467156525641066,6.467156525641066,4.218277383056908,1.0997128
2022-08-29 04:15:00,24.1145,23.539228454789768,-0.5752715452102315,0.5752715452102315,4.144713882905016,1.4934607
2022-08-29 04:30:00,18.8505,21.720517337223523,2.8700173372235227,2.8700173372235227,3.9998517635200708,2.0879793
2022-08-29 04:45:00,25.6085,21.720517337223523,-3.8879826627764764,3.8879826627764764,4.0216656410418725,2.407664
2022-08-29 05:00:00,29.0952,21.720517337223523,-7.374682662776475,7.374682662776475,3.9240109269817247,1.9943955
2022-08-29 05:15:00,25.0203,21.720517337223523,-3.299782662776476,3.299782662776476,3.9240109269817247,1.3745877
2022-08-29 05:30:00,25.0203,21.720517337223523,-3.299782662776476,3.299782662776476,3.9240109269817247,1.1975808
2022-08-29 05:45:00,24.4434,21.720517337223523,-2.7228826627764775,2.7228826627764775,3.9240109269817247,0.9253351
2022-08-29 06:00:00,23.0852,21.720517337223523,-1.3646826627764774,1.3646826627764774,3.950747713580223,0.70962507
2022-08-29 06:15:00,17.4013,21.720517337223523,4.319217337223524,4.319217337223524,3.950747713580223,0.5013517
2022-08-29 06:30:00,17.4013,22.795093756030738,5.393793756030739,5.393793756030739,4.109312818087085,0.15941893
2022-08-29 06:45:00,12.7836,22.795093756030738,10.011493756030738,10.011493756030738,4.046590044226182,0.2375698
2022-08-29 07:00:00,0.0853,20.771609799358647,20.686309799358646,20.686309799358646,3.9494522929769422,0.4998217
2022-08-29 07:15:00,0.0,20.771609799358647,20.771609799358647,20.771609799358647,3.985603824386235,0.6819752
2022-08-29 07:30:00,0.0781,20.771609799358647,20.693509799358647,20.693509799358647,3.933209877716752,1.0028204
2022-08-29 07:45:00,2.5532,19.910042796403474,17.356842796403473,17.356842796403473,3.7958542158502877,1.384414
