datetime,actual_power,predicted_power,fused_wind,error,abs_error,original_gfs_10m,original_gfs_70m
2022-08-23 20:00:00,90.3735,63.59077121630584,8.5672628,-26.782728783694168,26.782728783694168,7.891151,9.624771
2022-08-23 20:15:00,91.3965,63.01332285405767,8.192898150000001,-28.383177145942334,28.383177145942334,7.441725,9.36781
2022-08-23 20:30:00,96.3494,56.80023151445189,8.068561078,-39.549168485548115,39.549168485548115,7.2602158,9.332896
2022-08-23 20:45:00,103.3952,57.19724117282152,7.842328419999999,-46.19795882717848,46.19795882717848,6.987106,9.179984
2022-08-23 21:00:00,109.5011,57.60771478077291,7.7982500560000005,-51.893385219227085,51.893385219227085,6.8884306,9.221301
2022-08-23 21:15:00,109.5394,57.60771478077291,7.84626995,-51.93168521922709,51.93168521922709,6.879731,9.358036
2022-08-23 21:30:00,109.7099,57.60771478077291,7.83081866,-52.102185219227096,52.102185219227096,6.822515,9.407909
2022-08-23 21:45:00,110.2896,57.47974141369416,7.857140169999999,-52.809858586305836,52.809858586305836,6.809521,9.495724
2022-08-23 22:00:00,113.8544,57.069267805742776,7.953588634000001,-56.78513219425722,56.78513219425722,6.8626804,9.659881
2022-08-23 22:15:00,114.4028,57.069267805742776,8.08231578,-57.333532194257224,57.333532194257224,6.939576,9.869678
2022-08-23 22:30:00,113.8501,59.4674533452458,8.321979076,-54.3826466547542,54.3826466547542,7.1236696,10.196258
2022-08-23 22:45:00,106.1124,62.367509614336065,8.549314200000001,-43.74489038566393,43.74489038566393,7.30881,10.48959
2022-08-23 23:00:00,95.6269,63.59077121630584,8.598551593,-32.03612878369417,32.03612878369417,7.3375573,10.570876
2022-08-23 23:15:00,90.3842,63.59077121630584,8.416741164000001,-26.793428783694168,26.793428783694168,7.1654544,10.373882
2022-08-23 23:30:00,90.3842,61.790061252087895,8.19697784,-28.594138747912112,28.594138747912112,6.957887,10.135043
2022-08-23 23:45:00,76.7623,56.80023151445189,8.022408846000001,-19.96206848554811,19.96206848554811,6.7717056,9.978637
2022-08-24 00:00:00,77.2354,75.57193468011596,10.542867650000002,-1.6634653198840397,1.6634653198840397,9.139868,12.737303
2022-08-24 00:15:00,77.7924,92.33391828114063,10.380323879999999,14.541518281140625,14.541518281140625,8.9961,12.545392
2022-08-24 00:30:00,66.8025,79.1408118774659,9.96254275,12.338311877465898,12.338311877465898,8.596441,12.099266
2022-08-24 00:45:00,72.5382,71.75952692873038,9.66915052,-0.7786730712696226,0.7786730712696226,8.307634,11.798702
2022-08-24 01:00:00,75.0218,72.35484274182951,9.52027476,-2.666957258170484,2.666957258170484,8.161248,11.645932
2022-08-24 01:15:00,75.8174,72.35484274182951,9.56484794,-3.4625572581704915,3.4625572581704915,8.197841,11.702987
2022-08-24 01:30:00,75.8174,72.35484274182951,9.598284880000001,-3.4625572581704915,3.4625572581704915,8.225761,11.745053
2022-08-24 01:45:00,80.0884,72.35484274182951,9.58085993,-7.733557258170478,7.733557258170478,8.206583,11.73037
2022-08-24 02:00:00,83.8649,71.75952692873038,9.606210845,-12.105373071269625,12.105373071269625,8.2293215,11.759807
2022-08-24 02:15:00,87.5817,73.42077486216502,9.70525166,-14.16092513783498,14.16092513783498,8.324108,11.865502
2022-08-24 02:30:00,75.1781,73.42077486216502,9.88477874,-1.7573251378349823,1.7573251378349823,8.506649,12.040315
2022-08-24 02:45:00,72.1624,79.44379371685739,10.07774196,7.28139371685738,7.28139371685738,8.699184,12.233948
2022-08-24 03:00:00,73.0675,82.90924961477451,10.14114778,9.841749614774514,9.841749614774514,8.766202,12.291704
2022-08-24 03:15:00,85.7382,82.90924961477451,10.034252859999999,-2.8289503852254967,2.8289503852254967,8.654014,12.193088
2022-08-24 03:30:00,85.6458,82.90924961477451,10.0691144,-2.7365503852254847,2.7365503852254847,8.683811,12.235871
2022-08-24 03:45:00,85.5996,82.90924961477451,10.15873658,-2.6903503852254858,2.6903503852254858,8.770289,12.330411
2022-08-24 04:00:00,85.5996,82.90924961477451,10.17098,-2.6903503852254858,2.6903503852254858,8.780357,12.346057
2022-08-24 04:15:00,71.035,82.90924961477451,10.237121559999999,11.874249614774513,11.874249614774513,8.835655,12.429159
2022-08-24 04:30:00,69.6945,87.8227734172231,10.53551346,18.1282734172231,18.1282734172231,9.111852,12.762266
2022-08-24 04:45:00,68.7923,91.73860246804149,10.777747810000001,22.946302468041495,22.946302468041495,9.342361,13.02284
2022-08-24 05:00:00,60.6007,91.73860246804149,10.76601926,31.13790246804149,31.13790246804149,9.313724,13.037558
2022-08-24 05:15:00,59.5145,91.73860246804149,10.59150512,32.224102468041494,32.224102468041494,9.128963,12.879071
2022-08-24 05:30:00,61.3573,93.39985040147613,10.41728913,32.04255040147613,32.04255040147613,8.954178,12.705745
2022-08-24 05:45:00,65.8328,86.82507866559288,10.22357025,20.992278665592877,20.992278665592877,8.765253,12.504528
2022-08-24 06:00:00,63.1773,74.87047014176032,10.3231224,11.69317014176032,11.69317014176032,8.651313,12.366445
2022-08-24 06:15:00,62.1181,74.75647574705332,10.18188765,12.638375747053317,12.638375747053317,8.542386,12.185723
2022-08-24 06:30:00,64.1385,70.1241828756311,9.956094400000001,5.985682875631113,5.985682875631113,8.340427,11.930799
2022-08-24 06:45:00,74.5387,69.3593697155344,9.7880605,-5.179330284465607,5.179330284465607,8.183194,11.749564
2022-08-24 07:00:00,77.8229,69.3593697155344,9.68718965,-8.463530284465605,8.463530284465605,8.087306,11.642603
2022-08-24 07:15:00,81.7337,69.3593697155344,9.662142500000002,-12.3743302844656,12.3743302844656,8.149976,11.510346
2022-08-24 07:30:00,86.4663,69.3593697155344,9.725736900000001,-17.106930284465605,17.106930284465605,8.406426,11.338228
2022-08-24 07:45:00,81.2946,69.3593697155344,9.6038159,-11.935230284465604,11.935230284465604,8.35421,11.131112
2022-08-24 08:00:00,82.9428,70.23669793564652,9.4964034,-12.706102064353487,12.706102064353487,8.423751,10.807423
2022-08-24 08:15:00,83.8606,70.23669793564652,9.37568775,-13.623902064353487,13.623902064353487,8.636898,10.278653
2022-08-24 08:30:00,84.1185,70.23669793564652,9.37964655,-13.88180206435348,13.88180206435348,8.692974,10.218913
2022-08-24 08:45:00,98.4423,70.23669793564652,9.477086,-28.205602064353485,28.205602064353485,8.815577,10.285597
2022-08-24 09:00:00,91.5656,70.23669793564652,9.550612050000002,-21.328902064353485,21.328902064353485,8.878956,10.371525
2022-08-24 09:15:00,81.2996,70.23669793564652,9.617715700000002,-11.06290206435348,11.06290206435348,8.935234,10.45186
2022-08-24 09:30:00,82.8611,70.23669793564652,9.6409809,-12.624402064353475,12.624402064353475,8.946954,10.489236
2022-08-24 09:45:00,89.1985,70.23669793564652,9.7308678,-18.961802064353478,18.961802064353478,9.050259,10.562723
2022-08-24 10:00:00,91.5031,70.23669793564652,9.790874550000002,-21.266402064353485,21.266402064353485,9.110646,10.622265
2022-08-24 10:15:00,91.5031,70.23669793564652,9.867836400000002,-21.266402064353485,21.266402064353485,9.193281,10.692293
2022-08-24 10:30:00,72.6462,70.23669793564652,9.925748825,-2.4095020643534752,2.4095020643534752,9.262049,10.7369375
2022-08-24 10:45:00,69.4409,70.23669793564652,9.935463875,0.7957979356465188,0.7957979356465188,9.2747345,10.743022
2022-08-24 11:00:00,69.5048,72.60876890062629,9.88019465,3.1039689006262847,3.1039689006262847,9.228029,10.677286
2022-08-24 11:15:00,76.265,72.60876890062629,9.7592979,-3.656231099373713,3.656231099373713,9.117219,10.544061
2022-08-24 11:30:00,76.265,72.60876890062629,9.687393700000001,-3.656231099373713,3.656231099373713,9.061405,10.452491
2022-08-24 11:45:00,72.2455,72.60876890062629,9.5298209,0.3632689006262808,0.3632689006262808,8.928413,10.264875
2022-08-24 12:00:00,66.2164,70.8468259053542,9.329858399999999,4.630425905354201,4.630425905354201,8.748669,10.040201
2022-08-24 12:15:00,74.6666,69.43611442439624,9.1587937,-5.230485575603765,5.230485575603765,8.593186,9.850092
2022-08-24 12:30:00,74.6666,59.84110251691616,9.075058550000001,-14.825497483083844,14.825497483083844,8.5193,9.754319
2022-08-24 12:45:00,69.8728,59.84110251691616,9.084790075,-10.031697483083839,10.031697483083839,8.5306225,9.762106
2022-08-24 13:00:00,56.6899,59.70439078845272,9.04621915,3.0144907884527186,3.0144907884527186,8.497729,9.716596
2022-08-24 13:15:00,58.5093,59.70439078845272,9.014628900000002,1.1950907884527169,1.1950907884527169,8.473962,9.675444
2022-08-24 13:30:00,58.7891,59.70439078845272,9.003177100000002,0.9152907884527224,0.9152907884527224,8.469667,9.655245
2022-08-24 13:45:00,57.7804,59.70439078845272,8.8966885,1.9239907884527199,1.9239907884527199,8.375845,9.533275
2022-08-24 14:00:00,50.989,61.41876535962613,8.8266115,10.429765359626131,10.429765359626131,8.313049,9.454299
2022-08-24 14:15:00,46.1724,61.41876535962613,8.7805991,15.246365359626125,15.246365359626125,8.272685,9.401383
2022-08-24 14:30:00,43.4481,61.41876535962613,8.675386575000001,17.970665359626132,17.970665359626132,8.171772,9.2909155
2022-08-24 14:45:00,42.6453,60.203507637394544,8.5928295,17.558207637394545,17.558207637394545,8.093217,9.203467
2022-08-24 15:00:00,42.6453,59.458169616320724,8.369827075,16.812869616320725,16.812869616320725,7.8738265,8.97605
2022-08-24 15:15:00,46.0098,58.812356376599126,8.517930300000002,12.802556376599128,12.802556376599128,8.016633,9.130627
2022-08-24 15:30:00,48.9224,58.812356376599126,8.604024,9.889956376599123,9.889956376599123,8.099178,9.221058
2022-08-24 15:45:00,48.7192,60.0356179785689,8.582078500000001,11.3164179785689,11.3164179785689,8.073322,9.203892
2022-08-24 16:00:00,41.3893,61.90523164630015,8.579793550000002,20.515931646300153,20.515931646300153,8.068846,9.204285
2022-08-24 16:15:00,37.053,61.90523164630015,8.57879815,24.852231646300154,24.852231646300154,8.063275,9.208882
2022-08-24 16:30:00,34.5468,61.90523164630015,8.61477795,27.358431646300154,27.358431646300154,8.090946,9.255017
2022-08-24 16:45:00,34.5468,61.90523164630015,8.586634700000001,27.358431646300154,27.358431646300154,8.060447,9.229753
2022-08-24 17:00:00,34.5468,61.90523164630015,8.4879952,27.358431646300154,27.358431646300154,7.963954,9.12849
2022-08-24 17:15:00,34.9822,60.1045216820822,8.200964935,25.1223216820822,25.1223216820822,7.6808467,8.836665
