Method,Correlation,RMSE,MAE,Coverage_Score,Low_Wind_RMSE,Overall_Score,<1m/s,<2m/s,<3m/s,<4m/s
Baseline,0.6229574701114606,2.0985919490884695,1.5309266905213925,0.1359829879684714,3.1219997465956992,0.48108976918684937,0,0,63,1989
Dual_Model,0.5916208776946866,2.1938290059820607,1.6254193145256972,0.26248584723700175,3.0844207870419846,0.5034809007149814,0,58,870,2302
Postprocess_Mapping,0.6112767704959009,2.136445544942949,1.5499006603599577,0.4383772444817038,3.06876204195036,0.6168208382424578,103,392,1083,1989
