datetime,power,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h
2021-05-01 00:00:00,29.6714,11.30406847,127.78196397444816,1444.4560699982353,0,5,0,11.30406847,11.30406847
2021-05-01 00:15:00,29.1351,11.038939430000001,121.85818373920874,1345.1851093469363,0,5,0,11.30406847,11.30406847
2021-05-01 00:30:00,28.5939,10.98651235,120.70345361670252,1326.1099838475543,0,5,0,11.038939430000001,11.30406847
2021-05-01 00:45:00,28.0354,11.13259774,123.9347324406531,1379.7155222763192,0,5,0,10.98651235,11.30406847
2021-05-01 01:00:00,27.4607,11.25921235,126.76986274239253,1427.3288041969508,1,5,0,11.13259774,11.30406847
2021-05-01 01:15:00,26.846,11.398421659999999,129.92401633915713,1480.9287219944422,1,5,0,11.25921235,11.30406847
2021-05-01 01:30:00,26.1943,11.519702460000001,132.7035447669301,1528.7053511023248,1,5,0,11.398421659999999,11.30406847
2021-05-01 01:45:00,25.5088,11.30843975,127.88080957938006,1446.1324303096421,1,5,0,11.519702460000001,11.30406847
2021-05-01 02:00:00,24.7929,11.249380505000001,126.54856174627409,1423.5929234443247,2,5,0,11.30843975,11.30406847
2021-05-01 02:15:00,24.0616,11.08867688,122.95875494904652,1363.4499031970777,2,5,0,11.249380505000001,11.30406847
2021-05-01 02:30:00,23.3508,11.12290982,123.71912286385243,1376.116646624131,2,5,0,11.08867688,11.30406847
2021-05-01 02:45:00,22.671,11.04553271,122.00379284767995,1347.5968846431128,2,5,0,11.12290982,11.30406847
2021-05-01 03:00:00,22.042,11.28669748,127.38954000503837,1437.807200153226,3,5,0,11.04553271,11.30406847
2021-05-01 03:15:00,21.4607,11.66548788,136.0836074784269,1587.4816737062665,3,5,0,11.28669748,11.30406847
2021-05-01 03:30:00,20.9846,11.88148143,141.16960097143482,1677.3039924226127,3,5,0,11.66548788,11.30406847
2021-05-01 03:45:00,20.6172,11.986332560000001,143.67216823891619,1722.102388127919,3,5,0,11.88148143,11.30406847
2021-05-01 04:00:00,20.3628,11.93792629,142.51408410547316,1701.3226313379992,4,5,0,11.986332560000001,11.30406847
2021-05-01 04:15:00,20.2561,11.74442544,137.9315289157192,1619.9265571758683,4,5,0,11.93792629,11.30406847
2021-05-01 04:30:00,20.2078,11.73315485,137.66692273407853,1615.2673221619286,4,5,0,11.74442544,11.30406847
2021-05-01 04:45:00,20.2271,11.71219634,137.1755431067094,1606.626893911914,4,5,0,11.73315485,11.30406847
2021-05-01 05:00:00,20.3239,11.6301601,135.260623951632,1573.1027117833746,5,5,0,11.71219634,11.30406847
2021-05-01 05:15:00,20.4896,11.663337590000001,136.03344373830703,1586.6039778501467,5,5,0,11.6301601,11.30406847
2021-05-01 05:30:00,20.6961,11.816943440000001,139.64015226415907,1650.1197812585556,5,5,0,11.663337590000001,11.30406847
2021-05-01 05:45:00,20.9446,11.862275270000001,140.7135745812536,1669.1831559085053,5,5,0,11.816943440000001,11.30406847
2021-05-01 06:00:00,21.2163,11.79296806,139.07409566418016,1640.096368141061,6,5,1,11.862275270000001,11.30406847
2021-05-01 06:15:00,21.5223,11.68908047,136.63460223413543,1597.132860501251,6,5,1,11.79296806,11.038939430000001
2021-05-01 06:30:00,21.7287,11.802443879999998,139.2976815405494,1644.0530689964462,6,5,1,11.68908047,10.98651235
2021-05-01 06:45:00,21.8222,11.978906030000001,143.4941896755704,1718.9034139746539,6,5,1,11.802443879999998,11.13259774
2021-05-01 07:00:00,21.7702,12.03624373,144.87116312796434,1743.7046288567678,7,5,1,11.978906030000001,11.25921235
2021-05-01 07:15:00,21.5737,11.91499929,141.96720808070052,1691.5391834848292,7,5,1,12.03624373,11.398421659999999
2021-05-01 07:30:00,21.2264,11.70027632,136.89646596435276,1601.7264790144025,7,5,1,11.91499929,11.519702460000001
2021-05-01 07:45:00,20.7059,11.30539056,127.8118557141371,1444.9629470466875,7,5,1,11.70027632,11.30843975
2021-05-01 08:00:00,20.0254,10.82114202,117.09711461700968,1267.1245074028795,8,5,1,11.30539056,11.249380505000001
2021-05-01 08:15:00,19.1833,9.94512155,98.9054426442744,983.6266490538623,8,5,1,10.82114202,11.08867688
2021-05-01 08:30:00,18.2548,9.25779231,85.70671845509513,793.4549990289146,8,5,1,9.94512155,11.12290982
2021-05-01 08:45:00,17.2323,9.23373613,85.26188291846739,787.2857288160822,8,5,1,9.25779231,11.04553271
2021-05-01 09:00:00,16.1379,8.91828283,79.53576863587283,709.3224797961572,9,5,1,9.23373613,11.28669748
2021-05-01 09:15:00,14.9939,7.804047295,60.90315418259682,475.2910956556627,9,5,1,8.91828283,11.66548788
2021-05-01 09:30:00,13.999,6.9912806000000005,48.87800442793637,341.71984412374564,9,5,1,7.804047295,11.88148143
2021-05-01 09:45:00,13.1391,6.449338537,41.5939675648333,268.25357792260746,9,5,1,6.9912806000000005,11.986332560000001
2021-05-01 10:00:00,12.3958,5.6740976850000004,32.19538453892236,182.67975687998418,10,5,1,6.449338537,11.93792629
2021-05-01 10:15:00,11.7484,4.64138733,21.542476347084527,99.98697677418279,10,5,1,5.6740976850000004,11.74442544
2021-05-01 10:30:00,11.2444,3.815269647,14.556282479319504,55.536142716505616,10,5,1,4.64138733,11.73315485
2021-05-01 10:45:00,10.879,3.50535347,12.287502949641043,43.07204110215947,10,5,1,3.815269647,11.71219634
2021-05-01 11:00:00,10.6461,3.4697035,12.03884237791225,41.77121353459046,11,5,1,3.50535347,11.6301601
