datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_70m
2022-10-01 09:45:00,134.48,77.8204006718715,-56.65959932812849,56.65959932812849,-42.13236118673056,11.88513561,141.2564484680901,1678.8520458302276,9,10,1,12.06728305,12.553162740000001,11.88513561
2022-10-01 10:00:00,136.95,78.52716848930852,-58.422831510691466,58.422831510691466,-42.65997189224204,11.92713949,142.25665641391745,1696.7149844297967,10,10,1,11.88513561,12.97320255,11.92713949
2022-10-01 10:15:00,136.95,78.52716848930852,-58.422831510691466,58.422831510691466,-42.65997189224204,11.90862821,141.8154258440078,1688.8271808191143,10,10,1,11.92713949,13.029227250000002,11.90862821
2022-10-01 10:30:00,140.62,81.58069961772263,-59.039300382277375,59.039300382277375,-41.984995290910874,11.70369921,136.97657519815462,1603.1326349351477,10,10,1,11.90862821,12.69886029,11.70369921
2022-10-01 10:45:00,151.19,81.0565661244939,-70.1334338755061,70.1334338755061,-46.387614174791544,11.652979030000001,135.79192027361975,1582.380399391923,10,10,1,11.70369921,12.468300015,11.652979030000001
2022-10-01 11:00:00,140.6,84.77911124271755,-55.82088875728245,55.82088875728245,-39.70191234232735,11.740731870000001,137.84478484323373,1618.3986585222474,11,10,1,11.652979030000001,12.133970320000001,11.740731870000001
2022-10-01 11:15:00,133.59,84.77911124271755,-48.810888757282456,48.810888757282456,-36.53783124008434,11.85773633,140.60591087180185,1667.267817557307,11,10,1,11.740731870000001,11.88777676,11.85773633
2022-10-01 11:30:00,128.6,84.77911124271755,-43.82088875728245,43.82088875728245,-34.07534117719667,11.72271852,137.422129499151,1610.960942537536,11,10,1,11.85773633,12.420285119999999,11.72271852
2022-10-01 11:45:00,128.6,84.77911124271755,-43.82088875728245,43.82088875728245,-34.07534117719667,11.632154850000001,135.30702645437856,1573.9122840103778,11,10,1,11.72271852,13.10900513,11.632154850000001
2022-10-01 12:00:00,120.78,84.77911124271755,-36.00088875728245,36.00088875728245,-29.806995160044508,11.423457540000001,130.49538216818289,1490.7084573643103,12,10,1,11.632154850000001,13.33670761,11.423457540000001
2022-10-01 12:15:00,109.95,90.64242345643284,-19.307576543567166,19.307576543567166,-17.560324276317537,11.06002217,122.3240904008915,1352.9071517589443,12,10,1,11.423457540000001,13.71763618,11.06002217
2022-10-01 12:30:00,90.92,92.53234496658929,1.6123449665892906,1.6123449665892906,1.7733666590540629,11.074909569999999,122.65362198367757,1358.377771902193,12,10,1,11.06002217,13.942341990000001,11.074909569999999
2022-10-01 12:45:00,87.33,92.53234496658929,5.202344966589294,5.202344966589294,5.957110919493397,11.05593975,122.23380375563006,1351.40956973557,12,10,1,11.074909569999999,13.99538618,11.05593975
