datetime,PC1,alpha_10_70,stability
2021-05-01 00:00:00,0.602766926891407,0.1401429651798748,neutral
2021-05-01 00:15:00,0.4401615804611868,0.16640769596804295,neutral
2021-05-01 00:30:00,0.2775562340224552,0.19505647015730415,neutral
2021-05-01 00:45:00,0.11495088759224983,0.22648067660461735,neutral
2021-05-01 01:00:00,0.09001398508674203,0.1774805399962185,neutral
2021-05-01 01:15:00,-0.09763121921339972,0.19182716210893888,neutral
2021-05-01 01:30:00,-0.17274364417541266,0.2807969095920905,neutral
2021-05-01 01:45:00,-0.6540075607934619,0.18396862759071167,neutral
2021-05-01 02:00:00,-0.537248697546867,0.13903303312341345,neutral
2021-05-01 02:15:00,-0.8040598370145237,0.14501829917686918,neutral
2021-05-01 02:30:00,-0.8714749104509951,0.11115151280606282,neutral
2021-05-01 02:45:00,-0.958418369201544,0.123662805745964,neutral
2021-05-01 03:00:00,-0.8524932599632625,0.08734897762450884,unstable
2021-05-01 03:15:00,-0.7651408615241241,0.12233046396082238,neutral
2021-05-01 03:30:00,-0.842434346304206,0.1563121743871205,neutral
2021-05-01 03:45:00,-0.7629030739855014,0.13876649820864087,neutral
2021-05-01 04:00:00,-0.7630022372606967,0.17368880628463826,neutral
2021-05-01 04:15:00,-0.9322956182467022,0.15020054444547903,neutral
2021-05-01 04:30:00,-0.6152757952150252,0.26635966827441304,neutral
2021-05-01 04:45:00,-0.48787927996220404,0.24778005764063324,neutral
2021-05-01 05:00:00,-0.16377571768592483,0.2264300312569496,neutral
2021-05-01 05:15:00,-0.30536144234274626,0.19727915374200822,neutral
2021-05-01 05:30:00,-0.17374749599312633,0.19742048603364173,neutral
2021-05-01 05:45:00,-0.02785864741639472,0.23655643462089662,neutral
2021-05-01 06:00:00,0.08284668083715559,0.27130608496749514,neutral
2021-05-01 06:15:00,0.1449571965994746,0.2622670851930111,neutral
2021-05-01 06:30:00,0.27074614334002955,0.25460062404655986,neutral
2021-05-01 06:45:00,0.13936730299544894,0.273505338366052,neutral
2021-05-01 07:00:00,0.00407346768953608,0.19013978052351435,neutral
2021-05-01 07:15:00,-0.2689412872160698,0.1598626172717319,neutral
2021-05-01 07:30:00,-0.4133459465959243,0.2087991506572948,neutral
2021-05-01 07:45:00,-0.19471138207514146,0.3325073867254843,stable
2021-05-01 08:00:00,-0.16702929055134272,0.2635548317975319,neutral
2021-05-01 08:15:00,-0.08251048005951304,0.21362324467745994,neutral
2021-05-01 08:30:00,-0.034481945028648486,0.17487253244220755,neutral
2021-05-01 08:45:00,-0.35462301591307693,0.17474842422652206,neutral
2021-05-01 09:00:00,-0.47547176787660334,0.2622521737049069,neutral
2021-05-01 09:15:00,-0.6957258308221544,0.21414954224560132,neutral
2021-05-01 09:30:00,-0.964348958932737,0.14657201931705438,neutral
2021-05-01 09:45:00,-1.1791838214720103,0.09861247082927398,unstable
2021-05-01 10:00:00,-1.412516332818844,-0.031448297372120945,unstable
2021-05-01 10:15:00,-1.7181890213482653,-0.015936109258495288,unstable
2021-05-01 10:30:00,-0.5449720743634249,0.1122671032198749,neutral
2021-05-01 10:45:00,-0.36406716359136365,-0.009721496720385057,unstable
2021-05-01 11:00:00,-0.5713300635552849,0.028295128225605596,unstable
2021-05-01 11:15:00,-0.954325215386044,-0.07138892580567023,unstable
2021-05-01 11:30:00,-1.3589028970776675,-0.004568015343134502,unstable
2021-05-01 11:45:00,-1.0781948424172347,-0.031550757365755286,unstable
2021-05-01 12:00:00,-0.929645422740155,0.12569875666366973,neutral
2021-05-01 12:15:00,-0.9130069998453758,0.02668815349303512,unstable
2021-05-01 12:30:00,-1.3356693462349354,-0.029700168334443024,unstable
2021-05-01 12:45:00,-1.268319047620431,0.037647828619537256,unstable
2021-05-01 13:00:00,-1.9186430473594436,0.0045545202907482235,unstable
2021-05-01 13:15:00,-1.751115232897135,0.11270539607575598,neutral
2021-05-01 13:30:00,-1.5962000915599437,0.08759499061214131,unstable
2021-05-01 13:45:00,-2.260132357519855,0.02382736971716549,unstable
2021-05-01 14:00:00,-2.2327378264742306,0.028458389764726883,unstable
2021-05-01 14:15:00,-2.4445910408419276,-0.0944294111897999,unstable
2021-05-01 14:30:00,-2.347710371053214,-0.01137828788650002,unstable
2021-05-01 14:45:00,-2.9309636296318105,0.26336115881468497,neutral
2021-05-01 15:00:00,-2.2169700295857258,-0.0017569191210834412,unstable
2021-05-01 15:15:00,-1.4618918577628985,-0.042900802237501555,unstable
2021-05-01 15:30:00,-1.2929769746130393,0.08391437835658114,unstable
2021-05-01 15:45:00,-1.5401972935190675,-0.017854343614343973,unstable
2021-05-01 16:00:00,-1.8425903129432668,0.17899423282072366,neutral
2021-05-01 16:15:00,-1.1910917344277705,0.11254955123987782,neutral
2021-05-01 16:30:00,-1.267289102989656,0.03963992321005908,unstable
2021-05-01 16:45:00,-0.8006271404369376,0.040578977320785234,unstable
2021-05-01 17:00:00,-0.8716197318522667,0.12060048336426328,neutral
2021-05-01 17:15:00,-0.4061688630667251,0.17462060350796207,neutral
2021-05-01 17:30:00,-0.1129419436479819,0.1323125294249984,neutral
2021-05-01 17:45:00,0.13061535705100877,0.09325000468578555,unstable
2021-05-01 18:00:00,-0.3254276584904733,0.038736699231574176,unstable
2021-05-01 18:15:00,-0.17267020842637437,-0.02914220134910831,unstable
2021-05-01 18:30:00,0.6264184809789312,0.14374107352942908,neutral
2021-05-01 18:45:00,1.3537254738213933,0.1340235277922599,neutral
2021-05-01 19:00:00,0.5749161294519731,0.029089658764048187,unstable
