datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_ec_10m,weight_ec_10m,corrected_ec_70m,weight_ec_70m,corrected_gfs_10m,weight_gfs_10m,corrected_gfs_70m,weight_gfs_70m
2022-09-04 06:00:00,42.933,41.344132166519145,6.278517612005688,-1.5888678334808546,1.5888678334808546,6.508577325378875,0.25,7.803338994580103,0.25,4.527868389940333,0.25,6.2742857381234405,0.25
2022-09-04 06:15:00,39.0613,41.344132166519145,6.15569276603521,2.2828321665191424,2.2828321665191424,6.2311479711182685,0.25,7.6756580888708115,0.25,4.577954234666781,0.25,6.138010769484979,0.25
2022-09-04 06:30:00,34.9261,39.43079590145316,6.100933657565875,4.504695901453161,4.504695901453161,6.312551510916842,0.25,7.4194593777058016,0.25,4.533712972155881,0.25,6.138010769484979,0.25
2022-09-04 06:45:00,28.8778,40.81430652926071,6.1382033900938255,11.936506529260711,11.936506529260711,6.312551510916842,0.25,7.568538307817601,0.25,4.533712972155881,0.25,6.138010769484979,0.25
2022-09-04 07:00:00,28.8778,39.43079590145316,6.046461210622921,10.552995901453158,10.552995901453158,6.312551510916842,0.25,7.470832798221038,0.25,4.533712972155881,0.25,5.868747561197923,0.25
2022-09-04 07:15:00,24.5415,39.43079590145316,6.103752399103357,14.88929590145316,14.88929590145316,6.312551510916842,0.25,7.3750235294088755,0.25,4.653450477458153,0.25,6.073984078629553,0.25
2022-09-04 07:30:00,20.0851,41.344132166519145,6.282632686532878,21.259032166519145,21.259032166519145,6.312551510916842,0.25,7.9850378069581,0.25,4.6742566720091245,0.25,6.158684756247445,0.25
2022-09-04 07:45:00,17.0389,39.93138028009276,6.072900930632395,22.89248028009276,22.89248028009276,5.70097152227355,0.25,7.765478440522843,0.25,4.71497813917197,0.25,6.110175620561216,0.25
2022-09-04 08:00:00,17.0389,37.33804780638952,5.768038122748679,20.299147806389517,20.299147806389517,5.2807147462982496,0.25,7.093340179006645,0.25,4.722629397246283,0.25,5.975468168443541,0.25
2022-09-04 08:15:00,18.9528,35.525195454616586,5.662153128886006,16.572395454616586,16.572395454616586,4.979948494066494,0.25,7.085112029646052,0.25,4.502930732663104,0.25,6.080621259168373,0.25
2022-09-04 08:30:00,22.6547,35.525195454616586,5.669401229800072,12.870495454616588,12.870495454616588,4.743842661515398,0.25,7.101491005681066,0.25,4.647402863322254,0.25,6.184868388681569,0.25
2022-09-04 08:45:00,22.0792,36.9787328105963,5.768386842971629,14.899532810596298,14.899532810596298,4.698948501658871,0.25,7.104471651560187,0.25,4.859512483327675,0.25,6.410614735339781,0.25
2022-09-04 09:00:00,22.0792,36.9787328105963,5.848665347069318,14.899532810596298,14.899532810596298,4.810246423742174,0.25,7.243892564050184,0.25,4.929907665145133,0.25,6.410614735339781,0.25
2022-09-04 09:15:00,21.9151,39.57206528429954,5.9531593217408325,17.65696528429954,17.65696528429954,5.555088851154976,0.25,7.0516039625386595,0.25,4.900654038578018,0.25,6.305290434691678,0.25
2022-09-04 09:30:00,21.2587,41.344132166519145,6.3553819120197605,20.085432166519144,20.085432166519144,6.624747328628769,0.25,7.914349105488297,0.25,4.680096093861621,0.25,6.202335120100355,0.25
2022-09-04 09:45:00,18.7524,39.43079590145316,5.923940138227273,20.678395901453158,20.678395901453158,5.897872475136077,0.25,7.186213992499332,0.25,4.528968044625343,0.25,6.082706040648339,0.25
2022-09-04 10:00:00,18.8164,48.39619820595939,6.4989505606006315,29.579798205959385,29.579798205959385,6.985469071719454,0.25,8.198126587539642,0.25,4.729500542495092,0.25,6.082706040648339,0.25
2022-09-04 10:15:00,19.8486,51.912870628662546,6.550774327220356,32.06427062866254,32.06427062866254,7.175252684404253,0.25,8.121973596330541,0.25,4.8231649874982905,0.25,6.082706040648339,0.25
2022-09-04 10:30:00,19.7989,51.912870628662546,6.52619452217709,32.11397062866254,32.11397062866254,7.013809089178549,0.25,8.069492932564973,0.25,4.819140946864486,0.25,6.202335120100355,0.25
2022-09-04 10:45:00,19.7065,50.7186877128209,6.462753500140671,31.012187712820904,31.012187712820904,6.789140445731198,0.25,7.865183644396994,0.25,4.955617044598335,0.25,6.241072865836161,0.25
2022-09-04 11:00:00,18.0804,47.331273207362,6.4428358595065,29.250873207362,29.250873207362,6.86706268943982,0.25,7.72726977000718,0.25,4.991262740064193,0.25,6.185748238514808,0.25
2022-09-04 11:15:00,13.7356,47.58530146320984,6.480293030509142,33.84970146320984,33.84970146320984,6.86706268943982,0.25,7.851975473479595,0.25,4.964150050861732,0.25,6.237983908255422,0.25
2022-09-04 11:30:00,11.8793,49.91506600554789,6.4644554873621916,38.03576600554789,38.03576600554789,6.86706268943982,0.25,7.737107092120529,0.25,4.947692174159532,0.25,6.305959993728888,0.25
2022-09-04 11:45:00,11.5937,44.057182881949295,6.350898333076897,32.4634828819493,32.4634828819493,6.741906918823591,0.25,7.675065354952654,0.25,4.856498723782652,0.25,6.130122334748691,0.25
2022-09-04 12:00:00,11.7216,47.59257649868638,6.586683047044884,35.870976498686375,35.870976498686375,6.953471759022539,0.25,7.559286670143961,0.25,5.313132626212496,0.25,6.520841132800539,0.25
2022-09-04 12:15:00,12.5528,51.109248921389536,6.5657591796831944,38.55644892138954,38.55644892138954,6.9789844249549295,0.25,7.559286670143961,0.25,5.312788428307096,0.25,6.411977195326793,0.25
2022-09-04 12:30:00,13.5999,44.057182881949295,6.374825036542658,30.457282881949297,30.457282881949297,6.902565364101764,0.25,7.032312272351039,0.25,5.213254920342637,0.25,6.351167589375194,0.25
2022-09-04 12:45:00,13.9807,40.540510459246136,6.315901856643625,26.559810459246137,26.559810459246137,6.902565364101764,0.25,6.8717127216597165,0.25,5.313091280681112,0.25,6.176238060131904,0.25
2022-09-04 13:00:00,13.9807,47.59257649868638,6.517313904760405,33.61187649868638,33.61187649868638,7.153342774349342,0.25,7.535640213118954,0.25,5.22905998618232,0.25,6.151212645391001,0.25
2022-09-04 13:15:00,17.3622,51.109248921389536,6.513973712354723,33.747048921389535,33.747048921389535,7.153342774349342,0.25,7.535640213118954,0.25,5.215699216559592,0.25,6.151212645391001,0.25
2022-09-04 13:30:00,21.3056,51.109248921389536,6.512446852478924,29.803648921389538,29.803648921389538,7.287806806700614,0.25,7.480487142685877,0.25,5.142788789030158,0.25,6.138704671499048,0.25
2022-09-04 13:45:00,24.2722,51.109248921389536,6.512631647527956,26.837048921389535,26.837048921389535,7.287806806700614,0.25,7.480487142685877,0.25,5.1247943243317735,0.25,6.157438316393564,0.25
2022-09-04 14:00:00,26.267,51.60983330002914,6.541688159343064,25.342833300029138,25.342833300029138,7.287806806700614,0.25,7.946307231478156,0.25,5.068764915771139,0.25,5.86387368342235,0.25
2022-09-04 14:15:00,20.5469,51.60983330002914,6.5476194507196634,31.062933300029137,31.062933300029137,7.150983124521089,0.25,7.8538730429002825,0.25,5.097578648124941,0.25,6.088042987332345,0.25
2022-09-04 14:30:00,20.8005,47.831857586001604,6.425145801482849,27.031357586001604,27.031357586001604,7.120473300128034,0.25,7.8538730429002825,0.25,4.849506996861753,0.25,5.876729866041326,0.25
2022-09-04 14:45:00,23.326,48.08588584184944,6.462819460235267,24.75988584184944,24.75988584184944,7.257296982307558,0.25,7.946307231478156,0.25,4.7709437611140295,0.25,5.876729866041326,0.25
2022-09-04 15:00:00,24.3063,50.415650384187494,6.485872248016864,26.109350384187493,26.109350384187493,7.345016274754716,0.25,8.001460301911234,0.25,4.74093094560163,0.25,5.856081469799876,0.25
2022-09-04 15:15:00,30.224,49.91506600554789,6.485872248016864,19.691066005547892,19.691066005547892,7.345016274754716,0.25,8.001460301911234,0.25,4.74093094560163,0.25,5.856081469799876,0.25
2022-09-04 15:30:00,33.5039,47.331273207362,6.38958397001232,13.827373207362001,13.827373207362001,7.208192592575191,0.25,7.8538730429002825,0.25,4.74093094560163,0.25,5.755339298972177,0.25
