,correlation,rmse,mae,r2,bias
train_metrics,0.7485097002744988,1.8981484532907014,1.470057352334716,0.5283255913427912,0.0009330435097981453
test_metrics,0.6013898941600773,2.1342198560095373,1.58896608689132,0.2961118982194002,0.6512112956609551
