u_star,z0,r_squared,rmse,n_points,wind_profile,height_profile,slope,intercept,timestamp,confidence,alpha_main,month,season
0.23526496104937733,0.005825607888374354,0.94773562176957,0.10170755655927323,4,"[4.31, 5.2, 5.3, 5.45]","[10, 30, 50, 70]",0.5881624026234433,3.026384894143974,2021-05-01 17:00:00,0.7,0.1206004833642632,5,spring
0.23526496104937733,0.005825607888374354,0.94773562176957,0.10170755655927323,4,"[4.31, 5.2, 5.3, 5.45]","[10, 30, 50, 70]",0.5881624026234433,3.026384894143974,2021-05-01 17:00:00,0.85,0.174620603507962,5,spring
0.3796264410623911,0.07404746550214134,0.9800580514741595,0.09968986933411352,4,"[4.72, 5.58, 6.11, 6.63]","[10, 30, 50, 70]",0.9490661026559777,2.4704655368985264,2021-05-01 17:00:00,0.7,0.1206004833642632,5,spring
0.3796264410623911,0.07404746550214134,0.9800580514741595,0.09968986933411352,4,"[4.72, 5.58, 6.11, 6.63]","[10, 30, 50, 70]",0.9490661026559777,2.4704655368985264,2021-05-01 17:00:00,0.85,0.174620603507962,5,spring
0.24754916306465555,0.0008406588336712171,0.983016977329945,0.05989976603229994,4,"[5.78, 6.52, 6.88, 6.93]","[10, 30, 50, 70]",0.6188729076616388,4.382439974849438,2021-05-01 18:00:00,0.7,0.1323125294249984,5,spring
0.24754916306465555,0.0008406588336712171,0.983016977329945,0.05989976603229994,4,"[5.78, 6.52, 6.88, 6.93]","[10, 30, 50, 70]",0.6188729076616388,4.382439974849438,2021-05-01 18:00:00,0.7,0.143741073529429,5,spring
0.3924694133305055,0.019780955083958534,0.9334240704734985,0.1929574787037183,4,"[5.98, 7.52, 7.59, 7.91]","[10, 30, 50, 70]",0.9811735333262637,3.8491787683415506,2021-05-01 18:00:00,0.7,0.1323125294249984,5,spring
0.3924694133305055,0.019780955083958534,0.9334240704734985,0.1929574787037183,4,"[5.98, 7.52, 7.59, 7.91]","[10, 30, 50, 70]",0.9811735333262637,3.8491787683415506,2021-05-01 18:00:00,0.7,0.143741073529429,5,spring
0.7203510989742361,0.46588958495970645,0.9225723984247352,0.38417453651982236,4,"[5.25, 8.13, 8.41, 8.68]","[10, 30, 50, 70]",1.8008777474355901,1.3755223364385563,2021-05-01 20:00:00,0.7,0.2156458365379237,5,spring
0.6885480830534818,0.24146760069897727,0.9874671430843286,0.14280212350856772,4,"[6.31, 8.51, 9.23, 9.6]","[10, 30, 50, 70]",1.7213702076337045,2.446101446811145,2021-05-01 20:00:00,0.7,0.2156458365379237,5,spring
0.8242751320029111,0.4030568378243344,0.9783189889606693,0.22589592649590756,4,"[6.62, 8.73, 10.3, 10.41]","[10, 30, 50, 70]",2.0606878300072777,1.8725010575844907,2021-05-01 23:00:00,0.7,0.2444581242635228,5,spring
0.9009390052067258,0.49514308922092853,0.946522986859012,0.39423035073545,4,"[7.01, 8.57, 10.7, 11.28]","[10, 30, 50, 70]",2.2523475130168142,1.5831941871962325,2021-05-01 23:00:00,0.7,0.2444581242635228,5,spring
0.9106498145066496,0.5314759721287652,0.9760377648959685,0.26267481392456177,4,"[6.86, 8.73, 10.45, 11.28]","[10, 30, 50, 70]",2.276624536266624,1.4390481994528335,2021-05-01 23:00:00,0.7,0.2444581242635228,5,spring
0.9295353920774757,0.5334214411720732,0.9723574693240947,0.2885217324002164,4,"[6.96, 8.9, 10.86, 11.34]","[10, 30, 50, 70]",2.323838480193689,1.4604011202321363,2021-05-02 00:00:00,0.7,0.2090742365308289,5,spring
0.9295353920774757,0.5334214411720732,0.9723574693240947,0.2885217324002164,4,"[6.96, 8.9, 10.86, 11.34]","[10, 30, 50, 70]",2.323838480193689,1.4604011202321363,2021-05-02 00:00:00,0.7,0.2333261296263363,5,spring
0.7334975731366984,0.210312031546025,0.96258514426692,0.26621824712253256,4,"[7.27, 8.68, 9.99, 10.92]","[10, 30, 50, 70]",1.8337439328417457,2.8591056669234707,2021-05-02 00:00:00,0.7,0.2090742365308289,5,spring
0.7334975731366984,0.210312031546025,0.96258514426692,0.26621824712253256,4,"[7.27, 8.68, 9.99, 10.92]","[10, 30, 50, 70]",1.8337439328417457,2.8591056669234707,2021-05-02 00:00:00,0.7,0.2333261296263363,5,spring
0.8948387261132729,0.39357533629894564,0.9049157662937497,0.5339881592788257,4,"[7.61, 8.79, 10.96, 12.0]","[10, 30, 50, 70]",2.237096815283182,2.0860542520965915,2021-05-02 01:00:00,0.7,0.2553748495769821,5,spring
0.8948387261132729,0.39357533629894564,0.9049157662937497,0.5339881592788257,4,"[7.61, 8.79, 10.96, 12.0]","[10, 30, 50, 70]",2.237096815283182,2.0860542520965915,2021-05-02 01:00:00,0.7,0.2340516483433273,5,spring
0.8948387261132729,0.39357533629894564,0.9049157662937497,0.5339881592788257,4,"[7.61, 8.79, 10.96, 12.0]","[10, 30, 50, 70]",2.237096815283182,2.0860542520965915,2021-05-02 01:00:00,0.7,0.2146415733280268,5,spring
0.9017844850628376,0.43514790589953034,0.9159486362925261,0.5028937743295474,4,"[7.38, 8.68, 11.06, 11.64]","[10, 30, 50, 70]",2.2544612126570938,1.8758679453339555,2021-05-02 02:00:00,0.7,0.2341700123780782,5,spring
0.2127990306804721,0.0022709892137010735,0.990943410760705,0.03745107014162637,4,"[4.44, 5.09, 5.35, 5.45]","[10, 30, 50, 70]",0.5319975767011802,3.2385564032921117,2021-05-02 22:00:00,0.7,0.1053292374935823,5,spring
