Model,Height,Count,Circular_Mean,Primary_Mode,R_squared,Has_Bimodal
OBS,10m,52317,356.7322646996315,359.0,0.8030048248168882,No
OBS,30m,52317,115.41178282803395,254.3,0.8506636695324672,No
OBS,50m,52317,145.9191909927225,243.5,0.862997182395315,No
OBS,70m,52317,142.50379954355324,251.8,0.8637274748958379,No
EC,10m,52317,179.73543803290397,89.6454,0.860680386108104,No
EC,30m,52317,178.90608109517714,0.043786937625498,0.8648413246577343,No
EC,50m,52317,173.94594418963214,0.0188895405178755,0.8624003918815563,No
EC,70m,52317,164.7713803008464,67.995125,0.8475422438278284,No
GFS,10m,52317,118.23981844328715,52.714096,0.877315570054908,No
GFS,30m,52317,115.32330784859876,0.022720102815299,0.8777347374453763,No
GFS,50m,52317,103.75770416318346,0.0480195932440778,0.8741216658729764,No
GFS,70m,52317,90.24011025351862,44.836,0.8604195666190934,No
