Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,Dominant_Period_Hours,Persistence
obs_wind_speed_10m,1,-0.001807328023145746,0.36264514258054487,6880.458006117417,0.35472772697668215,0.36264964617637085,4.523424186900119,30593,0.5847621232104288,0.8550485405158043,-0.16499331344695212
obs_wind_speed_10m,2,-0.0015186814254387355,0.41474217158532245,8999.223754763423,0.4639624548603508,0.41474495209053597,4.042263195062586,11257,0.21516906550452053,2.323754108554677,0.8302231606989422
obs_wind_speed_10m,3,0.003941140751974659,0.6512581738575601,22190.398982638293,1.1440444494855377,0.6512700988120911,5.002431863803349,4219,0.08064300323030754,6.200165916093861,0.9759171239463973
obs_wind_speed_10m,4,-0.019040835394217477,1.0759735577222027,60587.357700308545,3.123631546249548,1.0761420214497175,5.386501163196479,1571,0.03002848022631267,16.650859325270527,0.9967423362489853
obs_wind_speed_10m,5,-0.014532231464571162,1.1131248807100822,64834.270506873974,3.342584663207996,1.1132197383298479,5.0860556509945445,653,0.012481602538371848,40.05895865237366,0.9993768996793714
obs_wind_speed_10m,6,-0.006117749919900195,1.0238510696432666,54844.35263841122,2.8275461505082844,1.02386934697438,4.274900358256049,260,0.0049697039203318236,100.60961538461538,0.9998887030410227
obs_wind_speed_10m,7,0.00012349102615529653,0.7744030378035787,31374.509096317503,1.6175388741346557,0.7744030476498943,3.102144683560796,110,0.00210256704321731,237.80454545454546,0.9999773328192284
obs_wind_speed_10m,8,0.0021379751225263444,0.505296777623221,13358.068450729086,0.688686313340344,0.5053013006257112,1.380935262740968,51,0.0009748265382189346,512.9117647058823,0.9999956038505377
obs_wind_speed_10m,9,0.004887383627493822,0.39501345610578154,8164.565752110942,0.4209309683196917,0.39504369001840356,0.9949535731667785,20,0.0003822849169486018,1307.925,0.9999994830176688
obs_wind_speed_10m,10,-0.005195300141557731,0.22580446176550406,2668.933239844709,0.13759906982658343,0.22586422048826119,0.5175706437150851,8,0.00015291396677944073,3269.8125,0.9999999090981397
obs_wind_speed_10m,11,-0.015503209813154123,0.11434147241599117,696.5653751156318,0.03591200643703359,0.11538770224234274,0.28217039035398156,5,9.557122923715044e-05,5231.7,0.999999975817572
obs_wind_speed_10m,12,5.640290123958513,0.11501421109831349,1665046.1234628048,85.84283577665329,5.641462660620779,5.794043264389144,0,0.0,inf,0.999999993306061
obs_wind_speed_70m,1,-5.365592253142253e-05,0.43981735155757806,10120.16415160257,0.3666943900789694,0.4398173548304799,3.6326035156087677,30802,0.5887570005925417,0.8492468021557041,-0.2078369108944068
obs_wind_speed_70m,2,0.0009136006562787367,0.5177431247645156,14024.031083764907,0.5081472442218576,0.5177439308259285,7.428004676622035,11188,0.21385018254104785,2.3380854486950304,0.8302076792860518
obs_wind_speed_70m,3,0.005691344382784057,0.7986853427544015,33374.61876464088,1.2092971308257021,0.7987056204457305,5.8628559327133125,4187,0.08003134736318979,6.2475519465010745,0.9757681747772605
obs_wind_speed_70m,4,-0.007060022135575962,1.2101056461644861,76613.3035266266,2.776009182043015,1.2101262408491618,7.0170480031362645,1605,0.030678364585125295,16.298130841121495,0.9964997631538002
obs_wind_speed_70m,5,-0.003620028259699546,1.3926426257276503,101467.0734633753,3.6765615714700086,1.3926473306613578,6.080931430293246,646,0.012347802817439838,40.493034055727556,0.9993861328566003
obs_wind_speed_70m,6,0.006418060530477815,1.1577211733274637,70123.58831054292,2.540860608630679,1.1577389630964712,3.8280615120290147,258,0.004931475428636963,101.38953488372093,0.9998913135010059
obs_wind_speed_70m,7,0.0102565489865791,0.815575374834329,34804.8462985902,1.2611200464799552,0.8156398646665514,2.964696409814178,110,0.00210256704321731,237.80454545454546,0.9999793940866719
obs_wind_speed_70m,8,-0.010429266897794064,0.549666425332545,15812.392032538397,0.5729467788467676,0.5497653578990619,1.8729087689165096,47,0.0008983695548292142,556.563829787234,0.9999962906761682
obs_wind_speed_70m,9,0.021102759351696847,0.37830232245716783,7510.522506334927,0.27213654130291365,0.37889045069616445,1.1520623115737612,22,0.00042051340864346197,1189.0227272727273,0.9999994381490646
obs_wind_speed_70m,10,-0.00619728204011075,0.20893874424622721,2285.9288041306454,0.08282842610432328,0.20903063208983277,0.4356658833069979,7,0.00013379972093201063,3736.9285714285716,0.9999998911312838
obs_wind_speed_70m,11,-0.02704840964226131,0.18111896281104045,1754.48696336777,0.06357214342533848,0.18312753794534187,0.4531690194004426,5,9.557122923715044e-05,5231.7,0.9999999798193634
obs_wind_speed_70m,12,6.7604467663113565,0.12879070143154095,2391945.1434204504,86.66982593657046,6.761673426371974,6.924585141129771,0,0.0,inf,0.9999999950962593
power,1,0.004137969038871698,3.8826835153691315,788691.7707158105,0.6905684984667905,3.882685720388268,77.9607742531106,29190,0.5579448362864843,0.8961459403905447,0.005394253508671044
power,2,-0.046999194961652,5.809188436535993,1765640.1139178644,1.545972061042769,5.8093785567400005,63.28944918382068,11100,0.212168128906474,2.356621621621622,0.847226021161345
power,3,-0.15062354812323475,10.219307923064969,5464873.828318574,4.7849741230433835,10.220417891635726,83.48939678680807,3957,0.07563507081828086,6.610689916603487,0.9785828289332565
power,4,-0.639149468968686,16.335539012988388,13982154.934168197,12.242597294320921,16.348038013429885,77.99476543193862,1585,0.03029607966817669,16.50378548895899,0.996479797489311
power,5,-0.47325663457072326,20.97677863368317,23032518.112552352,20.16698035844687,20.982116520711443,96.46818107816385,643,0.012290460079897548,40.681959564541216,0.9994039028624928
