,mean,std,weibull_k,weibull_c,ks_statistic,ks_p_value
obs_wind_speed_10m,5.587740409427146,2.7317508213104795,2.206893458314175,6.356669793952744,0.034811464345803955,1.6144885754983312e-55
obs_wind_speed_30m,6.399672955253551,2.7194133487821226,2.4949702010715553,7.220048630403872,0.03591602080565415,4.525994387192521e-59
obs_wind_speed_50m,6.603895292161248,3.057862188973159,2.2888765600877004,7.46405985711987,0.024040795927842654,1.0645626346848679e-26
obs_wind_speed_70m,6.750750043007053,3.170503142419613,2.262265348063927,7.6361476182588195,0.015960393410022033,5.250259637026269e-12
