datetime,actual_power,predicted_power,wind_speed,wind_speed_2,wind_speed_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,error,abs_error
2022-10-02 23:00:00,155.69,105.18846174943407,12.251252,150.09317556750398,1838.8293173577342,23,10,0,11.951081,9.133428,-50.50153825056593,50.50153825056593
2022-10-02 23:15:00,152.89,105.18846174943407,12.356466,152.68225200915597,1886.6130557545675,23,10,0,12.251252,9.462385,-47.70153825056592,47.70153825056592
2022-10-02 23:30:00,147.29,105.99126298759455,12.586146,158.41107113331597,1993.7848693003004,23,10,0,12.356466,9.675031,-41.29873701240544,41.29873701240544
2022-10-02 23:45:00,136.43,108.4474745213967,12.832442,164.671567683364,2113.138341345843,23,10,0,12.586146,9.939442,-27.982525478603307,27.982525478603307
2022-10-03 00:00:00,131.92,81.6002367717292,12.946523,167.61245778952897,2169.998539858666,0,10,0,12.832442,10.530721,-50.31976322827079,50.31976322827079
2022-10-03 00:15:00,126.7,81.6002367717292,12.9675255,168.15671759315026,2180.576523385475,0,10,0,12.946523,10.955168,-45.0997632282708,45.0997632282708
2022-10-03 00:30:00,118.88,81.6002367717292,12.928217,167.138794799089,2160.806608281094,0,10,0,12.9675255,11.008069,-37.279763228270795,37.279763228270795
2022-10-03 00:45:00,123.93,81.94725065608341,13.049888,170.299576812544,2222.390403851096,0,10,0,12.928217,10.852643,-41.982749343916595,41.982749343916595
2022-10-03 01:00:00,126.57,81.94725065608341,13.109555,171.86043229802502,2253.013789534735,1,10,0,13.049888,10.728463,-44.62274934391658,44.62274934391658
2022-10-03 01:15:00,128.62,81.6002367717292,13.031145,169.81074001102502,2212.8283756409687,1,10,0,13.109555,11.234179,-47.019763228270804,47.019763228270804
2022-10-03 01:30:00,134.84,81.6002367717292,12.876237,165.797479280169,2134.8476372140453,1,10,0,13.031145,11.594973,-53.2397632282708,53.2397632282708
2022-10-03 01:45:00,133.38,81.6002367717292,12.77868,163.29466254239998,2086.690238337316,1,10,0,12.876237,11.637196,-51.779763228270795,51.779763228270795
2022-10-03 02:00:00,128.22,81.81546925919477,12.915503,166.810217743009,2154.4378676904857,2,10,0,12.77868,12.097198,-46.40453074080523,46.40453074080523
2022-10-03 02:15:00,113.36,82.16248314354898,13.200364,174.249609732496,2300.15827532689,2,10,0,12.915503,12.292375,-31.197516856451017,31.197516856451017
2022-10-03 02:30:00,111.42,90.90739088431631,13.413217,179.914390289089,2413.230758370243,2,10,0,13.200364,12.111074,-20.512609115683688,20.512609115683688
2022-10-03 02:45:00,111.45,95.65052331589243,13.378954,178.99641013411602,2394.784737349472,2,10,0,13.413217,11.921558,-15.799476684107574,15.799476684107574
2022-10-03 03:00:00,112.14,86.90561557512511,13.26342,175.9183100964,2333.278432498794,3,10,0,13.378954,11.982452,-25.23438442487489,25.23438442487489
2022-10-03 03:15:00,116.59,90.90739088431631,13.35809,178.43856844810003,2383.5984568008803,3,10,0,13.26342,11.834493,-25.68260911568369,25.68260911568369
2022-10-03 03:30:00,118.06,93.60333711621493,13.414265,179.94250549022502,2413.7964534098332,3,10,0,13.35809,11.437755,-24.45666288378507,24.45666288378507
2022-10-03 03:45:00,119.85,93.60333711621493,13.592639,184.759834984321,2511.373738641446,3,10,0,13.414265,11.2030115,-26.246662883785064,26.246662883785064
2022-10-03 04:00:00,122.71,93.60333711621493,13.79154,190.20657557159998,2623.241595258744,4,10,0,13.592639,11.186052,-29.106662883785063,29.106662883785063
2022-10-03 04:15:00,134.1,93.60333711621493,13.90213,193.26921853689998,2686.8538010983934,4,10,0,13.79154,11.222873,-40.49666288378506,40.49666288378506
2022-10-03 04:30:00,127.65,93.60333711621493,13.923482,193.863351004324,2699.2528781683873,4,10,0,13.90213,11.400737,-34.046662883785075,34.046662883785075
2022-10-03 04:45:00,123.15,97.7956132836824,13.945692,194.482325358864,2712.1906088985065,4,10,0,13.923482,11.951081,-25.354386716317606,25.354386716317606
2022-10-03 05:00:00,136.13,99.95615235283782,13.993679,195.823051955041,2740.2849298591664,5,10,0,13.945692,12.251252,-36.17384764716218,36.17384764716218
2022-10-03 05:15:00,136.8,99.95615235283782,14.127734,199.59286797475602,2819.7949470444714,5,10,0,13.993679,12.356466,-36.84384764716219,36.84384764716219
2022-10-03 05:30:00,134.83,101.50302106214711,14.220186,202.213689874596,2875.5162817630717,5,10,0,14.127734,12.586146,-33.3269789378529,33.3269789378529
2022-10-03 05:45:00,131.52,101.50302106214711,14.206244,201.817368587536,2867.0667815924717,5,10,0,14.220186,12.832442,-30.016978937852898,30.016978937852898
2022-10-03 06:00:00,131.52,100.31804365384504,14.224346,202.33201912771602,2878.040646951251,6,10,1,14.206244,12.946523,-31.201956346154972,31.201956346154972
2022-10-03 06:15:00,147.93,100.31804365384504,14.277156,203.837183448336,2910.215266692511,6,10,1,14.224346,12.9675255,-47.61195634615497,47.61195634615497
2022-10-03 06:30:00,156.39,100.31804365384504,14.2144985,202.05196760650225,2872.0673904646746,6,10,1,14.277156,12.928217,-56.07195634615495,56.07195634615495
2022-10-03 06:45:00,146.45,100.31804365384504,14.156422,200.40428384208397,2837.007612676322,6,10,1,14.2144985,13.049888,-46.13195634615495,46.13195634615495
2022-10-03 07:00:00,127.15,101.0749448790632,14.114655,199.22348576902502,2811.970769527198,7,10,1,14.156422,13.109555,-26.07505512093681,26.07505512093681
2022-10-03 07:15:00,122.32,98.92985491127322,13.854424,191.945064371776,2659.288306513878,7,10,1,14.114655,13.031145,-23.39014508872677,23.39014508872677
2022-10-03 07:30:00,124.27,96.32501690464909,13.47929,181.6912589041,2449.0691692334462,7,10,1,13.854424,12.876237,-27.944983095350906,27.944983095350906
2022-10-03 07:45:00,151.54,85.27633922935432,13.055376,170.44284250137602,2225.1953953642446,7,10,1,13.47929,12.77868,-66.26366077064567,66.26366077064567
2022-10-03 08:00:00,137.96,87.8035330233921,12.609304,158.994547364416,2004.81058206032,8,10,1,13.055376,12.915503,-50.1564669766079,50.1564669766079
2022-10-03 08:15:00,118.64,85.54990938760106,12.226679,149.491679369041,1827.7867768161873,8,10,1,12.609304,13.200364,-33.09009061239894,33.09009061239894
2022-10-03 08:30:00,84.18,81.57142352215072,11.856213,140.569786701369,1666.6253324959985,8,10,1,12.226679,13.413217,-2.608576477849283,2.608576477849283
2022-10-03 08:45:00,118.38,80.31384975808935,11.3909,129.75260281,1477.9989233484291,8,10,1,11.856213,13.378954,-38.06615024191065,38.06615024191065
2022-10-03 09:00:00,73.29,81.09727369988475,11.353404,128.899782387216,1463.4513049541474,9,10,1,11.3909,13.26342,7.807273699884746,7.807273699884746
2022-10-03 09:15:00,26.88,81.09727369988475,11.55826,133.5933742276,1544.1069535999002,9,10,1,11.353404,13.35809,54.21727369988476,54.21727369988476
2022-10-03 09:30:00,0.0,82.35484746394613,11.9012575,141.63993008130623,1685.6932801796215,9,10,1,11.55826,13.414265,82.35484746394613,82.35484746394613
2022-10-03 09:45:00,91.22,86.94711373432537,12.320555,151.796075508025,1870.2118970807753,9,10,1,11.9012575,13.592639,-4.272886265674629,4.272886265674629
2022-10-03 10:00:00,122.59,87.8035330233921,12.553808,157.598095300864,1978.456229572749,10,10,1,12.320555,13.79154,-34.7864669766079,34.7864669766079
2022-10-03 10:15:00,118.58,87.8035330233921,12.64496,159.89501340159998,2021.8660486626957,10,10,1,12.553808,13.90213,-30.776466976607892,30.776466976607892
2022-10-03 10:30:00,118.58,86.77593278435033,13.039185,170.020345464225,2216.9267382719404,10,10,1,12.64496,13.923482,-31.804067215649667,31.804067215649667
2022-10-03 10:45:00,105.2,97.82461045964511,13.421122,180.12651573888402,2417.4999431664824,10,10,1,13.039185,13.945692,-7.375389540354888,7.375389540354888
2022-10-03 11:00:00,94.92,101.38276548291915,13.5304985,183.07438965850227,2477.0877546627803,11,10,1,13.421122,13.993679,6.462765482919153,6.462765482919153
2022-10-03 11:15:00,89.45,101.38276548291915,13.499834,182.245518027556,2460.2842406160134,11,10,1,13.5304985,14.127734,11.932765482919152,11.932765482919152
2022-10-03 11:30:00,98.82,101.38276548291915,13.517025,182.709964850625,2469.6951626350196,11,10,1,13.499834,14.220186,2.5627654829191613,2.5627654829191613
2022-10-03 11:45:00,105.19,101.38276548291915,13.585759,184.57284760608098,2507.5622255199432,11,10,1,13.517025,14.206244,-3.8072345170808433,3.8072345170808433
2022-10-03 12:00:00,110.54,97.54045955041552,13.74735,188.98963202250002,2598.106617784516,12,10,1,13.585759,14.224346,-12.999540449584487,12.999540449584487
2022-10-03 12:15:00,94.6,97.54045955041552,13.838579,191.506268739241,2650.1746289432167,12,10,1,13.74735,14.277156,2.9404595504155253,2.9404595504155253
2022-10-03 12:30:00,95.6,97.54045955041552,13.813996,190.82648548801598,2636.076307225511,12,10,1,13.838579,14.2144985,1.9404595504155253,1.9404595504155253
