name,correlation,rmse,r2
LightGBM,0.6236065521936169,2.0954323660539425,0.3214667992461908
EC Baseline,0.5626761172426642,2.415844288044068,0.09809315208945157
GFS Baseline,0.5511053899477961,2.6088761687893434,-0.051794119667872174
