datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_10m,original_ec_wind_speed_70m,fused_wind
2022-10-28 05:00:00,0.0,21.71009465607574,21.71009465607574,21.71009465607574,217100946560.7574,3.6742055380000007,13.499786335469874,49.60098971560015,5,10,0,2.914853612,5.346513290000001,3.4282894,4.0588436,3.6742055380000007
2022-10-28 05:15:00,0.0,22.578089197087948,22.578089197087948,22.578089197087948,225780891970.87946,3.8878869080000005,15.115664609397804,58.76799454059666,5,10,0,3.6742055380000007,5.030687739999999,3.6643283,4.2375555,3.8878869080000005
2022-10-28 05:30:00,0.0,22.578089197087948,22.578089197087948,22.578089197087948,225780891970.87946,3.9165065180000003,15.339023305536486,60.07538475588756,5,10,0,3.8878869080000005,4.755859082,3.6954794,4.2622156,3.9165065180000003
2022-10-28 05:45:00,0.0,24.297717220141287,24.297717220141287,24.297717220141287,242977172201.41287,4.305206494,18.534802955979774,79.79615405109452,5,10,0,3.9165065180000003,4.4348510050000005,3.7473214,5.177796,4.305206494
2022-10-28 06:00:00,0.0,27.429813622740987,27.429813622740987,27.429813622740987,274298136227.40988,5.183650625,26.870233802062895,139.28590424195946,6,10,1,4.305206494,4.84840765,4.4016395,6.139442,5.183650625
2022-10-28 06:15:00,0.0,28.373013756027596,28.373013756027596,28.373013756027596,283730137560.27594,5.49327025,30.176018039535062,165.7650221600413,6,10,1,5.183650625,4.5722751210000006,4.720024,6.438349,5.49327025
2022-10-28 06:30:00,0.0,28.83641817076204,28.83641817076204,28.83641817076204,288364181707.62036,5.454315985,29.74956286422652,162.2635162771131,6,10,1,5.49327025,4.281801521999999,4.6647787,6.419306,5.454315985
2022-10-28 06:45:00,0.86,28.83641817076204,27.97641817076204,27.97641817076204,3253.071842494751,5.417448585000001,29.34874917111851,158.9953396685959,6,10,1,5.454315985,4.0781967130000005,4.5985317,6.418347,5.417448585000001
2022-10-28 07:00:00,3.34,29.624579638750866,26.284579638750866,26.284579638750866,786.9634598818719,5.7944510000000005,33.575662391401,194.55253051951595,7,10,1,5.417448585000001,3.943192035,4.644188,7.200328,5.7944510000000005
2022-10-28 07:15:00,7.31,34.583384585409014,27.273384585409016,27.273384585409016,373.096915842672,6.10112245,37.223695149894006,227.10632215097442,7,10,1,5.7944510000000005,3.849877665,4.782676,7.712557,6.10112245
2022-10-28 07:30:00,14.82,34.91390536819512,20.093905368195117,20.093905368195117,135.5864059017306,6.220485715000001,38.69444253051907,240.69822701098235,7,10,1,6.10112245,3.757241259,4.7965765,7.9608192,6.220485715000001
2022-10-28 07:45:00,14.82,37.396988758659106,22.576988758659105,22.576988758659105,152.34135454402812,6.5237787350000005,42.5596889832382,277.6499939570632,7,10,1,6.220485715000001,3.55782814,4.8666077,8.54921,6.5237787350000005
2022-10-28 08:00:00,14.82,37.6391691607744,22.8191691607744,22.8191691607744,153.97550030618658,6.768372315000001,45.81086379445847,310.06498223264856,8,10,1,6.5237787350000005,3.348908142,4.9502883,8.990475,6.768372315000001
2022-10-28 08:15:00,16.54,37.6391691607744,21.0991691607744,21.0991691607744,127.56450512707347,6.8844313800000005,47.39539542592871,326.2903475377721,8,10,1,6.768372315000001,3.4066436860000002,5.0437026,9.134211,6.8844313800000005
2022-10-28 08:30:00,61.98,37.6391691607744,-24.340830839225596,24.340830839225596,-39.272072983701825,6.97518532,48.6532102483435,339.36515789511907,8,10,1,6.8844313800000005,3.4474615669999995,5.4766774,8.806695,6.97518532
2022-10-28 08:45:00,58.24,37.961604817547595,-20.278395182452407,20.278395182452407,-34.818673040814794,6.980153515000001,48.72254309296687,340.0908304301118,8,10,1,6.97518532,3.305169135,5.8112683,8.408791,6.980153515000001
2022-10-28 09:00:00,56.62,39.60965624186273,-17.010343758137267,17.010343758137267,-30.0429949755086,6.92364955,47.936923091215206,331.8984559888768,9,10,1,6.980153515000001,3.197080815,6.011068,8.039027,6.92364955
2022-10-28 09:15:00,59.04,39.66564237130139,-19.37435762869861,19.37435762869861,-32.81564638451397,6.936423985,48.11397769968328,333.7389489298383,9,10,1,6.92364955,3.019798439,6.0607567,8.006684,6.936423985
2022-10-28 09:30:00,63.31,43.286790350012076,-20.023209649987926,20.023209649987926,-31.627246322579687,7.138187,50.95371364696901,363.71713635651673,9,10,1,6.936423985,2.80050445,6.524405,7.888365,7.138187
2022-10-28 09:45:00,66.34,43.51073595336534,-22.829264046634663,22.829264046634663,-34.41251740005036,7.3100673,53.43708393052929,390.6286798479176,9,10,1,7.138187,2.624153145,6.80031,7.933104,7.3100673
2022-10-28 10:00:00,69.05,44.732788420727935,-24.317211579272062,24.317211579272062,-35.21681618501142,7.4793848999999994,55.941198482348,418.4057552167765,10,10,1,7.3100673,2.44425396,6.951705,8.124327,7.4793848999999994
2022-10-28 10:15:00,69.05,44.355451618422876,-24.69454838157712,24.69454838157712,-35.76328512382447,7.59992086,57.75879707826314,438.9622867635991,10,10,1,7.4793848999999994,1.986769454,7.0583572,8.261832,7.59992086
2022-10-28 10:30:00,81.92,48.53833311011356,-33.38166688988644,33.38166688988644,-40.749105085219156,7.714140310000001,59.50796072236692,459.0527585743074,10,10,1,7.59992086,1.9039196760000001,7.1173882,8.443504,7.714140310000001
2022-10-28 10:45:00,95.62,58.7905872065527,-36.829412793447304,36.829412793447304,-38.51643253461165,8.02235525,64.35818375720257,516.3042133450588,10,10,1,7.714140310000001,2.914853612,7.399085,8.78413,8.02235525
2022-10-28 11:00:00,112.84,56.61585490606802,-56.22414509393198,56.22414509393198,-49.82643130888811,8.283678125,68.61932327860352,568.4203871952711,11,10,1,8.02235525,3.6742055380000007,7.6419005,9.068073,8.283678125
2022-10-28 11:15:00,86.22,58.65224369828698,-27.56775630171302,27.56775630171302,-31.97373729820882,8.499747925000001,72.24571478854183,614.0703643640503,11,10,1,8.283678125,3.8878869080000005,7.8494635,9.29454,8.499747925000001
2022-10-28 11:30:00,90.32,59.25697429694383,-31.063025703056162,31.063025703056162,-34.39218965856615,8.588366149999999,73.7600331264658,633.4781717262175,11,10,1,8.499747925000001,3.9165065180000003,7.944836,9.374903,8.588366149999999
2022-10-28 11:45:00,97.23,59.25697429694383,-37.97302570305617,37.97302570305617,-39.054844902962756,8.606034350000002,74.06382723337995,637.3958412629335,11,10,1,8.588366149999999,4.305206494,7.9712,9.381943,8.606034350000002
2022-10-28 12:00:00,105.16,60.85949086248874,-44.300509137511256,44.300509137511256,-42.12676790918465,8.63694525,74.59682325149757,644.2886782471114,12,10,1,8.606034350000002,5.183650625,8.012271,9.400436,8.63694525
2022-10-28 12:15:00,118.29,62.01570419808813,-56.274295801911876,56.274295801911876,-47.57316408585219,8.695133250000001,75.60534223525559,657.3985251474003,12,10,1,8.63694525,5.49327025,8.075274,9.452739,8.695133250000001
2022-10-28 12:30:00,118.35,66.3764476464488,-51.9735523535512,51.9735523535512,-43.91512661525957,8.831068000000002,77.98776202062403,688.7152295719484,12,10,1,8.695133250000001,5.454315985,8.213326,9.586086,8.831068000000002
2022-10-28 12:45:00,113.52,65.41712448308668,-48.102875516913315,48.102875516913315,-42.37392134661375,8.898761,79.18794733512101,704.6746174158287,12,10,1,8.831068000000002,5.417448585000001,8.289047,9.643967,8.898761
2022-10-28 13:00:00,109.39,68.35218615075831,-41.03781384924169,41.03781384924169,-37.515142010686695,8.7499423,76.5614902533293,669.9086221186438,13,10,1,8.898761,5.7944510000000005,8.163433,9.466787,8.7499423
2022-10-28 13:15:00,97.11,67.57423017461318,-29.535769825386822,29.535769825386822,-30.414756278802745,8.463924720000001,71.6380216658271,606.3388224692897,13,10,1,8.7499423,6.10112245,7.9023294,9.150319,8.463924720000001
2022-10-28 13:30:00,90.03,64.4391952225607,-25.590804777439303,25.590804777439303,-28.424752609793213,8.180018720000001,66.91270625955046,547.347189808984,13,10,1,8.463924720000001,6.220485715000001,7.6419854,8.837615,8.180018720000001
2022-10-28 13:45:00,92.72,62.75238362273107,-29.967616377268932,29.967616377268932,-32.320552603577305,7.842248585,61.500862868934504,482.30505481018065,13,10,1,8.180018720000001,6.5237787350000005,7.3285127,8.470148,7.842248585
2022-10-28 14:00:00,95.28,58.149512303766144,-37.13048769623386,37.13048769623386,-38.969865336205785,7.57702654,57.41133118786438,435.0071801071781,14,10,1,7.842248585,6.768372315000001,7.0754128,8.19011,7.57702654
2022-10-28 14:15:00,94.82,53.838190198752635,-40.98180980124736,40.98180980124736,-43.220638891505274,7.518252235,56.5241166690825,424.96256647873025,14,10,1,7.57702654,6.8844313800000005,7.0208797,8.126152,7.518252235
2022-10-28 14:30:00,93.05,53.838190198752635,-39.21180980124736,39.21180980124736,-42.14058011502774,7.526037915,56.64124669801755,426.2841702021486,14,10,1,7.518252235,6.97518532,7.0327053,8.129,7.526037915
2022-10-28 14:45:00,87.54,53.838190198752635,-33.70180980124737,33.70180980124737,-38.49875462348354,7.400020835,54.7603083584341,405.227422783437,14,10,1,7.526037915,6.980153515000001,6.910886,7.9978523,7.400020835
2022-10-28 15:00:00,87.54,56.22410414329748,-31.315895856702525,31.315895856702525,-35.77324177875851,7.3375442500000005,53.83955562070807,395.0501217672817,15,10,1,7.400020835,6.92364955,6.853045,7.92971,7.3375442500000005
2022-10-28 15:15:00,88.1,55.333633288702885,-32.76636671129711,32.76636671129711,-37.19224370894199,7.322703335,53.621984132420124,392.6578820357899,15,10,1,7.3375442500000005,6.936423985,6.831314,7.9232903,7.322703335
2022-10-28 15:30:00,89.65,55.333633288702885,-34.31636671129712,34.31636671129712,-38.27815583655249,7.332180214999999,53.76086670523743,394.18436319739413,15,10,1,7.322703335,7.138187,6.838277,7.9358397,7.332180214999999
2022-10-28 15:45:00,90.0,55.333633288702885,-34.666366711297115,34.666366711297115,-38.51818523049478,7.312936800000001,53.47904464079426,391.0888735825071,15,10,1,7.332180214999999,7.3100673,6.816144,7.920128,7.312936800000001
2022-10-28 16:00:00,80.6,58.59511428871837,-22.004885711281624,22.004885711281624,-27.301347032942296,7.297147600000001,53.24836309618577,388.5611649712606,16,10,1,7.312936800000001,7.4793848999999994,6.793441,7.912789,7.297147600000001
2022-10-28 16:15:00,72.93,58.59511428871837,-14.334885711281636,14.334885711281636,-19.65567764886339,7.233413495000001,52.32227078964812,378.4686196188851,16,10,1,7.297147600000001,7.59992086,6.7312913,7.8471184,7.233413495000001
2022-10-28 16:30:00,76.65,58.21381053092284,-18.436189469077163,18.436189469077163,-24.052432441842036,7.050064150000001,49.70340451911523,350.41219033316236,16,10,1,7.233413495000001,7.714140310000001,6.551983,7.65883,7.050064150000001
2022-10-28 16:45:00,84.11,55.427175377841735,-28.682824622158265,28.682824622158265,-34.101562975565464,6.877298470000001,47.29723424546436,325.2771967115637,16,10,1,7.050064150000001,8.02235525,6.373552,7.4929886,6.877298470000001
2022-10-28 17:00:00,85.99,55.19904247625768,-30.790957523742314,30.790957523742314,-35.80760265165898,6.581477125,43.315841146898265,285.08221765844473,17,10,1,6.877298470000001,8.283678125,6.0803695,7.193942,6.581477125
2022-10-28 17:15:00,85.97,52.27621236110484,-33.69378763889516,33.69378763889516,-39.1924946318203,6.33186265,40.09248461846502,253.86010590135814,17,10,1,6.581477125,8.499747925000001,5.803375,6.977792,6.33186265
2022-10-28 17:30:00,70.52,46.60883818779217,-23.911161812207823,23.911161812207823,-33.90692258765901,6.113838665,37.379023221648985,228.52931743245045,17,10,1,6.33186265,8.588366149999999,5.450321,6.9248047,6.113838665
2022-10-28 17:45:00,69.82,42.50331041976831,-27.31668958023168,27.31668958023168,-39.12444797524956,5.78021997,33.4109429015868,193.12259937628178,17,10,1,6.113838665,8.606034350000002,4.764963,7.0210896,5.78021997
2022-10-28 18:00:00,69.18,43.006581669071764,-26.173418330928243,26.173418330928243,-37.83379347664768,5.273992965,27.815001794869488,146.69612378760405,18,10,0,5.78021997,8.63694525,4.1133165,7.08941,5.273992965
2022-10-28 18:15:00,68.71,40.02834364989418,-28.68165635010581,28.68165635010581,-41.74305973792972,5.42277758,29.406516682150656,159.46499936986257,18,10,0,5.273992965,8.695133250000001,4.239899,7.272921,5.42277758
2022-10-28 18:30:00,62.04,41.679594075286914,-20.360405924713085,20.360405924713085,-32.81819136271964,5.7168007030000005,32.6818102778213,186.83539597156144,18,10,0,5.42277758,8.831068000000002,4.433842,7.7234797,5.7168007030000005
2022-10-28 18:45:00,57.37,48.36806099359953,-9.00193900640047,9.00193900640047,-15.691021448198306,5.899023682999999,34.79848041259488,205.27706008630878,18,10,0,5.7168007030000005,8.898761,4.562525,7.9894447,5.899023682999999
2022-10-28 19:00:00,53.46,46.77603701640484,-6.683962983595158,6.683962983595158,-12.502736592489496,5.805480429,33.703603011502025,195.66560767006047,19,10,0,5.899023682999999,8.7499423,4.6051536,7.6829147,5.805480429
2022-10-28 19:15:00,46.91,46.77603701640484,-0.13396298359515413,0.13396298359515413,-0.28557446933830033,5.650423863,31.927289831559847,180.402720345163,19,10,0,5.805480429,8.463924720000001,4.538385,7.3897667,5.650423863
2022-10-28 19:30:00,46.91,43.83780626226901,-3.0721937377309843,3.0721937377309843,-6.54912329370299,5.446006677,29.65898872592858,161.52305063447477,19,10,0,5.650423863,8.180018720000001,4.4251137,7.042788,5.446006677
2022-10-28 19:45:00,46.36,38.25172887256525,-8.108271127434747,8.108271127434747,-17.489799667139273,5.362784024,28.75945248806963,154.23073234200686,19,10,0,5.446006677,7.842248585,4.69196,6.4120216,5.362784024
2022-10-28 20:00:00,44.82,35.85059600366995,-8.969403996330051,8.969403996330051,-20.012057104705143,5.567822377,31.000646021821925,172.60609062175615,20,10,0,5.362784024,7.57702654,5.06116,6.3602943,5.567822377
2022-10-28 20:15:00,52.82,38.05848496203336,-14.761515037966639,14.761515037966639,-27.946828919295637,5.444964206,29.64763520462121,161.43031248170797,20,10,0,5.567822377,7.518252235,4.9444556,6.227811,5.444964206
2022-10-28 20:30:00,54.05,35.022527506265064,-19.027472493734933,19.027472493734933,-35.20346436672449,5.409671804,29.26454902699262,158.3116057280976,20,10,0,5.444964206,7.526037915,4.9629254,6.108429,5.409671804
2022-10-28 20:45:00,55.95,33.69462274785995,-22.25537725214005,22.25537725214005,-39.77726049716233,5.32437751,28.348995868993796,150.94075603595348,20,10,0,5.409671804,7.400020835,4.9260397,5.9474187,5.32437751
2022-10-28 21:00:00,68.32,32.72530902363971,-35.59469097636028,35.59469097636028,-52.09995751046589,5.329095992,28.399264091950464,151.34240444816274,21,10,0,5.32437751,7.3375442500000005,4.961672,5.9037848,5.329095992
2022-10-28 21:15:00,60.53,34.735150483217325,-25.794849516782676,25.794849516782676,-42.61498349995238,5.681284886,32.276997955892035,183.37482065226231,21,10,0,5.329095992,7.322703335,5.1149006,6.567168,5.681284886
2022-10-28 21:30:00,56.91,47.100924430527336,-9.809075569472661,9.809075569472661,-17.23611943023906,6.36529071,40.516925822812304,257.90201153770624,21,10,0,5.681284886,7.332180214999999,5.393064,7.885953,6.36529071
2022-10-28 21:45:00,55.95,56.30704449803917,0.3570444980391656,0.3570444980391656,0.6381492367745321,7.0508125459999995,49.713957558831,350.5237956671171,21,10,0,6.36529071,7.312936800000001,5.9060216,8.841383,7.0508125459999995
2022-10-28 22:00:00,67.77,61.14480996623766,-6.625190033762337,6.625190033762337,-9.77599237536482,7.21339032,52.03299990866971,375.33433786175897,22,10,0,7.0508125459999995,7.297147600000001,6.103845,8.948833,7.21339032
2022-10-28 22:15:00,67.77,61.65499594746027,-6.1150040525397245,6.1150040525397245,-9.023172571399451,6.865671175,47.13744068322588,323.6301677620963,22,10,0,7.21339032,7.233413495000001,5.9309845,8.327617,6.865671175
2022-10-28 22:30:00,73.52,56.75530837262728,-16.764691627372713,16.764691627372713,-22.802899381246498,6.744578300000001,45.4893364448309,306.80639146720563,22,10,0,6.865671175,7.050064150000001,5.899967,8.065637,6.744578300000001
2022-10-28 22:45:00,96.52,57.55539858879368,-38.96460141120632,38.96460141120632,-40.36945856523972,7.04098527,49.57547357235698,349.0601791762397,22,10,0,6.744578300000001,6.877298470000001,6.05733,8.579523,7.04098527
2022-10-28 23:00:00,118.14,60.73807391099502,-57.40192608900498,57.40192608900498,-48.58805322849685,7.157870007,51.23510303711017,366.7342073348855,23,10,0,7.04098527,6.581477125,6.1501017,8.734123,7.157870007
2022-10-28 23:15:00,89.36,62.23800628316087,-27.12199371683913,27.12199371683913,-30.351380610792294,7.054412893,49.76474126492463,351.0610323960935,23,10,0,7.157870007,6.33186265,6.1370983,8.489187,7.054412893
2022-10-28 23:30:00,37.54,60.19047676996666,22.65047676996666,22.65047676996666,60.33691199769038,7.319624094,53.576896877465316,392.1627452660485,23,10,0,7.054412893,6.113838665,6.2635374,8.971452,7.319624094
2022-10-28 23:45:00,29.86,58.26185403777252,28.401854037772523,28.401854037772523,95.11672480998276,7.588741423,57.588996385156065,437.0280023770311,23,10,0,7.319624094,5.78021997,6.2778673,9.639083,7.588741423
2022-10-29 00:00:00,29.86,50.64866248872439,20.78866248872439,20.78866248872439,69.62043697844055,8.08836381,65.42162912291772,529.1539373890498,0,10,0,7.588741423,5.273992965,6.432432,10.678411,8.08836381
2022-10-29 00:15:00,25.41,51.4159667545083,26.005966754508297,26.005966754508297,102.34540237809429,7.86916517,61.92376047274112,487.28829910751716,0,10,0,8.08836381,5.42277758,6.319577,10.29288,7.86916517
2022-10-29 00:30:00,13.17,46.50939106616086,33.33939106616086,33.33939106616086,253.14647715145182,7.370783299999999,54.32844645555888,400.44320584957757,0,10,0,7.86916517,5.7168007030000005,5.970851,9.560421,7.370783299999999
2022-10-29 00:45:00,9.61,39.99476257020059,30.384762570200593,30.384762570200593,316.1785904118911,6.93627228,48.111873142296396,333.717052015787,0,10,0,7.370783299999999,5.899023682999999,5.680335,8.900687,6.93627228
2022-10-29 01:00:00,5.27,37.02169476169948,31.75169476169948,31.75169476169948,602.498950691643,6.546324589999999,42.85436563763866,280.538587562525,1,10,0,6.93627228,5.805480429,5.493644,8.192825,6.546324589999999
2022-10-29 01:15:00,1.16,37.02169476169948,35.86169476169948,35.86169476169948,3091.525383840254,6.35305016,40.36124633547602,256.4170224893953,1,10,0,6.546324589999999,5.650423863,5.435597,7.788041,6.35305016
2022-10-29 01:30:00,0.0,35.15608577031041,35.15608577031041,35.15608577031041,351560857703.1041,6.12344104,37.49653017035629,229.60779170275788,1,10,0,6.35305016,5.446006677,5.3169265,7.3849125,6.12344104
