datetime,actual_power,predicted_power,fused_wind,error,abs_error,original_ec_10m,original_ec_70m
2022-07-14 23:45:00,116.3102,39.228042371558885,5.38250136,-77.08215762844111,77.08215762844111,4.361823,6.978947
2022-07-15 00:00:00,111.2877,43.81125176796378,8.895309525,-67.47644823203622,67.47644823203622,7.7037435,10.759041
2022-07-15 00:15:00,108.7764,64.51217244011555,8.65603154,-44.264227559884446,44.264227559884446,7.439081,10.559467
2022-07-15 00:30:00,108.7764,63.53162970415067,8.57591247,-45.24477029584933,45.24477029584933,7.363413,10.472386
2022-07-15 00:45:00,108.7764,59.77086545898956,8.178934144,-49.005534541010434,49.005534541010434,6.9942274,10.031937
2022-07-15 01:00:00,108.7764,56.46376819313356,7.478463636000001,-52.312631806866435,52.312631806866435,6.3584256,9.230318
2022-07-15 01:15:00,108.7764,43.81709637983869,6.509017180000001,-64.95930362016131,64.95930362016131,5.489689,8.103351
2022-07-15 01:30:00,108.7764,33.33798135553623,5.461806618000001,-75.43841864446377,75.43841864446377,4.6411233,6.7454395
2022-07-15 01:45:00,108.7764,29.47615676976153,5.435103010000001,-79.30024323023846,79.30024323023846,4.840876,6.364535
2022-07-15 02:00:00,75.1319,32.97785927434962,6.261501653,-42.15404072565038,42.15404072565038,5.4796286,7.4844313
2022-07-15 02:15:00,7.8428,42.22097963951247,7.130949230000001,34.37817963951247,34.37817963951247,6.07274,8.786097
2022-07-15 02:30:00,3.2501,41.47136055900925,7.109361229999999,38.221260559009245,38.221260559009245,6.077906,8.722663
2022-07-15 02:45:00,0.8525,38.08202233085553,6.77581061,37.22952233085553,37.22952233085553,5.662946,8.516445
2022-07-15 03:00:00,0.0,37.10370796903772,6.513774504000001,37.10370796903772,37.10370796903772,5.3625984,8.314332
2022-07-15 03:15:00,0.0,34.879681863805104,6.037406965000001,34.879681863805104,34.879681863805104,4.9110622,7.7991257
2022-07-15 03:30:00,0.0,34.036235675411554,6.03497595,34.036235675411554,34.036235675411554,4.964268,7.709673
2022-07-15 03:45:00,0.0,27.87332572340136,4.154908074,27.87332572340136,27.87332572340136,2.8239486,6.2366652
2022-07-15 04:00:00,0.0,34.04621614219378,6.989785029,34.04621614219378,34.04621614219378,6.7035246,7.4375257
2022-07-15 04:15:00,0.0,41.206645932509545,7.198300853999999,41.206645932509545,41.206645932509545,6.1211214,8.88312
2022-07-15 04:30:00,0.0,35.85263704759621,6.294875568,35.85263704759621,35.85263704759621,5.2428384,7.9403696
2022-07-15 04:45:00,0.0,36.76106519630006,6.514024605,36.76106519630006,36.76106519630006,5.4083085,8.243478
2022-07-15 05:00:00,0.0,37.10370796903772,6.422368092999999,37.10370796903772,37.10370796903772,5.3728123,8.063981
2022-07-15 05:15:00,0.0,35.58792242109651,6.334633465,35.58792242109651,35.58792242109651,5.2730365,7.99508
2022-07-15 05:30:00,0.0,40.86400315977188,7.255952754999999,40.86400315977188,40.86400315977188,6.144295,8.9946995
2022-07-15 05:45:00,0.0,45.27072589414823,7.96871449,45.27072589414823,45.27072589414823,6.925156,9.600947
2022-07-15 06:00:00,0.5115,54.795508115775625,8.26926605,54.28400811577563,54.28400811577563,6.929099,9.907248
2022-07-15 06:15:00,3.8717,53.72507750618994,7.862483149999999,49.85337750618994,49.85337750618994,6.460793,9.57566
2022-07-15 06:30:00,6.3758,50.23937064711638,7.4806288,43.86357064711638,43.86357064711638,6.029728,9.253952
2022-07-15 06:45:00,8.9404,43.93920592736879,7.4051791,34.99880592736879,34.99880592736879,6.137287,8.954825
2022-07-15 07:00:00,4.1452,43.93920592736879,7.495704865,39.79400592736879,39.79400592736879,6.5412073,8.662313
2022-07-15 07:15:00,4.1452,43.93920592736879,7.43297,39.79400592736879,39.79400592736879,6.703205,8.324905
2022-07-15 07:30:00,6.2785,42.87505706735206,7.24069943,36.59655706735206,36.59655706735206,6.719552,7.8776574
2022-07-15 07:45:00,14.8118,42.87505706735206,7.196767305000001,28.063257067352062,28.063257067352062,6.7262154,7.7718863
2022-07-15 08:00:00,14.8118,38.88717998946222,6.9506487550000005,24.07537998946222,24.07537998946222,6.5264797,7.4690776
2022-07-15 08:15:00,16.1801,35.95082999229659,6.295494855,19.77072999229659,19.77072999229659,5.9412036,6.7285175
2022-07-15 08:30:00,17.8076,31.74357714377077,5.5271552250000004,13.93597714377077,13.93597714377077,5.252745,5.8625455
2022-07-15 08:45:00,11.8601,26.965297854341202,4.78886108,15.105197854341203,15.105197854341203,4.596917,5.0234594
2022-07-15 09:00:00,14.858,24.683889020783422,3.838590125,9.825889020783421,9.825889020783421,3.747077,3.9504395
2022-07-15 09:15:00,16.7065,20.899619875288433,2.111083705,4.193119875288435,4.193119875288435,2.2084894,1.9920323
2022-07-15 09:30:00,17.6676,20.27498735426802,1.124665695,2.6073873542680204,2.6073873542680204,1.0904202,1.1665213
2022-07-15 09:45:00,4.9785,20.27498735426802,2.087775235,15.29648735426802,15.29648735426802,1.9948618,2.2013361
2022-07-15 10:00:00,4.6972,23.590193428540687,3.9061755500000004,18.892993428540688,18.892993428540688,3.791507,4.046326
2022-07-15 10:15:00,9.2054,26.458673255921102,4.898304265,17.2532732559211,17.2532732559211,4.773676,5.0506277
2022-07-15 10:30:00,26.0965,28.299648223393127,5.021096235,2.2031482233931285,2.2031482233931285,4.8785424,5.1953287
2022-07-15 10:45:00,23.9632,26.92773632714342,4.86461961,2.9645363271434206,2.9645363271434206,4.7186055,5.0430813
2022-07-15 11:00:00,23.1875,26.92773632714342,4.702533145,3.740236327143421,3.740236327143421,4.5808954,4.8512015
