,ec_wind_speed_error_10m,gfs_wind_speed_error_10m,ec_wind_speed_error_30m,gfs_wind_speed_error_30m,ec_wind_speed_error_50m,gfs_wind_speed_error_50m,ec_wind_speed_error_70m,gfs_wind_speed_error_70m,ec_temperature_error_10m,gfs_temperature_error_10m,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m,ec_wind_speed_10m,ec_wind_speed_30m,ec_wind_speed_50m,ec_wind_speed_70m,ec_wind_direction_10m,ec_wind_direction_30m,ec_wind_direction_50m,ec_wind_direction_70m,ec_temperature_10m,gfs_wind_speed_10m,gfs_wind_speed_30m,gfs_wind_speed_50m,gfs_wind_speed_70m,gfs_wind_direction_10m,gfs_wind_direction_30m,gfs_wind_direction_50m,gfs_wind_direction_70m,gfs_temperature_10m,power
obs_wind_speed_30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776006383922986e-64,3.849582948525266e-97,0.0,0.0,0.0,0.0,1.0974061831727458e-07,1.658061631287064e-30,5.736442441486723e-45,0.0,1.3843748797506059e-285,1.5085629789829983e-36,3.688651540116518e-167,1.0353671600437453e-124,2.933103281438509e-130,0.0,0.0,0.0,0.0,0.0042263872461324485,0.0074144254104685555,0.022204761394963028,0.04266210318796163,0.0023535969693526154,0.0,0.0,0.0,0.0,5.645424895018975e-57,3.227424329929026e-55,3.7054109972175133e-47,2.6145884441217052e-39,0.040730623226930496,0.0
obs_wind_speed_50m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.943922796461132e-67,1.493675472473221e-98,0.0,0.0,0.0,0.0,8.218038879135036e-09,2.810005100469801e-40,3.811697942143976e-78,0.0,8.549132103070916e-282,8.680125257284819e-51,0.0,1.7965348943148802e-184,1.1113487858659385e-253,0.0,0.0,0.0,0.0,3.819623360611043e-11,1.181914764013473e-10,1.1791978689101408e-09,6.538587337875066e-09,0.0023108733528857932,0.0,0.0,0.0,0.0,9.28650646373961e-82,1.262927278181815e-79,2.802751309743884e-69,3.0079917760299086e-59,0.028513208165504164,0.0
obs_wind_speed_70m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71737668893071e-74,1.8854435896447504e-60,0.0,0.0,0.0,0.0,0.00883657478218622,5.415426867130108e-32,4.78854669940468e-94,4.76702132880825e-264,9.854848354687222e-129,0.015155640778557442,0.0,5.621687630153468e-66,0.0,0.0,0.0,0.0,0.0,1.48514770882523e-39,1.1921690522186225e-38,8.971539033260437e-37,5.582130028275207e-35,1.1275219758908826e-08,0.0,0.0,0.0,0.0,2.3698604957473447e-166,1.070532305866699e-163,1.320086470434074e-148,6.147688165939125e-133,3.441704491499915e-09,0.0
obs_temperature_10m,1.313441406901922e-06,1.9192032871770746e-43,1.091507353632912e-86,0.46216424727851546,7.630078239376723e-84,0.006583923660389056,3.889580842943776e-13,5.643589053846328e-07,0.0,0.0,1.6051854703204173e-07,1.0974061831727458e-07,8.218038879135097e-09,0.00883657478218622,0.0,0.0,6.952631338764721e-51,2.548619197525234e-73,0.0,0.0,3.4337954685118905e-157,0.0,0.0,0.33119529419168525,2.294093121329068e-25,2.0122303759663307e-26,3.4351602993065036e-26,1.037910192384192e-126,1.6895821315584466e-128,3.666611086174571e-136,4.294255192147226e-141,0.0,4.32405819601874e-61,1.0343091540819591e-05,0.1856404117745054,0.1042173593110613,0.0,0.0,0.0,0.0,0.0,5.481735190772572e-06
obs_wind_dir_sin_10m,0.1519437553036426,6.018501300136844e-07,0.3027278471084688,1.099336298611934e-05,0.7241680711654759,0.014718708671424701,0.0031466698218485406,3.604857325593374e-05,8.762417125689932e-72,1.1354588138237272e-197,2.7285135028265396e-20,1.658061631287064e-30,2.810005100469721e-40,5.415426867130108e-32,0.0,0.0,1.3570312930812758e-58,3.88052220705504e-74,1.561622740091057e-71,1.3683670335145102e-145,0.29974237304041074,1.1587687698702848e-143,1.23380615317169e-07,4.891955861476277e-28,6.499034882622353e-26,1.3272249511353498e-29,6.8506256443263e-34,1.3451810246410475e-05,1.683836551120064e-05,2.691075901007369e-06,1.8985427510051204e-06,0.0,4.603029557776043e-40,2.5131972539708514e-39,1.572261900541709e-38,9.853084005247504e-38,4.957514590470682e-09,5.879295590075425e-10,2.149570091144282e-12,2.8366865795549868e-14,0.0,1.0306223984353488e-16
obs_wind_dir_cos_10m,2.203187539758051e-30,1.8853676607628793e-181,5.434440017100414e-42,8.529456506512072e-203,8.715929235836426e-110,1.1389332343928154e-259,7.674402938856154e-175,3.5032367933756284e-295,1.3474194544783834e-286,1.6215013309686014e-178,1.40950531877296e-10,5.736442441486723e-45,3.811697942143758e-78,4.78854669940427e-94,6.952631338764721e-51,1.3570312930812758e-58,0.0,3.816671684789967e-05,0.0,1.0320103249474324e-218,0.0,0.0006271521928614575,0.0,0.596408621688798,0.15052137202460797,0.12603476751163156,0.00019896841368782886,0.0,0.0,0.0,0.0,4.0915272006109403e-25,2.0136293954090248e-41,3.036324188844117e-29,1.2095856381340188e-29,8.04157872183889e-29,0.0,0.0,0.0,0.0,3.1326393445245324e-27,3.443164965530271e-39
obs_wind_dir_sin_30m,9.950641310683558e-221,6.176155256432843e-50,1.1023884883529949e-150,1.0754646101511481e-28,3.3762205231067006e-186,2.2682163645989116e-62,9.825040759280143e-60,2.1552610706854535e-12,0.0,0.0,0.0,0.0,0.0,4.767021328804996e-264,2.5486191975249437e-73,3.88052220705504e-74,3.816671684789967e-05,0.0,0.0,0.0,5.8314457828598396e-124,0.0,0.0011556895432071035,4.5630825822774304e-184,7.100269492060804e-51,1.2208861532930685e-63,3.132700864978457e-69,1.801160222779086e-05,8.671249129995224e-06,5.2437805537859784e-08,7.671519173779528e-10,1.7753960887631768e-32,0.0,9.049944885160216e-136,3.6789027021333104e-135,3.5260955141050364e-122,9.596063505226443e-50,2.1076558276954007e-51,2.0377990188096888e-55,3.4372587173605918e-62,8.784443620482751e-20,0.0
obs_wind_dir_cos_30m,2.161092785107059e-62,1.402998460761638e-85,0.43904388735706557,3.0064266827763515e-254,2.3416162911220473e-08,4.6394377977701016e-225,1.2449204753786622e-153,0.0,0.0,0.0,0.0,1.3843748797506059e-285,8.54913210306994e-282,9.854848354687222e-129,0.0,1.561622740091057e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4133599759633628e-253,0.0,0.0,0.0,0.0,0.0,0.0,5.838075418580623e-215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2739772437203729e-183,0.0
obs_wind_dir_sin_50m,1.2127424975681371e-89,9.49990965912258e-19,8.156929537387831e-69,1.8867717717802908e-31,2.141742388967239e-49,7.52476212011228e-17,0.0001972669255183437,5.296397095664106e-99,0.0,0.0,0.0,1.5085629789829983e-36,8.680125257284819e-51,0.01515564077855743,0.0,1.3683670335145102e-145,1.0320103249474324e-218,0.0,0.0,0.0,0.0,0.0,0.0,9.447777968213813e-78,0.5099160132794123,0.0023007450171131207,1.921075000485886e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.271606850633813e-92,3.3910682152524654e-89,5.962222324506112e-76,0.0,0.0,0.0,0.0,0.0,1.1651792892011427e-127
obs_wind_dir_cos_50m,2.1901044700840315e-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.135058496249994e-170,2.93833124705811e-86,3.1554876498225243e-24,3.688651540116098e-167,0.0,0.0,3.4337954685118905e-157,0.29974237304041074,0.0,5.8314457828598396e-124,0.0,0.0,0.0,7.642952057790355e-193,0.0,8.590833337568147e-22,7.047865768461331e-43,2.4976551002471315e-88,3.5989598916860944e-131,0.0,0.0,0.0,0.0,8.77313266835113e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.268889235640313e-136,1.0348726850626685e-36
