Year,Month,Month_Name,Display_Name,Height,Hour,Sample_Count,Obs_Mean,Obs_Std,EC_Mean,EC_Std,GFS_Mean,GFS_Std,EC_Bias_Mean,EC_Bias_Std,GFS_Bias_Mean,GFS_Bias_Std
2022,8,2022-08,2022-8,10m,18,124,6.146129032258065,3.1600650028219914,7.247272165322581,3.433410019356722,7.733896324999999,3.518569379911214,1.1011431330645163,3.3295426645789017,1.5877672927419357,2.9578084394562834
2022,8,2022-08,2022-8,10m,19,124,5.868447580645159,3.017898398759654,7.131637139516128,3.5600413666277415,7.807349671774195,3.579160559958021,1.2631895588709676,3.3919134713541297,1.938902091129032,2.9614244047656535
2022,8,2022-08,2022-8,10m,20,124,5.387560483870968,2.9231390803441513,6.304198556532259,3.1261224478198724,7.318108218225806,3.4004590700996205,0.9166380726612904,3.2440053615419715,1.9305477343548385,3.1465803141154325
2022,8,2022-08,2022-8,10m,21,124,5.152983870967741,2.7471918154194466,6.01818830798387,2.9006070460392563,6.693564376370968,3.130211207008453,0.865204437016129,2.9439288635097087,1.5405805054032258,3.0612268986669533
2022,8,2022-08,2022-8,10m,22,124,4.6406451612903235,2.471565307176381,6.110578274999999,2.7812972635181685,6.520831790806453,3.1921382822088287,1.4699331137096774,2.922264054077941,1.8801866295161294,3.030114903160645
2022,8,2022-08,2022-8,10m,23,124,4.594677419354838,2.781683302016231,5.996501609435485,2.3345769215511813,6.312806906048387,3.239760688634134,1.401824190080645,2.972385840078373,1.7181294866935486,3.432039657189623
2022,8,2022-08,2022-8,30m,0,124,6.255403225806452,2.909101789987026,7.361724979032258,2.4650682861261806,8.291143126612901,3.3471993016053245,1.1063217532258065,2.7867918582263114,2.0357399008064516,3.574700478816485
2022,8,2022-08,2022-8,30m,1,124,5.914516129032257,2.8923010581594326,7.4239449217741935,2.5330196052635503,8.007680108064516,3.5337032694421278,1.5094287927419356,3.3656740600421893,2.0931639790322585,3.812929111536334
2022,8,2022-08,2022-8,30m,2,124,5.957741935483872,2.4965065393755013,7.235785688467741,2.8794151122156597,8.012690959193549,3.3932197248571523,1.2780437529838706,3.1439783270126442,2.054949023709678,3.2561382912845125
2022,8,2022-08,2022-8,30m,3,124,5.823467741935484,2.134409355617266,7.0111407117741935,2.983712222415862,7.618823386290323,3.4990792318543726,1.1876729698387098,2.9033129451502147,1.7953556443548384,3.33829301453615
2022,8,2022-08,2022-8,30m,4,124,5.936935483870967,2.3305980740862298,6.762399294354839,2.560051126465127,7.472595930645161,3.5539889239975437,0.8254638104838711,2.6737383260636833,1.5356604467741934,3.3168182913699713
2022,8,2022-08,2022-8,30m,5,124,5.728790322580646,2.508336935469761,6.945069849193549,2.479346746630388,7.57094286048387,3.2282932006754477,1.2162795266129032,2.471032448157304,1.8421525379032258,3.0334011262453724
2022,8,2022-08,2022-8,30m,6,124,5.391129032258065,2.3976800647768033,7.087033191935484,2.2769345856353618,7.368971553790322,3.228635017842834,1.6959041596774191,2.35621291200686,1.9778425215322584,2.973912617296675
2022,8,2022-08,2022-8,30m,7,124,5.332096774193548,2.0795499180357506,7.151747120161288,2.1704809351466223,7.547771513709678,2.9386506847347107,1.819650345967742,1.830400185894331,2.2156747395161287,2.3616596280295505
2022,8,2022-08,2022-8,30m,8,124,5.727500000000001,2.104973229850464,7.215721675806453,2.758751983466865,7.957615916129033,2.795945724157778,1.4882216758064517,2.134624047313969,2.2301159161290323,2.0932072062678473
2022,8,2022-08,2022-8,30m,9,124,6.131048387096774,2.611388394879852,7.168014694354838,3.0456663452004977,8.333994204838708,3.190243551823167,1.0369663072580646,2.203939050809462,2.202945817741936,3.0037264501757672
2022,8,2022-08,2022-8,30m,10,124,6.482338709677419,2.8789878678695873,7.426408861290324,2.846712853470785,8.506670304838712,3.5483325612119803,0.9440701516129031,1.8267948465428818,2.0243315951612897,3.0702306292058297
2022,8,2022-08,2022-8,30m,11,123,6.952601626016259,2.928001854090658,7.74220162601626,2.8259173324459352,8.715866398373983,3.5450855535605523,0.7896000000000002,1.8719430866504445,1.763264772357724,2.988389925829725
2022,8,2022-08,2022-8,30m,12,124,7.313225806451613,2.7361435833793655,7.898813477419354,3.055975368019193,8.664029491935485,3.6177561018064788,0.5855876709677419,2.1831001351341284,1.3508036854838708,2.9032195135700736
2022,8,2022-08,2022-8,30m,13,124,7.396370967741935,2.9511267215927988,7.978025838709678,3.1728274832429912,8.429889666935484,3.7386409327749504,0.5816548709677419,2.258467435643636,1.0335186991935486,2.8059567505613288
2022,8,2022-08,2022-8,30m,14,124,7.419435483870968,2.9955930810322005,7.802571958870969,3.297462270671599,8.265165299193548,3.746884587495318,0.38313647500000014,2.5299480388454163,0.8457298153225806,2.8789429844453758
2022,8,2022-08,2022-8,30m,15,124,7.395725806451613,3.0603537043592923,7.675474752419356,3.38182584233152,8.280807633064518,3.7220258140179285,0.2797489459677419,2.4157558350182335,0.8850818266129034,2.5124388067128876
2022,8,2022-08,2022-8,30m,16,124,7.254838709677419,3.008541733312371,7.632436453225806,3.537084295413678,8.354866991129033,3.747323388852479,0.3775977435483871,2.2222874659599268,1.1000282814516131,2.1103807160408725
2022,8,2022-08,2022-8,30m,17,124,7.290241935483872,3.171181336741795,7.767480025,3.678656414323055,8.429099087903227,3.8080541356374034,0.4772380895161291,2.3537325501465696,1.1388571524193547,2.1481408388313112
2022,8,2022-08,2022-8,30m,18,124,7.5116129032258065,3.1777556969520053,8.003068866935484,3.8938030445543563,8.542730036290322,3.9950800767912034,0.4914559637096774,2.3628950922901573,1.0311171330645164,2.4625063328601198
2022,8,2022-08,2022-8,30m,19,124,7.387923387096774,3.004863257747263,8.125560743548386,4.02705652868091,8.75441582016129,4.100941339499805,0.737637356451613,2.5959763502948805,1.3664924330645163,2.4227288898126695
2022,8,2022-08,2022-8,30m,20,124,6.532681451612904,2.818878272479885,7.811467133387096,3.6033456222125926,8.665627166935485,3.7815419623622533,1.2787856817741936,2.5505259776066596,2.13294571532258,2.637726876912392
2022,8,2022-08,2022-8,30m,21,124,6.175483870967742,2.569055137578613,7.687487501209677,3.3925279979525396,8.19232425298387,3.4672085632316563,1.5120036302419353,2.501151865756433,2.016840382016129,2.851845695018866
2022,8,2022-08,2022-8,30m,22,124,5.839354838709679,2.463617763978965,7.877640791451614,3.163020476969328,8.048100452419355,3.577839323298402,2.0382859527419357,2.7596641491637004,2.2087456137096773,3.14981331212394
2022,8,2022-08,2022-8,30m,23,124,6.109112903225806,2.4495730411700434,7.8235036741935495,2.566850052662314,7.815390670161291,3.6939635523711165,1.7143907709677417,2.644725931076037,1.706277766935484,3.709005870533075
2022,8,2022-08,2022-8,50m,0,124,6.497580645161291,3.2591598885265247,7.987256523387097,2.8398923875093174,8.839327690322582,3.7284127829120353,1.4896758782258064,3.273169343763327,2.34174704516129,4.147271075006204
2022,8,2022-08,2022-8,50m,1,124,6.188387096774194,3.2429365891308812,8.06313088548387,2.876819634403935,8.597435001935484,3.889116275361588,1.8747437887096776,3.727059878557489,2.4090479051612905,4.330196280984826
2022,8,2022-08,2022-8,50m,2,124,6.03,2.745530091598154,7.798926528145161,3.28996553168866,8.674153000000002,3.6390150201180664,1.7689265281451612,3.6098525999734297,2.6441529999999998,3.4666111955755943
2022,8,2022-08,2022-8,50m,3,124,5.944032258064516,2.3240332431117356,7.593097763709678,3.3738877218210463,8.327455208387098,3.6930983479497073,1.649065505645161,3.2920371411658027,2.383422950322581,3.597860046206379
2022,8,2022-08,2022-8,50m,4,124,6.107096774193547,2.467412048369953,7.351914557258065,2.916935828637398,8.102994575806454,3.835182853440388,1.2448177830645164,2.980030127683362,1.995897801612903,3.6644496901750743
2022,8,2022-08,2022-8,50m,5,124,5.759516129032258,2.704779477874934,7.622388212903226,2.755737497125431,8.148691232258065,3.562063581363945,1.8628720838709678,2.7524913651589125,2.3891751032258064,3.5266641054100925
2022,8,2022-08,2022-8,50m,6,124,5.530806451612903,2.4468540027811465,7.760502046774194,2.590410255874812,7.9631371061290315,3.5444060232056147,2.2296955951612905,2.5894612578371867,2.4323306545161296,3.3318101585152102
2022,8,2022-08,2022-8,50m,7,124,5.387096774193547,2.186792382947825,7.678390559677419,2.3935579532197293,8.042270997096773,3.193292869037591,2.2912937854838713,1.9682979970711183,2.655174222903226,2.4576869733023106
