datetime,actual_power,predicted_power,wind_speed,wind_speed_2,wind_speed_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,error,abs_error
2022-07-15 00:00:00,111.2877,50.1493453039539,7.7037435,59.347663913792246,457.1991801160616,0,7,0,4.361823,6.205066,-61.1383546960461,61.1383546960461
2022-07-15 00:15:00,108.7764,62.82115752429146,7.439081,55.339926124560996,411.67819297462535,0,7,0,7.7037435,6.4379563,-45.95524247570854,45.95524247570854
2022-07-15 00:30:00,108.7764,62.28311161265847,7.363413,54.21985100856901,399.24315577456014,0,7,0,7.439081,6.384031,-46.49328838734152,46.49328838734152
2022-07-15 00:45:00,108.7764,60.52755541462967,6.9942274,48.919216922910756,342.1521273887661,0,7,0,7.363413,6.1819234,-48.24884458537033,48.24884458537033
2022-07-15 01:00:00,108.7764,52.551286884344236,6.3584256,40.42957611073536,257.0684517396482,1,7,0,6.9942274,5.8671575,-56.22511311565576,56.22511311565576
2022-07-15 01:15:00,108.7764,41.32768340679374,5.489689,30.136685316721003,165.44102987966482,1,7,0,6.3584256,5.928633,-67.44871659320626,67.44871659320626
2022-07-15 01:30:00,108.7764,39.62808135490858,4.6411233,21.540025485802893,99.96991416475363,1,7,0,5.489689,6.203905,-69.14831864509142,69.14831864509142
2022-07-15 01:45:00,108.7764,36.16918469415846,4.840876,23.434080447375997,113.44147761977172,1,7,0,4.6411233,6.0354133,-72.60721530584154,72.60721530584154
2022-07-15 02:00:00,75.1319,38.768838648997736,5.4796286,30.02632959393796,164.53313439596883,2,7,0,4.840876,5.8396616,-36.363061351002266,36.363061351002266
2022-07-15 02:15:00,7.8428,39.47965155240024,6.07274,36.8781711076,223.95154481196678,2,7,0,5.4796286,5.416956,31.63685155240024,31.63685155240024
2022-07-15 02:30:00,3.2501,38.85362550860664,6.077906,36.940941344836,224.52356904542674,2,7,0,6.07274,4.407303,35.60352550860664,35.60352550860664
2022-07-15 02:45:00,0.8525,37.30204307001324,5.662946,32.068957398916,181.60477402636175,2,7,0,6.077906,4.054987,36.44954307001324,36.44954307001324
2022-07-15 03:00:00,0.0,35.92802182933103,5.3625984,28.757461599682564,154.21471756251918,3,7,0,5.662946,4.218738,35.92802182933103,35.92802182933103
2022-07-15 03:15:00,0.0,33.75176168460783,4.9110622,24.11853193226884,118.44761049205846,3,7,0,5.3625984,4.3548536,33.75176168460783,33.75176168460783
2022-07-15 03:30:00,0.0,32.08712579186033,4.964268,24.643956775823998,122.33920601560624,3,7,0,4.9110622,4.2316523,32.08712579186033,32.08712579186033
2022-07-15 03:45:00,0.0,27.85940948718561,2.8239486,7.97468569544196,22.52010250508335,3,7,0,4.964268,4.323065,27.85940948718561,27.85940948718561
2022-07-15 04:00:00,0.0,38.67866040376919,6.7035246,44.937242062805154,301.2379076241691,4,7,0,2.8239486,4.4035616,38.67866040376919,38.67866040376919
2022-07-15 04:15:00,0.0,41.610695365637596,6.1211214,37.46812719353796,229.34695518228713,4,7,0,6.7035246,4.537765,41.610695365637596,41.610695365637596
2022-07-15 04:30:00,0.0,37.32637758246759,5.2428384,27.487354488514562,144.1117576267965,4,7,0,6.1211214,4.8026834,37.32637758246759,37.32637758246759
2022-07-15 04:45:00,0.0,36.00296922182385,5.4083085,29.249800831172255,158.19194645853597,4,7,0,5.2428384,4.8110504,36.00296922182385,36.00296922182385
2022-07-15 05:00:00,0.0,35.55107289328711,5.3728123,28.867112011031285,155.09757447834662,5,7,0,5.4083085,4.608514,35.55107289328711,35.55107289328711
2022-07-15 05:15:00,0.0,35.55107289328711,5.2730365,27.804913930332248,146.6163260340004,5,7,0,5.3728123,4.43608,35.55107289328711,35.55107289328711
2022-07-15 05:30:00,0.0,38.5905348321151,6.144295,37.752361047025,231.96164321943044,5,7,0,5.2730365,4.385919,38.5905348321151,38.5905348321151
2022-07-15 05:45:00,0.0,44.872170341226536,6.925156,47.957785624336005,332.11514686308425,5,7,0,6.144295,4.361823,44.872170341226536,44.872170341226536
2022-07-15 06:00:00,0.5115,49.28189484386584,6.929099,48.012412951801,332.6827625719113,6,7,1,6.925156,7.7037435,48.770394843865844,48.770394843865844
2022-07-15 06:15:00,3.8717,48.06362648681076,6.460793,41.741846188848996,269.68542766399224,6,7,1,6.929099,7.439081,44.191926486810765,44.191926486810765
2022-07-15 06:30:00,6.3758,45.260968865320045,6.029728,36.357619753984004,219.22655784395047,6,7,1,6.460793,7.363413,38.88516886532005,38.88516886532005
2022-07-15 06:45:00,8.9404,41.21814716547257,6.137287,37.666291720368996,231.16884251362828,6,7,1,6.029728,6.9942274,32.277747165472576,32.277747165472576
2022-07-15 07:00:00,4.1452,42.11462192593288,6.5412073,42.78739294157329,279.88120705738766,7,7,1,6.137287,6.3584256,37.96942192593288,37.96942192593288
2022-07-15 07:15:00,4.1452,43.35947777027491,6.703205,44.93295727202499,301.1948238506243,7,7,1,6.5412073,5.489689,39.214277770274904,39.214277770274904
