datetime,actual_power,predicted_power,wind_speed,error,abs_error
2022-07-25 01:15:00,29.2294,27.902103252494875,4.26497,-1.3272967475051232,1.3272967475051232
2022-07-25 01:30:00,28.7371,30.27227599745545,4.4971614,1.5351759974554469,1.5351759974554469
2022-07-25 01:45:00,28.5581,32.03146111177804,4.6180425,3.4733611117780434,3.4733611117780434
2022-07-25 02:00:00,28.5581,30.191499471863516,4.610376,1.633399471863516,1.633399471863516
2022-07-25 02:15:00,46.2044,30.191499471863516,4.72952,-16.012900528136484,16.012900528136484
2022-07-25 02:30:00,46.2044,30.191499471863516,4.8304453,-16.012900528136484,16.012900528136484
2022-07-25 02:45:00,44.378,30.191499471863516,4.917718,-14.186500528136484,14.186500528136484
2022-07-25 03:00:00,37.0722,31.294785656394623,5.0324683,-5.777414343605379,5.777414343605379
2022-07-25 03:15:00,37.0722,31.294785656394623,5.10208,-5.777414343605379,5.777414343605379
2022-07-25 03:30:00,42.8556,31.294785656394623,5.030296,-11.56081434360538,11.56081434360538
2022-07-25 03:45:00,49.2932,30.191499471863516,4.9863715,-19.101700528136483,19.101700528136483
2022-07-25 04:00:00,33.7582,30.191499471863516,4.978742,-3.5667005281364865,3.5667005281364865
2022-07-25 04:15:00,37.6299,30.191499471863516,4.9698634,-7.438400528136484,7.438400528136484
2022-07-25 04:30:00,39.5657,30.191499471863516,4.8990626,-9.374200528136484,9.374200528136484
2022-07-25 04:45:00,39.5657,30.191499471863516,4.8104677,-9.374200528136484,9.374200528136484
2022-07-25 05:00:00,53.871,30.191499471863516,4.7897415,-23.679500528136487,23.679500528136487
2022-07-25 05:15:00,57.6383,31.35107045419643,4.782422,-26.28722954580357,26.28722954580357
2022-07-25 05:30:00,61.9717,30.191499471863516,4.7000103,-31.780200528136483,31.780200528136483
2022-07-25 05:45:00,78.5028,30.491133416507626,4.520712,-48.01166658349237,48.01166658349237
2022-07-25 06:00:00,71.2432,24.392068248425744,3.9868908,-46.85113175157426,46.85113175157426
2022-07-25 06:15:00,71.1288,22.621460435372082,3.4347014,-48.50733956462791,48.50733956462791
2022-07-25 06:30:00,76.1797,22.621460435372082,3.35623,-53.55823956462791,53.55823956462791
2022-07-25 06:45:00,55.6826,20.64468566982997,3.0867333,-35.03791433017003,35.03791433017003
2022-07-25 07:00:00,60.3918,22.111684259821846,3.2252333,-38.28011574017816,38.28011574017816
2022-07-25 07:15:00,63.9701,22.621460435372082,3.4644008,-41.348639564627916,41.348639564627916
2022-07-25 07:30:00,65.1721,23.175947174818592,4.049269,-41.99615282518141,41.99615282518141
2022-07-25 07:45:00,57.0735,26.98796089384871,4.6891966,-30.08553910615129,30.08553910615129
2022-07-25 08:00:00,55.3345,34.44236916516178,6.1876497,-20.89213083483822,20.89213083483822
2022-07-25 08:15:00,55.7629,46.600231560547755,8.280857,-9.162668439452247,9.162668439452247
2022-07-25 08:30:00,51.6816,58.310773089679756,8.364428,6.629173089679753,6.629173089679753
2022-07-25 08:45:00,51.6816,59.68538215191103,8.164468,8.003782151911025,8.003782151911025
2022-07-25 09:00:00,52.7642,60.99636541336745,8.062502,8.232165413367447,8.232165413367447
2022-07-25 09:15:00,55.7415,60.99636541336745,8.12954,5.2548654133674475,5.2548654133674475
2022-07-25 09:30:00,63.1574,60.99636541336745,8.13819,-2.161034586632553,2.161034586632553
2022-07-25 09:45:00,65.9642,60.99636541336745,8.1675625,-4.967834586632556,4.967834586632556
2022-07-25 10:00:00,67.8681,61.39634224124183,8.393015,-6.471757758758166,6.471757758758166
2022-07-25 10:15:00,67.8681,63.89413803124203,8.765378,-3.973961968757969,3.973961968757969
2022-07-25 10:30:00,78.7301,69.68257663003679,8.7927685,-9.047523369963201,9.047523369963201
2022-07-25 10:45:00,82.6799,68.3067961923753,8.730184,-14.373103807624702,14.373103807624702
2022-07-25 11:00:00,82.6799,69.51528582327718,8.597988,-13.164614176722822,13.164614176722822
2022-07-25 11:15:00,104.686,67.93945875993417,8.442252,-36.74654124006584,36.74654124006584
2022-07-25 11:30:00,105.8461,62.43886533673895,8.366162,-43.40723466326106,43.40723466326106
2022-07-25 11:45:00,106.0961,60.94637605380481,8.482816,-45.149723946195195,45.149723946195195
2022-07-25 12:00:00,107.7215,68.14501379656174,8.520865,-39.576486203438265,39.576486203438265
2022-07-25 12:15:00,107.7215,68.14501379656174,8.570931,-39.576486203438265,39.576486203438265
2022-07-25 12:30:00,104.6355,65.24724117868715,8.229781,-39.388258821312846,39.388258821312846
2022-07-25 12:45:00,100.0066,55.501305541716796,7.9352574,-44.50529445828321,44.50529445828321
2022-07-25 13:00:00,100.0066,56.67186098629941,7.8294272,-43.3347390137006,43.3347390137006
2022-07-25 13:15:00,103.6893,54.50977735001852,7.582424,-49.179522649981486,49.179522649981486
2022-07-25 13:30:00,104.2576,54.50977735001852,7.68506,-49.74782264998148,49.74782264998148
2022-07-25 13:45:00,99.0688,54.15174692012916,7.4181075,-44.91705307987083,44.91705307987083
2022-07-25 14:00:00,99.0688,47.97577941741605,6.599263,-51.09302058258395,51.09302058258395
2022-07-25 14:15:00,94.6231,53.41841928420211,6.248366,-41.204680715797885,41.204680715797885
2022-07-25 14:30:00,89.5424,53.25018279347361,6.3700166,-36.29221720652639,36.29221720652639
2022-07-25 14:45:00,89.5424,52.95376260304936,6.1392937,-36.58863739695064,36.58863739695064
2022-07-25 15:00:00,91.6949,48.84705922382821,5.688912,-42.84784077617179,42.84784077617179
2022-07-25 15:15:00,95.2575,38.329199064796086,5.0019617,-56.92830093520391,56.92830093520391
2022-07-25 15:30:00,100.2303,30.12279380659172,4.3242135,-70.10750619340828,70.10750619340828
