datetime,actual_power,predicted_power,fused_wind,error,abs_error,original_ec_10m,original_ec_70m
2022-08-04 09:15:00,71.0137,61.820181467048144,8.6260365,-9.193518532951856,9.193518532951856,7.988208,9.263865
2022-08-04 09:30:00,74.8932,61.820181467048144,8.626843749999999,-13.07301853295185,13.07301853295185,8.000548,9.2531395
2022-08-04 09:45:00,79.135,61.820181467048144,8.63141975,-17.31481853295186,17.31481853295186,8.0292225,9.233617
2022-08-04 10:00:00,66.3549,62.41151350927143,8.692893,-3.943386490728571,3.943386490728571,8.100793,9.284993
2022-08-04 10:15:00,59.4498,60.861035342935594,8.749067499999999,1.4112353429355906,1.4112353429355906,8.149374,9.348761
2022-08-04 10:30:00,56.8391,60.53286259374583,8.7989815,3.6937625937458307,3.6937625937458307,8.199623,9.39834
2022-08-04 10:45:00,58.5228,60.53286259374583,8.808712499999999,2.010062593745836,2.010062593745836,8.21646,9.400965
2022-08-04 11:00:00,58.5228,62.377736941693335,8.7867185,3.854936941693339,3.854936941693339,8.190122,9.383315
2022-08-04 11:15:00,58.5228,64.6538723406168,9.0044255,6.131072340616804,6.131072340616804,8.385402,9.623449
2022-08-04 11:30:00,63.72,69.28591792796387,9.3164805,5.565917927963866,5.565917927963866,8.676655,9.956306
2022-08-04 11:45:00,97.5024,70.51684981235707,9.4718965,-26.98555018764293,26.98555018764293,8.815638,10.128155
2022-08-04 12:00:00,111.3381,74.63367727289243,9.570215000000001,-36.70442272710757,36.70442272710757,8.901863,10.238567
2022-08-04 12:15:00,112.0393,74.15434551102722,9.6760985,-37.88495448897278,37.88495448897278,8.997596,10.354601
2022-08-04 12:30:00,107.9027,76.36128306135502,9.852546,-31.54141693864497,31.54141693864497,9.160729,10.544363
2022-08-04 12:45:00,107.9027,76.36128306135502,10.0335045,-31.54141693864497,31.54141693864497,9.335664,10.731345
2022-08-04 13:00:00,108.1328,80.93147439463449,9.958656999999999,-27.20132560536551,27.20132560536551,9.268886,10.648428
2022-08-04 13:15:00,109.1458,80.93147439463449,9.789586,-28.214325605365502,28.214325605365502,9.111823,10.467349
2022-08-04 13:30:00,111.9413,80.93147439463449,9.812310499999999,-31.009825605365506,31.009825605365506,9.136766,10.487855
2022-08-04 13:45:00,110.8331,86.35389874778687,9.805896,-24.47920125221313,24.47920125221313,9.131694,10.480098
2022-08-04 14:00:00,110.1752,78.7245368443067,9.7886565,-31.450663155693306,31.450663155693306,9.115951,10.461362
2022-08-04 14:15:00,108.7906,80.93147439463449,9.874400999999999,-27.859125605365506,27.859125605365506,9.197756,10.551046
2022-08-04 14:30:00,97.204,80.93147439463449,9.871375,-16.2725256053655,16.2725256053655,9.196775,10.545975
2022-08-04 14:45:00,95.3442,80.93147439463449,9.875171,-14.412725605365509,14.412725605365509,9.193547,10.556795
2022-08-04 15:00:00,94.6679,82.58635115046829,9.853634,-12.081548849531714,12.081548849531714,9.171806,10.535462
2022-08-04 15:15:00,94.6679,82.58635115046829,9.898687500000001,-12.081548849531714,12.081548849531714,9.210518,10.586857
2022-08-04 15:30:00,94.6679,82.58635115046829,9.8094605,-12.081548849531714,12.081548849531714,9.126436,10.492485
2022-08-04 15:45:00,96.7707,81.4311162636973,9.788391,-15.3395837363027,15.3395837363027,9.105244,10.471538
2022-08-04 16:00:00,98.5879,90.51968080645187,9.795586,-8.068219193548131,8.068219193548131,9.10512,10.486052
2022-08-04 16:15:00,98.4401,90.51968080645187,9.8625605,-7.920419193548128,7.920419193548128,9.157689,10.567432
2022-08-04 16:30:00,98.4401,90.51968080645187,9.967053499999999,-7.920419193548128,7.920419193548128,9.244615,10.689492
2022-08-04 16:45:00,98.8408,91.24155934497219,10.197685,-7.599240655027813,7.599240655027813,9.450107,10.945263
2022-08-04 17:00:00,99.4418,95.66150188832697,10.3057235,-3.7802981116730336,3.7802981116730336,9.539138,11.072309
2022-08-04 17:15:00,101.1787,97.21008875494037,10.29130275,-3.968611245059634,3.968611245059634,9.5153885,11.067217
2022-08-04 17:30:00,105.6798,97.21008875494037,10.417234,-8.469711245059628,8.469711245059628,9.618624,11.215844
2022-08-04 17:45:00,109.1984,104.58049624191507,10.609931,-4.617903758084935,4.617903758084935,9.77886,11.441002
2022-08-04 18:00:00,111.2699,109.28365359973495,10.813750500000001,-1.9862464002650597,1.9862464002650597,9.949479,11.678022
2022-08-04 18:15:00,120.3389,110.72776553491094,11.0464385,-9.611134465089052,9.611134465089052,10.146758,11.946119
2022-08-04 18:30:00,121.7341,110.58376345918046,11.243702500000001,-11.150336540819538,11.150336540819538,10.312927,12.174478
2022-08-04 18:45:00,120.4171,109.80620570222312,11.31831,-10.61089429777688,10.61089429777688,10.361814,12.274806
2022-08-04 19:00:00,101.9779,109.42241584585764,11.395917,7.444515845857637,7.444515845857637,10.40258,12.389254
2022-08-04 19:15:00,101.9779,111.14135473781363,11.422457999999999,9.163454737813623,9.163454737813623,10.392914,12.452002
2022-08-04 19:30:00,104.4927,111.14135473781363,11.632139,6.648654737813629,6.648654737813629,10.536267,12.728011
2022-08-04 19:45:00,111.4085,111.14135473781363,11.7581355,-0.267145262186375,0.267145262186375,10.604656,12.911615
2022-08-04 20:00:00,111.4085,111.14135473781363,11.6305805,-0.267145262186375,0.267145262186375,10.354594,12.906567
2022-08-04 20:15:00,103.2929,111.14135473781363,11.5368675,7.848454737813626,7.848454737813626,10.092044,12.981691
2022-08-04 20:30:00,94.6175,111.44862135769503,10.8125255,16.831121357695025,16.831121357695025,9.138888,12.486163
2022-08-04 20:45:00,84.3849,110.50724022269638,10.4985925,26.12234022269638,26.12234022269638,8.722389,12.274796
2022-08-04 21:00:00,76.4064,106.85732771889752,10.259176,30.450927718897518,30.450927718897518,8.443793,12.074559
2022-08-04 21:15:00,64.3367,105.30874085228412,10.25432675,40.972040852284124,40.972040852284124,8.3951845,12.113469
2022-08-04 21:30:00,50.584,108.95865335608298,10.2838135,58.37465335608297,58.37465335608297,8.407849,12.159778
2022-08-04 21:45:00,44.1052,106.85732771889752,10.250717999999999,62.75212771889752,62.75212771889752,8.313245,12.188191
2022-08-04 22:00:00,44.1052,108.95865335608298,10.401713,64.85345335608298,64.85345335608298,8.419493,12.383933
2022-08-04 22:15:00,40.0026,110.50724022269638,10.5060585,70.50464022269638,70.50464022269638,8.496008,12.516109
2022-08-04 22:30:00,23.5924,110.50724022269638,10.673504000000001,86.91484022269638,86.91484022269638,8.65436,12.692648
2022-08-04 22:45:00,21.4271,110.50724022269638,10.498268,89.08014022269639,89.08014022269639,8.492713,12.503823
