,sample_count,mean_power,std_power,mean_wind_speed_70m,wind_speed_70m_range,model_r2,model_rmse
East Wind,8704,49.193743876378676,44.3986083152831,6.70169241772996,0.0-19.1,0.7631505017443274,21.619873286049273
West Wind,1953,57.41029083461341,47.4031306954719,7.728008192524322,0.0-18.8,0.8229699867364084,18.814976017861827
