Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,Dominant_Period_Hours,Persistence
obs_wind_speed_10m,1,-0.001765460978957848,0.3676565392277684,7071.921579766748,0.36332028231453417,0.3676607780133853,4.461515659027924,30575,0.5844180667851749,0.8555519215044971,-0.16395152541016492
obs_wind_speed_10m,2,-0.0015687476718887618,0.41661415774454336,9080.65213704415,0.4665189030758137,0.41661711126939244,4.221617213617454,11331,0.21658351969723036,2.3085782366957903,0.8296168236112605
obs_wind_speed_10m,3,0.003734683161300013,0.642249538641934,21580.67972111768,1.108708370190189,0.6422603971475218,4.756979201597666,4253,0.08129288758912018,6.1505995767693395,0.9752871331150288
obs_wind_speed_10m,4,-0.01683484396050739,1.084991757382559,61602.771825684256,3.1648451129747457,1.0851223551099058,5.452582798884836,1605,0.030678364585125295,16.298130841121495,0.996657322006925
obs_wind_speed_10m,5,-0.00986045561203181,1.1103332216715283,64503.56982816145,3.313873737982804,1.1103770043243655,4.753519700334077,657,0.01255805952176157,39.81506849315068,0.9993608569139036
obs_wind_speed_10m,6,-0.007354448794582785,1.0245703327527085,54922.30575318322,2.8216358745694463,1.0245967278271328,3.87909662916417,260,0.0049697039203318236,100.60961538461538,0.9998837840037579
obs_wind_speed_10m,7,-0.0053957896688495086,0.7838633637754205,32147.273427378423,1.6515675867637212,0.7838819347423869,3.1509405739724654,104,0.001987881568132729,251.52403846153845,0.9999771090880568
obs_wind_speed_10m,8,-0.003222830799091734,0.49585282318828944,12863.725352534126,0.6608744559711985,0.4958632965870297,1.4576421470996135,47,0.0008983695548292142,556.563829787234,0.9999955690836644
obs_wind_speed_10m,9,0.0018456713051144976,0.4124855930730641,8901.620935166546,0.45732116720224547,0.41248972229063346,1.0073794912208895,20,0.0003822849169486018,1307.925,0.9999994506807593
obs_wind_speed_10m,10,-0.006428443005692669,0.20471197996033888,2194.6102374946468,0.11274819751086955,0.20481288928863733,0.47151430780525666,8,0.00015291396677944073,3269.8125,0.999999896607413
obs_wind_speed_10m,11,-0.015576160900591239,0.11832270685632872,745.1447396824583,0.03828184378644512,0.1193435366754723,0.2855809372998157,5,9.557122923715044e-05,5231.7,0.9999999722443416
obs_wind_speed_10m,12,5.649561468217351,0.14003230706115438,1670856.0769338973,85.84030446765799,5.651296650343802,5.841985645096152,0,0.0,inf,0.9999999930183083
obs_wind_speed_70m,1,0.00012348454341018194,0.44621848739636744,10416.887766958645,0.37576510977641214,0.44621850448265205,3.7274368599311165,30835,0.5893877707055069,0.8483379276795849,-0.20348001595776868
obs_wind_speed_70m,2,0.0004841680821490677,0.5219114343156444,14250.720737944679,0.5140617583950623,0.5219116588927143,6.8702657620989624,11184,0.2137737255576581,2.3389216738197427,0.8301900251390938
obs_wind_speed_70m,3,0.0071751938237522225,0.8035700252245511,33785.0770572054,1.2187184380994713,0.8036020587615452,6.250120088877325,4167,0.07964906244624119,6.277537796976242,0.9758001058681696
obs_wind_speed_70m,4,-0.006004045294690282,1.21438860383662,77155.84185009527,2.7832183691806534,1.2144034460129616,6.167836706764181,1567,0.02995202324292295,16.693363114231015,0.9965169390502592
obs_wind_speed_70m,5,-0.0018170191934739268,1.386474104966053,100569.68821286883,3.6278186706932023,1.3864752955967758,6.168051935674854,656,0.012538945275914138,39.87576219512195,0.9993837240919383
obs_wind_speed_70m,6,0.00295342071389066,1.15776420657015,70127.10265464867,2.52967287512779,1.157767973606509,3.73770325367093,262,0.005007932412026683,99.84160305343511,0.9998913091080309
obs_wind_speed_70m,7,0.009116590136876265,0.8166977065263994,34899.533122354034,1.2589198605425425,0.8167485880374722,2.8464362672226575,108,0.00206433855152245,242.20833333333334,0.9999792104893962
obs_wind_speed_70m,8,-0.014582290241038097,0.5790266711250716,17551.54410698141,0.6331313196082352,0.5792102632575286,2.005297727692956,45,0.000860141063134354,581.3,0.9999962842001087
obs_wind_speed_70m,9,0.019987149505345032,0.3800761623713638,7578.503306096609,0.273376961570906,0.3806013338761339,1.1561657893686266,19,0.0003631706711011717,1376.7631578947369,0.9999994506063984
obs_wind_speed_70m,10,-0.016823629883829048,0.21248854027828595,2376.9922514716154,0.0857444924332416,0.2131534993193047,0.46456601381173,5,9.557122923715044e-05,5231.7,0.9999998933028335
obs_wind_speed_70m,11,-0.024635022659231225,0.16968660502316465,1538.1422055770622,0.05548491907186467,0.17146553083844088,0.4120012468470479,5,9.557122923715044e-05,5231.7,0.999999976151859
obs_wind_speed_70m,12,6.7741459630563305,0.1484564524962067,2401930.6444806913,86.64408722550063,6.775772490799859,6.966915110137636,0,0.0,inf,0.9999999949398092
power,1,0.006235009626116535,3.948247070493862,815553.6937966247,0.82457135227995,3.9482519936053224,78.1474026829908,29367,0.5613280578014794,0.8907447134538768,-0.005789774408544255
power,2,-0.03478219630702506,5.857701350376178,1795198.993738607,1.8150486879503789,5.857804615329778,66.27351106937856,11397,0.21784505992316072,2.2952092655962097,0.8470968053541548
power,3,-0.1753814078624237,10.259157098077107,5507989.373036381,5.568891760547623,10.260656070702774,83.19274992436793,3985,0.07617026970200891,6.564240903387704,0.9787254949620017
power,4,-0.6055123315491515,16.246877633346763,13828831.130794536,13.98173789500837,16.258157276167598,79.46597957961534,1595,0.030487222126650993,16.400313479623826,0.9964528000734393
power,5,-0.5412266115773744,21.036804657231947,23168064.278672814,23.424235874698837,21.04376573790003,93.85480459270231,644,0.012309574325744978,40.618788819875775,0.9993970883316464
power,6,-0.26864894063306377,18.571674474370333,18048280.208850842,18.247841842097962,18.573617446132616,59.27285870490979,258,0.004931475428636963,101.38953488372093,0.9998900621879675
power,7,-0.11355204997661793,13.667645018706134,9773726.670494512,9.881795740494784,13.668116710996305,44.994686870881026,118,0.0022554810099967505,221.6822033898305,0.9999800036968093
power,8,0.008132498156716652,9.28149905582042,4506915.498960372,4.556748912863056,9.281502618688506,32.9761182266745,45,0.000860141063134354,581.3,0.9999956090238595
power,9,-0.17659096563109247,6.130371004610581,1967780.121880648,1.989538062828459,6.1329139096609415,16.26865430969025,18,0.0003440564252537416,1453.25,0.9999994005657048
power,10,0.6566409552829785,5.661412304659335,1699400.9016510781,1.718191346809881,5.699365458321046,14.093900800611255,8,0.00015291396677944073,3269.8125,0.9999998943338544
power,11,12.938740422962448,1.6292855850508734,8897320.700378163,8.995699262210339,13.040919264011148,15.22188904908544,0,0.0,inf,0.9999999937122436
power,12,12.938740422962448,1.6292855850508734,8897320.700378163,8.995699262210339,13.040919264011148,15.22188904908544,0,0.0,inf,0.9999999937122436
