datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_gfs_wind_speed_10m,original_gfs_wind_speed_70m,fused_wind
2022-10-02 07:30:00,86.79,96.13742176608285,9.347421766082846,9.347421766082846,10.770159885938275,11.850087600000002,140.42457612767382,1664.0435283058036,7,10,1,11.531570325,10.0786853,10.266417,13.785685,11.850087600000002
2022-10-02 07:45:00,98.88,98.65674137237428,-0.22325862762571091,0.22325862762571091,-0.22578744700964015,11.993864,143.852773650496,1725.3506031868326,7,10,1,11.850087600000002,10.931677,10.434488,13.899768,11.993864
2022-10-02 08:00:00,102.86,96.07862251575335,-6.781377484246647,6.781377484246647,-6.592822752855692,12.09582935,146.30908766432145,1769.7297567418223,8,10,1,11.993864,10.489378250000001,10.70234,13.798983,12.09582935
2022-10-02 08:15:00,97.18,96.07862251575335,-1.1013774842466546,1.1013774842466546,-1.1333376045825487,11.803520425,139.32309442339218,1644.5029907007133,8,10,1,12.09582935,10.110429750000002,10.3853245,13.536871,11.803520425
2022-10-02 08:30:00,108.91,96.07862251575335,-12.831377484246644,12.831377484246644,-11.781633902367535,12.23977155,149.8120075961894,1833.664748424223,8,10,1,11.803520425,10.60732045,11.10003,13.632789,12.23977155
2022-10-02 08:45:00,106.9,97.37741857173063,-9.522581428269376,9.522581428269376,-8.907933982580527,12.37510515,153.14322747355652,1895.1635429956307,8,10,1,12.23977155,11.76653815,11.320761,13.663748,12.37510515
2022-10-02 09:00:00,106.89,95.58204754486574,-11.307952455134256,11.307952455134256,-10.579055528184442,12.6611574,160.30490670757476,2029.64565581692,9,10,1,12.37510515,10.500690650000001,11.629545,13.922017,12.6611574
2022-10-02 09:15:00,123.03,104.81136972296449,-18.218630277035516,18.218630277035516,-14.808282756689174,13.017399050000002,169.45267802694096,2205.833129967857,9,10,1,12.6611574,10.5355314,11.989028,14.274297,13.017399050000002
2022-10-02 09:30:00,143.52,115.7712630742871,-27.748736925712905,27.748736925712905,-19.33440421110609,13.16656175,173.35834831656305,2282.533397988036,9,10,1,13.017399050000002,11.28950935,12.144587,14.415642,13.16656175
2022-10-02 09:45:00,151.95,111.5138340383178,-40.43616596168219,40.43616596168219,-26.611494543613716,12.95886335,167.93213932397322,2176.20964557253,9,10,1,13.16656175,11.446707450000002,11.962544,14.176587,12.95886335
