datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-02 00:00:00,84.7101,6.0940237,8.837965
2021-05-02 00:15:00,85.9583,6.267772,9.272046
2021-05-02 00:30:00,86.85,6.4622793,9.564997
2021-05-02 00:45:00,87.325,6.5686197,9.693369
2021-05-02 01:00:00,87.297,6.635066,9.737123
2021-05-02 01:15:00,86.7662,6.6792665,9.795563
2021-05-02 01:30:00,85.3472,6.700341,9.872168
2021-05-02 01:45:00,83.0018,6.6519365,9.871982
2021-05-02 02:00:00,79.7619,6.609361,9.879084
2021-05-02 02:15:00,75.651,6.3684616,9.7175045
2021-05-02 02:30:00,70.9737,3.9865751,6.668656
2021-05-02 02:45:00,65.829,4.5463743,7.827487
2021-05-02 03:00:00,60.3069,2.0525465,4.5495834
2021-05-02 03:15:00,54.5369,1.4554422,2.7641063
2021-05-02 03:30:00,49.2125,2.1383054,2.7845588
2021-05-02 03:45:00,44.387,2.950919,3.6990645
2021-05-02 04:00:00,40.0369,2.7835095,4.973312
2021-05-02 04:15:00,36.1836,2.9065485,5.9078183
2021-05-02 04:30:00,33.0267,2.906418,5.720809
2021-05-02 04:45:00,30.4992,3.0189304,5.2164025
2021-05-02 05:00:00,28.5135,3.214798,4.9207344
2021-05-02 05:15:00,27.024,4.6858974,5.2661386
2021-05-02 05:30:00,26.0214,5.176654,6.5902476
2021-05-02 05:45:00,25.4967,5.227247,7.3482094
2021-05-02 06:00:00,25.4122,4.719063,7.292114
2021-05-02 06:15:00,25.7883,4.9415154,8.375984
2021-05-02 06:30:00,26.3434,5.802148,9.245472
2021-05-02 06:45:00,27.1006,4.8362813,8.767887
2021-05-02 07:00:00,28.1013,4.1337795,6.993806
2021-05-02 07:15:00,29.3953,4.9845476,8.480489
2021-05-02 07:30:00,30.5276,6.7717214,9.104903
2021-05-02 07:45:00,31.4926,6.9991493,8.962029
2021-05-02 08:00:00,32.3041,7.7725916,9.052364
2021-05-02 08:15:00,32.9509,8.104621,9.46895
2021-05-02 08:30:00,33.4238,8.222699,9.631583
2021-05-02 08:45:00,33.7474,7.5139694,8.650342
2021-05-02 09:00:00,33.9179,6.4938617,7.449778
2021-05-02 09:15:00,33.949,6.867318,7.86796
2021-05-02 09:30:00,33.6084,7.0681086,8.093369
2021-05-02 09:45:00,32.9509,6.9430737,7.9213705
2021-05-02 10:00:00,32.0514,6.738052,7.6494246
2021-05-02 10:15:00,30.9565,6.412557,7.2477193
2021-05-02 10:30:00,29.9498,6.338298,7.170221
2021-05-02 10:45:00,29.0533,6.650071,7.5108595
2021-05-02 11:00:00,28.3001,6.969941,7.835707
2021-05-02 11:15:00,27.6815,7.03515,7.863719
2021-05-02 11:30:00,27.2031,6.8049946,7.5712624
2021-05-02 11:45:00,26.846,6.687718,7.436816
2021-05-02 12:00:00,26.6062,6.571958,7.2902503
2021-05-02 12:15:00,26.4432,6.2414255,6.914155
2021-05-02 12:30:00,26.1943,6.01053,6.6386266
2021-05-02 12:45:00,25.8128,5.333885,5.795519
2021-05-02 13:00:00,25.304,5.1405864,5.6532097
2021-05-02 13:15:00,24.6754,5.2670984,5.7591805
2021-05-02 13:30:00,24.0845,5.1146545,5.485317
2021-05-02 13:45:00,23.4846,4.5621395,4.887688
2021-05-02 14:00:00,22.8664,4.364885,4.75834
2021-05-02 14:15:00,22.1897,4.5177565,4.974146
