datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,fused_corrected_wind_speed,corrected_wind_gfs_70m,original_gfs_wind_speed_70m,corrected_wind_ec_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-31 18:30:00,43.6043,30.75835840710204,5.834346474213249,34.03959878116457,198.59881313252114,18,8,0,5.761582798841502,5.218056900613613,5.834346474213249,5.733812006834647,5.1215343,5.934880941591851,6.325791,-12.845941592897962,12.845941592897962
2022-08-31 18:45:00,43.6043,38.17486234183349,6.439343862756689,41.46514938282224,267.00835519656573,18,8,0,5.834346474213249,5.248222650802428,6.439343862756689,5.858572031496181,5.205205,7.020115694017197,6.9547286,-5.429437658166513,5.429437658166513
2022-08-31 19:00:00,47.8071,40.34651484057818,6.403968034472127,41.0108065865408,262.6318944481263,19,8,0,6.439343862756689,5.536071030196565,6.403968034472127,5.787820374927058,5.3857713,7.020115694017197,7.188515,-7.460585159421818,7.460585159421818
2022-08-31 19:15:00,59.3646,35.61314648298761,5.986777032201276,35.84149923329272,214.5750644095365,19,8,0,6.403968034472127,5.582208159876936,5.986777032201276,5.787820374927058,5.7725472,6.185733689475494,7.393206,-23.751453517012393,23.751453517012393
2022-08-31 19:30:00,59.3646,32.86989415238412,6.047015441483754,36.566395749542956,221.11755973689213,19,8,0,5.986777032201276,5.420392433900339,6.047015441483754,5.7741609574299035,6.045688,6.319869925537604,8.3253765,-26.494705847615883,26.494705847615883
2022-08-31 19:45:00,59.3646,32.86989415238412,6.0192214405465405,36.23102675033517,218.0825730286327,19,8,0,6.047015441483754,5.4736255010933,6.0192214405465405,5.9163279772684545,6.122109,6.1221149038246265,8.462168,-26.494705847615883,26.494705847615883
2022-08-31 20:00:00,57.8493,32.86989415238412,5.975441474203901,35.70590081163609,213.35852058366103,20,8,0,6.0192214405465405,5.508557978225708,5.975441474203901,5.843470188773641,6.372353,6.107412759634162,7.9608135,-24.97940584761588,24.97940584761588
2022-08-31 20:15:00,36.6353,32.86989415238412,5.992985777405659,35.91587852818651,215.24334920245104,20,8,0,5.975441474203901,5.539572646479613,5.992985777405659,5.839969065396336,6.7444777,6.146002489414981,9.458143,-3.765405847615881,3.765405847615881
2022-08-31 20:30:00,36.6353,32.86989415238412,5.9889383478947025,35.86738253488373,214.80754270177385,20,8,0,5.992985777405659,5.605898075862759,5.9889383478947025,5.700619331515633,6.904247,6.277257364273771,10.125312,-3.765405847615881,3.765405847615881
2022-08-31 20:45:00,31.0835,30.75835840710204,5.879062948192009,34.56338114880411,203.20029347617242,20,8,0,5.9889383478947025,5.658471268666341,5.879062948192009,5.637024801994558,7.1858478,6.121101094389459,9.653482,-0.3251415928979604,0.3251415928979604
