,name,mean,std,rmse,mae,min,max,q25,q75,skewness,kurtosis
modeling,Modeling Error,-0.022450575529940436,16.78436478359707,16.784379798407663,11.33675569561319,-114.29594296382696,119.88083824525994,-6.897887707740097,7.244981515799497,-0.20478466980582427,3.9076409162548478
ecmwf_propagation,ECMWF Propagation Error,6.71165359206172,36.08863291308328,36.707434117289004,26.199949933904662,-183.48074084941544,177.02054075986987,-11.302120040216135,25.69291713737426,0.23621217117620824,2.2795892400955546
gfs_propagation,GFS Propagation Error,8.155206819783844,38.26742459227505,39.12675789276319,28.509330476666698,-184.96032945147905,173.86738195783929,-11.61905480382666,29.410650147981286,0.057803122779174425,1.550073195019209
ecmwf_total,ECMWF Total Error,6.6892030165317795,38.28575798650531,38.86572656721643,27.975572020584615,-186.51813676636863,171.23840704606985,-12.088512366801115,26.85113833347959,0.042184583283744075,2.1754301968406757
gfs_total,GFS Total Error,8.132756244253903,40.833252696555675,41.63527650813937,30.49073448984647,-188.6516393822051,173.39801314735604,-12.846846734382991,30.692733032375074,-0.0754018268101501,1.5288168608012187
