z0,d,u_star,u_star_std,r_squared,rmse,n_points,wind_profile,height_profile,slope,intercept,ln_z0_optimal,optimization_success,timestamp,confidence
0.018315636854361064,0.0,0.23526496104937733,0.023242546862120902,0.94773562176957,0.10170755655927333,4,"[4.31, 5.2, 5.3, 5.45]","[10, 30, 50, 70]",0.5881624026234433,3.026384894143974,-4.000000111073015,True,2021-05-01 17:00:00,0.85
0.018315636854361064,0.0,0.3796264410623911,0.02793561684743437,0.9800580514741595,0.09968986933411307,4,"[4.72, 5.58, 6.11, 6.63]","[10, 30, 50, 70]",0.9490661026559777,2.4704655368985264,-4.000000111073015,True,2021-05-01 17:00:00,0.85
0.018315636854361064,0.0,0.5167799685132228,0.020148021585841818,0.9967514885980794,0.05431141284968533,4,"[6.67, 7.96, 8.72, 9.19]","[10, 30, 50, 70]",1.291949921283057,3.657004443348682,-4.000000111073015,True,2021-05-05 02:00:00,0.85
0.018315636854361064,0.0,0.39952832282243594,0.020745071608174084,0.996755575112591,0.04196225085739803,4,"[5.12, 6.14, 6.67, 7.09]","[10, 30, 50, 70]",0.9988208070560898,2.793011990862521,-4.000000111073015,True,2021-05-10 05:00:00,0.85
0.018315636854361064,0.0,0.449432851893822,0.015456702244497559,0.9972725094503144,0.043268934049175124,4,"[8.4, 9.57, 10.14, 10.62]","[10, 30, 50, 70]",1.123582129734555,5.78807986683617,-4.000000111073015,True,2021-05-17 14:00:00,0.85
0.018315636854361064,0.0,0.5309928061111319,0.015984115317593264,0.974820955059088,0.15710228937607945,4,"[8.28, 9.4, 10.25, 10.93]","[10, 30, 50, 70]",1.3274820152778297,5.113847534241019,-4.000000111073015,True,2021-05-18 00:00:00,0.85
0.018315636854361064,0.0,0.6291801008820482,0.03648096425945857,0.9551692050675014,0.2509341220317523,4,"[7.63, 8.79, 9.94, 10.77]","[10, 30, 50, 70]",1.5729502522051204,3.8305361706180374,-4.000000111073015,True,2021-05-18 00:00:00,0.85
0.018315636854361064,0.0,0.5321591013315606,0.009427345161281155,0.9913516033965891,0.09150232187872767,4,"[8.58, 9.84, 10.76, 11.13]","[10, 30, 50, 70]",1.3303977533289015,5.466241366949263,-4.000000111073015,True,2021-05-18 00:00:00,0.85
0.018315636854361064,0.0,0.7295038641690343,0.007177814732523692,0.9941202005281451,0.10328234335102568,4,"[11.37, 13.32, 14.12, 15.02]","[10, 30, 50, 70]",1.8237596604225859,7.136211905751205,-4.000000111073015,True,2021-05-18 18:00:00,0.85
0.018315636854361064,0.0,0.7033609991859571,0.030151474029059464,0.956135645015844,0.2773390865373538,4,"[14.91, 16.2, 17.79, 18.25]","[10, 30, 50, 70]",1.7584024979648927,10.692744744415908,-4.000000111073015,True,2021-05-18 18:00:00,0.85
0.018315636854361064,0.0,0.4400943140465519,0.02335816125245781,0.9577855858522533,0.17008995671645188,4,"[8.57, 10.12, 10.55, 10.62]","[10, 30, 50, 70]",1.1002357851163798,6.151500052473407,-4.000000111073015,True,2021-05-18 20:00:00,0.85
0.018315636854361064,0.0,0.4963085755517387,0.020673699349398913,0.9679839740853096,0.16616443888157617,4,"[7.25, 9.01, 9.33, 9.65]","[10, 30, 50, 70]",1.2407714388793467,4.5093929109855475,-4.000000111073015,True,2021-05-18 20:00:00,0.85
0.018315636854361064,0.0,0.6055310275483303,0.039177058338947184,0.9976856144293338,0.05369008370178,4,"[6.55, 8.29, 8.92, 9.54]","[10, 30, 50, 70]",1.5138275688708256,3.0779598359295743,-4.000000111073015,True,2021-05-18 20:00:00,0.85
0.018315636854361064,0.0,0.5885375223378511,0.03328694973965596,0.9759363187039849,0.1701300886288821,4,"[13.74, 15.2, 15.81, 16.76]","[10, 30, 50, 70]",1.4713438058446275,10.277711752530344,-4.000000111073015,True,2021-05-22 18:00:00,0.85
0.018315636854361064,0.0,0.5331534006931246,0.038904469765314004,0.9901503621654121,0.0978922741077125,4,"[13.86, 15.09, 15.96, 16.46]","[10, 30, 50, 70]",1.3328835017328113,10.72262557610142,-4.000000111073015,True,2021-05-22 18:00:00,0.85
0.018315636854361064,0.0,0.7819876691867566,0.0054015405614801695,0.9971991680867979,0.07629378347948927,4,"[12.17, 14.48, 15.4, 15.94]","[10, 30, 50, 70]",1.9549691729668912,7.721429870871498,-4.000000111073015,True,2021-05-22 18:00:00,0.85
0.018315636854361064,0.0,1.0600998684709464,0.04855702728203775,0.9830408594010406,0.2563300926665356,4,"[10.91, 14.26, 15.55, 15.89]","[10, 30, 50, 70]",2.6502496711773658,4.966535392515258,-4.000000111073015,True,2021-05-22 18:00:00,0.85
0.018315636854361064,0.0,0.27560078004097577,0.0260447494023875,0.939728873702051,0.12849034310470814,4,"[4.14, 4.64, 5.09, 5.55]","[10, 30, 50, 70]",0.6890019501024394,2.466867441410804,-4.000000111073015,True,2021-05-24 01:00:00,0.85
0.018315636854361064,0.0,0.3718960024515458,0.04375812375300223,0.9526408635761128,0.15264953029394823,4,"[10.09, 10.84, 11.37, 12.0]","[10, 30, 50, 70]",0.9297400061288644,7.8524512404077464,-4.000000111073015,True,2021-05-25 19:00:00,0.85
0.018315636854361064,0.0,0.59362939080471,0.00839635743812192,0.9957940403611152,0.0710231388820425,4,"[9.93, 11.39, 12.29, 12.82]","[10, 30, 50, 70]",1.484073477011775,6.463589755241542,-4.000000111073015,True,2021-05-25 19:00:00,0.85
