feature,day_importance,night_importance,difference,abs_difference,avg_importance
obs_wind_speed_10m,25.03415386823458,24.262484822904238,0.7716690453303414,0.7716690453303414,24.64831934556941
obs_wind_speed_70m,6.198082293838469,7.224126288213999,-1.02604399437553,1.02604399437553,6.711104291026235
obs_temperature_10m,3.288423985990769,2.7676727649540753,0.5207512210366936,0.5207512210366936,3.028048375472422
obs_wind_speed_30m,1.4172469048618874,4.004697094380789,-2.5874501895189015,2.5874501895189015,2.710971999621338
obs_wind_speed_50m,3.6619190009389095,0.9024922309873978,2.759426769951512,2.759426769951512,2.2822056159631536
obs_wind_dir_cos_50m,0.7551903549319945,1.422339704854179,-0.6671493499221846,0.6671493499221846,1.0887650298930867
obs_wind_dir_sin_50m,0.6897051099361416,1.3501572983747634,-0.6604521884386217,0.6604521884386217,1.0199312041554525
obs_wind_dir_cos_70m,1.0136326760934211,0.9865230283288178,0.02710964776460334,0.02710964776460334,1.0000778522111196
obs_wind_dir_sin_70m,0.923853686082732,0.8150987539234456,0.10875493215928644,0.10875493215928644,0.8694762200030888
obs_wind_dir_cos_10m,0.8803717187360657,0.80454792860148,0.07582379013458573,0.07582379013458573,0.8424598236687728
obs_wind_dir_cos_30m,0.5099604273447479,0.9600830598992169,-0.45012263255446905,0.45012263255446905,0.7350217436219824
obs_wind_dir_sin_10m,0.5900303691747402,0.8033204619779132,-0.21329009280317301,0.21329009280317301,0.6966754155763266
obs_wind_dir_sin_30m,0.5283930585489124,0.6558035014903643,-0.12741044294145187,0.12741044294145187,0.5920982800196384
