datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,original_forecast_wind,observed_wind,corrected_wind_speed,error,abs_error
2022-07-15 00:00:00,111.2877,53.33129793342019,5.428679771409765,29.47056406051358,159.9862549673457,0,7,0,6.62420367897166,7.442786161746556,3.6995347,7.26,5.428679771409765,-57.95640206657981,57.95640206657981
2022-07-15 00:15:00,108.7764,44.66933484491868,4.911164467961963,24.119536431372108,118.45501030546879,0,7,0,5.428679771409765,6.828624254237173,4.921076,6.62,4.911164467961963,-64.10706515508132,64.10706515508132
2022-07-15 00:30:00,108.7764,42.04898235599305,4.916025587698533,24.167307578906705,118.80710244368603,0,7,0,4.911164467961963,6.531977493951163,5.705847,6.68,4.916025587698533,-66.72741764400695,66.72741764400695
2022-07-15 00:45:00,108.7764,45.038992307627126,5.0887369399462,25.895243643973014,131.77408289999252,0,7,0,4.916025587698533,6.464090464149981,5.9262104,7.28,5.0887369399462,-63.73740769237287,63.73740769237287
2022-07-15 01:00:00,108.7764,45.7518664311383,4.9938850150668515,24.938887543709246,124.54193679696697,1,7,0,5.0887369399462,7.2739995566878575,5.944745,5.38,4.9938850150668515,-63.02453356886169,63.02453356886169
2022-07-15 01:15:00,108.7764,45.14464537650729,4.965240206284034,24.653610306099516,122.41109712190375,1,7,0,4.9938850150668515,6.971164928748268,5.257132,5.4,4.965240206284034,-63.631754623492704,63.631754623492704
2022-07-15 01:30:00,108.7764,42.761856479504225,4.876779731753911,23.782980552045746,115.98435751691413,1,7,0,4.965240206284034,5.898445704915556,4.681778,5.2,4.876779731753911,-66.01454352049578,66.01454352049578
2022-07-15 01:45:00,108.7764,42.04898235599305,4.87377726735757,23.753704851811424,115.77026672227974,1,7,0,4.876779731753911,5.731435130185687,4.764126,4.59,4.87377726735757,-66.72741764400695,66.72741764400695
2022-07-15 02:00:00,75.1319,41.34853225280171,4.89089675847681,23.920871102078966,116.99451093309962,2,7,0,4.87377726735757,5.644034863441068,5.139409,4.83,4.89089675847681,-33.78336774719829,33.78336774719829
2022-07-15 02:15:00,7.8428,42.949979124024885,4.936706540740062,24.371071469385708,120.31282792775993,2,7,0,4.89089675847681,6.152652256997094,6.0185227,4.19,4.936706540740062,35.10717912402488,35.10717912402488
2022-07-15 02:30:00,3.2501,45.05141632794697,4.979172471925481,24.792158505180506,123.44443314860796,2,7,0,4.936706540740062,6.201127361909363,6.4628453,2.94,4.979172471925481,41.801316327946964,41.801316327946964
2022-07-15 02:45:00,0.8525,44.444195273315955,4.961788709878368,24.61934720147644,122.15599898886138,2,7,0,4.979172471925481,6.250311306566414,6.2449145,1.92,4.961788709878368,43.591695273315956,43.591695273315956
2022-07-15 03:00:00,0.0,42.06140637631289,4.820969178783673,23.241743822782123,112.04773063081844,3,7,0,4.961788709878368,6.634717396568625,5.387362,1.72,4.820969178783673,42.06140637631289,42.06140637631289
2022-07-15 03:15:00,0.0,40.95062648369588,4.764231877707576,22.69790538456505,108.13808439033525,3,7,0,4.820969178783673,7.067768653998559,4.0805435,1.5,4.764231877707576,40.95062648369588,40.95062648369588
2022-07-15 03:30:00,0.0,40.95062648369588,4.747594699011328,22.539655426080465,107.00914861840154,3,7,0,4.764231877707576,6.617407293135756,3.3046212,1.18,4.747594699011328,40.95062648369588,40.95062648369588
2022-07-15 03:45:00,0.0,37.47701055604689,4.646017857790652,21.58548193490964,100.28653453860773,3,7,0,4.747594699011328,6.6030155631726,4.2277646,1.53,4.646017857790652,37.47701055604689,37.47701055604689
2022-07-15 04:00:00,0.0,34.11884286479323,4.53997820340293,20.611402087373694,93.57531621825021,4,7,0,4.646017857790652,6.401864926065866,5.072342,1.45,4.53997820340293,34.11884286479323,34.11884286479323
2022-07-15 04:15:00,0.0,31.46466356656702,4.480788976185179,20.077469849102627,89.96290556954938,4,7,0,4.53997820340293,6.476807589274793,4.9372754,0.42,4.480788976185179,31.46466356656702,31.46466356656702
2022-07-15 04:30:00,0.0,30.27176897837899,4.468656169855567,19.968887964388227,89.23409440721802,4,7,0,4.480788976185179,6.255250782498418,4.9016004,0.6,4.468656169855567,30.27176897837899,30.27176897837899
2022-07-15 04:45:00,0.0,30.718650630692693,4.6077844137106645,21.23167720323493,97.83099129400195,4,7,0,4.468656169855567,6.255250782498418,5.2199636,2.27,4.6077844137106645,30.718650630692693,30.718650630692693
2022-07-15 05:00:00,0.0,33.27961385879556,4.558904161891696,20.783607157313423,94.7504731685982,5,7,0,4.6077844137106645,6.189736006401124,5.441163,2.33,4.558904161891696,33.27961385879556,33.27961385879556
2022-07-15 05:15:00,0.0,33.869495512128765,4.638131506673934,21.51226387320142,99.77670885017895,5,7,0,4.558904161891696,6.11048068625966,5.287308,2.7,4.638131506673934,33.869495512128765,33.869495512128765
