Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,Dominant_Period_Hours,Persistence
obs_wind_speed_10m,1,-0.0003185339717183781,0.12086416145562366,764.2596576849138,0.15944751734547166,0.12086458119838998,1.2747317187491927,32336,0.6180782537224994,0.8089590549233053,-0.2835815902457589
obs_wind_speed_10m,2,-0.0004122653702503196,0.12247009240124296,784.7075744043088,0.16371356687852012,0.12247078629413832,1.6710770744995633,14058,0.2687080681231722,1.8607554417413572,0.7316003740864893
obs_wind_speed_10m,3,-0.0004718428303075198,0.17697765062744475,1638.6370515098063,0.341868901578553,0.17697827962003249,2.6327573220240077,6173,0.11799223961618595,4.237566823262595,0.9476931866125837
obs_wind_speed_10m,4,0.011472155507080998,0.38848613790276076,7902.64449355142,1.6487289788101416,0.38865548972654623,14.533959338337132,2702,0.0516466922797561,9.681162102146558,0.9952229234357455
obs_wind_speed_10m,5,-0.0406082119722091,0.6993057939516796,25670.781063012248,5.3556958916493755,0.7004838473041108,21.623551556409428,1208,0.023090008983695547,21.654387417218544,0.9993196148343888
obs_wind_speed_10m,6,-0.03105409041794419,0.4914562059731946,12686.535522083188,2.6467923203467967,0.4924363501217725,5.981388785491212,581,0.011105376837356882,45.02323580034423,0.9996555398676374
obs_wind_speed_10m,7,0.06189988634141729,1.020374856129004,54671.078905781964,11.406028977810054,1.0222506752012275,20.69411759620148,277,0.0052946460997381345,94.43501805054152,0.9999815149891665
obs_wind_speed_10m,8,-0.2641114198254182,1.4567616274249744,114674.1178655898,23.92446495584693,1.4805098044998075,14.799703046875507,129,0.0024657377143184815,202.77906976744185,0.9999973190085196
obs_wind_speed_10m,9,0.24580400582278897,1.4712481494904996,116404.8398465535,24.28554553926518,1.4916402805830065,7.9590597362976085,57,0.0010895120133035151,458.92105263157896,0.9999997971690333
obs_wind_speed_10m,10,0.16804591413299874,1.5392138180213089,125425.74925428526,26.167578163646144,1.5483599732764115,10.224949016969209,25,0.0004778561461857522,1046.34,0.9999998735278982
