Layer,Samples,EC_Correlation,GFS_Correlation,EC_RMSE,GFS_RMSE,EC_Better_Corr,EC_Better_RMSE
10m,52317,0.6106610798598082,0.6058042793049598,2.3579381694674457,2.443880733077971,True,True
30m,52317,0.6102331796626085,0.5907593210854798,2.5934521300353297,2.700333833936963,True,True
50m,52317,0.6035908206551795,0.5763535665434513,2.8855146816362622,3.0295581482243863,True,True
70m,52317,0.5924150812678748,0.5547828549327886,3.154346139382607,3.34681367104089,True,True
