Model,Correlation,RMSE,MAE,R²,Bias,MAPE(%),Std_Residuals,Sample_Size
EC_Original,0.5628128385712201,2.4155790721031187,1.751881766075115,0.09828804296196314,0.5137603106832951,inf,2.3603119702168964,10464
GFS_Original,0.5511718670410622,2.608761775258627,1.9628375657176989,-0.05170552796952976,0.6960439254405582,inf,2.5141918888398,10464
LightGBM_Enhanced,0.6018995510140615,2.135779635873371,1.60212577730458,0.29508265872037553,0.6504478733461756,inf,2.0343235281220213,10464
