datetime,actual_power,predicted_power,wind_speed,error,abs_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h
2022-07-14 23:45:00,116.3102,61.76157691940486,7.8438187,-54.548623080595135,54.548623080595135,7.8438187,61.52549179846969,482.59480309553317,23,7,0,7.2732215,9.347605
2022-07-15 00:00:00,111.2877,47.47557229201126,3.6995347,-63.81212770798874,63.81212770798874,3.6995347,13.686556996504091,50.63389253209466,0,7,0,7.8438187,8.361965
2022-07-15 00:15:00,108.7764,38.9837845102961,4.921076,-69.7926154897039,69.7926154897039,4.921076,24.216988997776003,119.17364334921955,0,7,0,3.6995347,6.710776
2022-07-15 00:30:00,108.7764,47.119632430778374,5.705847,-61.65676756922162,61.65676756922162,5.705847,32.556689987409,185.7634918945877,0,7,0,4.921076,6.462983
2022-07-15 00:45:00,108.7764,49.49339209744543,5.9262104,-59.283007902554566,59.283007902554566,5.9262104,35.119969705068165,208.1283297138599,0,7,0,5.705847,6.9873967
2022-07-15 01:00:00,108.7764,51.309353432499684,5.944745,-57.46704656750031,57.46704656750031,5.944745,35.339993115025,210.08724737057932,1,7,0,5.9262104,7.412639
2022-07-15 01:15:00,108.7764,41.78875947833971,5.257132,-66.98764052166028,66.98764052166028,5.257132,27.637436865424004,145.29365374320022,1,7,0,5.944745,6.250877
2022-07-15 01:30:00,108.7764,40.20040044850649,4.681778,-68.57599955149351,68.57599955149351,4.681778,21.919045241284003,102.62010379164815,1,7,0,5.257132,5.31024
2022-07-15 01:45:00,108.7764,37.58997457477979,4.764126,-71.18642542522021,71.18642542522021,4.764126,22.696896543876,108.1308749439898,1,7,0,4.681778,5.0626087
2022-07-15 02:00:00,75.1319,38.44827456202237,5.139409,-36.68362543797763,36.68362543797763,5.139409,26.413524869280998,135.74990743490656,2,7,0,4.764126,5.5826526
2022-07-15 02:15:00,7.8428,40.87227375835585,6.0185227,33.02947375835585,33.02947375835585,6.0185227,36.22261549041529,218.00663358243608,2,7,0,5.139409,5.9006686
2022-07-15 02:30:00,3.2501,42.92851110474531,6.4628453,39.67841110474531,39.67841110474531,6.4628453,41.768369371732085,269.94250968276265,2,7,0,6.0185227,6.0265665
2022-07-15 02:45:00,0.8525,48.52503093629099,6.2449145,47.67253093629099,47.67253093629099,6.2449145,38.99895711231025,243.54515275554442,2,7,0,6.4628453,6.15688
2022-07-15 03:00:00,0.0,50.270576537781366,5.387362,50.270576537781366,50.270576537781366,5.387362,29.023669319044004,156.36101318998357,3,7,0,6.2449145,6.990699
2022-07-15 03:15:00,0.0,37.8964784753944,4.0805435,37.8964784753944,37.8964784753944,4.0805435,16.650835255392252,67.94445757096169,3,7,0,5.387362,6.434251
2022-07-15 03:30:00,0.0,31.46665266827933,3.3046212,31.46665266827933,31.46665266827933,3.3046212,10.920521275489442,36.08818612203345,3,7,0,4.0805435,6.126611
2022-07-15 03:45:00,0.0,33.01902642528549,4.2277646,33.01902642528549,33.01902642528549,4.2277646,17.873993513013165,75.5670370349467,3,7,0,3.3046212,5.846282
2022-07-15 04:00:00,0.0,36.320051596221866,5.072342,36.320051596221866,36.320051596221866,5.072342,25.728653364964,130.50452906654823,4,7,0,4.2277646,6.1010165
2022-07-15 04:15:00,0.0,37.836077175863004,4.9372754,37.836077175863004,37.836077175863004,4.9372754,24.37668837544516,120.35442384955134,4,7,0,5.072342,5.9732013
2022-07-15 04:30:00,0.0,37.131803742678265,4.9016004,37.131803742678265,37.131803742678265,4.9016004,24.025686481280164,117.76431446691745,4,7,0,4.9372754,5.505606
2022-07-15 04:45:00,0.0,36.63428104968202,5.2199636,36.63428104968202,36.63428104968202,5.2199636,27.24801998532496,142.23367249546882,4,7,0,4.9016004,5.6290264
2022-07-15 05:00:00,0.0,37.09437542252221,5.441163,37.09437542252221,37.09437542252221,5.441163,29.606254792569004,161.09245814589914,5,7,0,5.2199636,6.193468
2022-07-15 05:15:00,0.0,43.57938334846914,5.287308,43.57938334846914,43.57938334846914,5.287308,27.955625886864002,147.81000439662316,5,7,0,5.441163,6.7880936
2022-07-15 05:30:00,0.0,44.88651078431685,5.211001,44.88651078431685,44.88651078431685,5.211001,27.154531422001003,141.50229039457867,5,7,0,5.287308,7.2732215
2022-07-15 05:45:00,0.0,46.326086833235486,5.436027,46.326086833235486,46.326086833235486,5.436027,29.550389544729,160.63671542566456,5,7,0,5.211001,7.8438187
2022-07-15 06:00:00,0.5115,35.42391216383723,5.7348604,34.91241216383723,34.91241216383723,5.7348604,32.88862380748816,188.61166628406104,6,7,1,5.436027,3.6995347
2022-07-15 06:15:00,3.8717,35.6627990756119,5.9990177,31.7910990756119,31.7910990756119,5.9990177,35.988213364913285,215.89392896749135,6,7,1,5.7348604,4.921076
2022-07-15 06:30:00,6.3758,37.23101181151932,6.0695734,30.855211811519325,30.855211811519325,6.0695734,36.83972125798756,223.60139221089588,6,7,1,5.9990177,5.705847
2022-07-15 06:45:00,8.9404,38.594768982813896,6.052911,29.654368982813896,29.654368982813896,6.052911,36.637731573921,221.76492845883374,6,7,1,6.0695734,5.9262104
2022-07-15 07:00:00,4.1452,37.41431775463553,5.8188767,33.26911775463553,33.26911775463553,5.8188767,33.85932604980289,197.02324342890105,7,7,1,6.052911,5.944745
2022-07-15 07:15:00,4.1452,35.81167367156629,5.7395706,31.66647367156629,31.66647367156629,5.7395706,32.94267067238437,189.07678407669954,7,7,1,5.8188767,5.257132
2022-07-15 07:30:00,6.2785,32.81228152453471,5.1647987,26.53378152453471,26.53378152453471,5.1647987,26.675145611521693,137.77175737669796,7,7,1,5.7395706,4.681778
2022-07-15 07:45:00,14.8118,31.651347494685574,4.8549633,16.839547494685576,16.839547494685576,4.8549633,23.57066864434689,114.43473122476487,7,7,1,5.1647987,4.764126
2022-07-15 08:00:00,14.8118,27.453342908737625,4.116349,12.641542908737625,12.641542908737625,4.116349,16.944329089801,69.74877210447323,8,7,1,4.8549633,5.139409
2022-07-15 08:15:00,16.1801,24.156859706657855,2.92684,7.976759706657855,7.976759706657855,2.92684,8.566392385599999,25.072459889869503,8,7,1,4.116349,6.0185227
2022-07-15 08:30:00,17.8076,22.943378183972325,1.9826028,5.135778183972324,5.135778183972324,1.9826028,3.93071386256784,7.793044309925815,8,7,1,2.92684,6.4628453
2022-07-15 08:45:00,11.8601,21.969483734675283,1.7836465,10.109383734675284,10.109383734675284,1.7836465,3.18139483696225,5.674483766065787,8,7,1,1.9826028,6.2449145
2022-07-15 09:00:00,14.858,21.969483734675283,2.1435258,7.111483734675282,7.111483734675282,2.1435258,4.5947028552656395,9.848864113595564,9,7,1,1.7836465,5.387362
2022-07-15 09:15:00,16.7065,21.969483734675283,2.4466558,5.262983734675284,5.262983734675284,2.4466558,5.986124603673639,14.64598648110081,9,7,1,2.1435258,4.0805435
2022-07-15 09:30:00,17.6676,21.969483734675283,2.6732168,4.3018837346752825,4.3018837346752825,2.6732168,7.14608805980224,19.103042655742755,9,7,1,2.4466558,3.3046212
2022-07-15 09:45:00,4.9785,21.969483734675283,2.8434143,16.990983734675282,16.990983734675282,2.8434143,8.08500488144449,22.989018495469068,9,7,1,2.6732168,4.2277646
2022-07-15 10:00:00,4.6972,22.071903050412583,2.9859338,17.374703050412585,17.374703050412585,2.9859338,8.915800657982441,26.621990538732014,10,7,1,2.8434143,5.072342
2022-07-15 10:15:00,9.2054,22.565431301458293,3.1395679,13.360031301458294,13.360031301458294,3.1395679,9.856886598710409,30.94636475925138,10,7,1,2.9859338,4.9372754
2022-07-15 10:30:00,26.0965,23.619818563900886,3.2073283,-2.4766814360991134,2.4766814360991134,3.2073283,10.286954823980889,32.99364132777542,10,7,1,3.1395679,4.9016004
2022-07-15 10:45:00,23.9632,24.586051634940983,3.307131,0.6228516349409823,0.6228516349409823,3.307131,10.937115451161,36.17047355911353,10,7,1,3.2073283,5.2199636
2022-07-15 11:00:00,23.1875,25.972193680600416,3.4530454,2.784693680600416,2.784693680600416,3.4530454,11.923522534461162,41.172464639417456,11,7,1,3.307131,5.441163
2022-07-15 11:15:00,23.1875,25.972193680600416,3.6019177,2.784693680600416,2.784693680600416,3.6019177,12.97381111757329,46.73059990084401,11,7,1,3.4530454,5.287308
2022-07-15 11:30:00,8.0304,26.062578067232575,3.8753088,18.032178067232575,18.032178067232575,3.8753088,15.01801829535744,58.19945845855969,11,7,1,3.6019177,5.211001
2022-07-15 11:45:00,3.1286,26.500503302950015,4.122863,23.371903302950017,23.371903302950017,4.122863,16.997999316768997,70.08042245713217,11,7,1,3.8753088,5.436027
2022-07-15 12:00:00,0.0,26.894418703299948,4.2393217,26.894418703299948,26.894418703299948,4.2393217,17.971848476090887,76.18844723380403,12,7,1,4.122863,5.7348604
2022-07-15 12:15:00,0.0,26.894418703299948,4.312799,26.894418703299948,26.894418703299948,4.312799,18.600235214401,80.21907583243342,12,7,1,4.2393217,5.9990177
2022-07-15 12:30:00,0.0,26.894418703299948,4.32823,26.894418703299948,26.894418703299948,4.32823,18.733574932899998,81.08322103182574,12,7,1,4.312799,6.0695734
2022-07-15 12:45:00,0.0,26.894418703299948,4.318341,26.894418703299948,26.894418703299948,4.318341,18.648068992281,80.52872090019574,12,7,1,4.32823,6.052911
2022-07-15 13:00:00,0.0,26.894418703299948,4.235992,26.894418703299948,26.894418703299948,4.235992,17.943628224064003,76.00906560810934,13,7,1,4.318341,5.8188767
2022-07-15 13:15:00,0.0,26.894418703299948,4.1710587,26.894418703299948,26.894418703299948,4.1710587,17.397730678845686,72.5669559082562,13,7,1,4.235992,5.7395706
2022-07-15 13:30:00,0.0,26.716613165062356,4.0607667,26.716613165062356,26.716613165062356,4.0607667,16.489826191828893,66.96133708856658,13,7,1,4.1710587,5.1647987
2022-07-15 13:45:00,0.0,26.716613165062356,4.009132,26.716613165062356,26.716613165062356,4.009132,16.073139393424,64.43933748263676,13,7,1,4.0607667,4.8549633
2022-07-15 14:00:00,0.0,27.51086892102961,4.1908913,27.51086892102961,27.51086892102961,4.1908913,17.56356988841569,73.60701224230327,14,7,1,4.009132,4.116349
2022-07-15 14:15:00,0.0,26.933179072403725,4.357123,26.933179072403725,26.933179072403725,4.357123,18.984520837128997,82.717892383434,14,7,1,4.1908913,2.92684
2022-07-15 14:30:00,0.0,26.933179072403725,4.4841943,26.933179072403725,26.933179072403725,4.4841943,20.107998520152492,90.16817234847626,14,7,1,4.357123,1.9826028
