obs_temperature_10m,wind_shear_alpha,wind_shear_linear,shear_category,hour,is_daytime,season,predicted_shear_category
0.77,0.02809946245885332,0.004833333333333334,weak,14,True,autumn,strong
0.93,-0.01768849599925747,-0.00300000000000001,weak,14,True,autumn,strong
1.16,-0.00857310907599467,-0.0015000000000000124,weak,14,True,autumn,strong
1.6,0.07610637674635123,0.011333333333333343,weak,15,True,autumn,strong
1.74,0.028435672009435184,0.00433333333333333,weak,15,True,autumn,strong
1.72,0.002084783152800727,0.000333333333333341,weak,15,True,autumn,strong
1.92,0.03310338069350831,0.0056666666666666645,weak,15,True,autumn,strong
1.88,0.005486511284462383,0.0010000000000000083,weak,16,True,autumn,strong
2.02,-0.04463569098266602,-0.008166666666666655,weak,16,True,autumn,strong
1.89,0.0,0.0,weak,16,True,autumn,strong
