datetime,power,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h
2021-05-01 00:00:00,29.6714,7.277479926,52.96171407333296,385.4278110152323,0,5,0,7.277479926,7.277479926
2021-05-01 00:15:00,29.1351,7.44375925,55.409551771960565,412.4553635408854,0,5,0,7.277479926,7.277479926
2021-05-01 00:30:00,28.5939,7.518032106,56.52080674684679,424.92523977981557,0,5,0,7.44375925,7.277479926
2021-05-01 00:45:00,28.0354,7.553033987,57.04832240877712,430.88791805482725,0,5,0,7.518032106,7.277479926
2021-05-01 01:00:00,27.4607,7.598131016,57.73159493630119,438.6522220886586,1,5,0,7.553033987,7.277479926
2021-05-01 01:15:00,26.846,7.69054135,59.14442625605982,454.8526557442538,1,5,0,7.598131016,7.277479926
2021-05-01 01:30:00,26.1943,7.906828745,62.51794080275828,494.31865141745754,1,5,0,7.69054135,7.277479926
2021-05-01 01:45:00,25.5088,8.023701630000001,64.37978784726468,516.5642086891519,1,5,0,7.906828745,7.277479926
2021-05-01 02:00:00,24.7929,8.151839729999999,66.45249098360645,541.7100561576298,2,5,0,8.023701630000001,7.277479926
2021-05-01 02:15:00,24.0616,8.22307211,67.61891492625986,556.0352134385902,2,5,0,8.151839729999999,7.277479926
2021-05-01 02:30:00,23.3508,8.234123463,67.80078920392711,558.2800691939732,2,5,0,8.22307211,7.277479926
2021-05-01 02:45:00,22.671,8.127373295,66.05419667627916,536.847114089469,2,5,0,8.234123463,7.277479926
2021-05-01 03:00:00,22.042,7.97730872,63.637454414188035,507.6556200169047,3,5,0,8.127373295,7.277479926
2021-05-01 03:15:00,21.4607,7.875229266,62.019235992062896,488.4157023396543,3,5,0,7.97730872,7.277479926
2021-05-01 03:30:00,20.9846,7.771725793,60.39972180158148,469.4100758153752,3,5,0,7.875229266,7.277479926
2021-05-01 03:45:00,20.6172,7.6095698899999995,57.9055539107946,440.63635950335436,3,5,0,7.771725793,7.277479926
2021-05-01 04:00:00,20.3628,7.435032424999999,55.27970716080137,411.00641518506285,4,5,0,7.6095698899999995,7.277479926
2021-05-01 04:15:00,20.2561,7.299358032000001,53.280627679322926,388.9143776010673,4,5,0,7.435032424999999,7.277479926
2021-05-01 04:30:00,20.2078,7.256977055,52.663715976796475,382.17937847464896,4,5,0,7.299358032000001,7.277479926
2021-05-01 04:45:00,20.2271,7.35919625,54.157769446014065,398.55765381547127,4,5,0,7.256977055,7.277479926
2021-05-01 05:00:00,20.3239,7.5294532400000005,56.6926660933465,426.864778400786,5,5,0,7.35919625,7.277479926
2021-05-01 05:15:00,20.4896,7.732795363,59.79612412603431,462.3911913671705,5,5,0,7.5294532400000005,7.277479926
2021-05-01 05:30:00,20.6961,7.910589257,62.57742239296381,495.0242853125307,5,5,0,7.732795363,7.277479926
2021-05-01 05:45:00,20.9446,7.904002517,62.47325578874234,493.7887709994043,5,5,0,7.910589257,7.277479926
2021-05-01 06:00:00,21.2163,7.91255279,62.60849165453679,495.3929953187968,6,5,1,7.904002517,7.277479926
2021-05-01 06:15:00,21.5223,7.776231625000001,60.46977828565016,470.2270022616111,6,5,1,7.91255279,7.44375925
2021-05-01 06:30:00,21.7287,7.68029662,58.98695617118342,453.0373201056282,6,5,1,7.776231625000001,7.518032106
2021-05-01 06:45:00,21.8222,7.591235285000001,57.62685315222904,437.4590010127146,6,5,1,7.68029662,7.553033987
2021-05-01 07:00:00,21.7702,7.545211070000001,56.93021009085055,429.55045139491136,7,5,1,7.591235285000001,7.598131016
2021-05-01 07:15:00,21.5737,7.490001465000001,56.100121945702156,420.18999555998784,7,5,1,7.545211070000001,7.69054135
2021-05-01 07:30:00,21.2264,7.4451613000000005,55.4304267830177,412.6884683274069,7,5,1,7.490001465000001,7.906828745
2021-05-01 07:45:00,20.7059,7.3953515,54.69122380855225,404.46082402941266,7,5,1,7.4451613000000005,8.023701630000001
2021-05-01 08:00:00,20.0254,7.38397032,54.523017686640905,402.5963443549916,8,5,1,7.3953515,8.151839729999999
2021-05-01 08:15:00,19.1833,7.35368048,54.07661660193304,397.66215993007893,8,5,1,7.38397032,8.22307211
2021-05-01 08:30:00,18.2548,7.35704125,54.12605595420156,398.207626354869,8,5,1,7.35368048,8.234123463
2021-05-01 08:45:00,17.2323,7.20431148,51.90210390085979,373.91892296911703,8,5,1,7.35704125,8.127373295
2021-05-01 09:00:00,16.1379,7.011329725,49.158744512668584,344.6681666453539,9,5,1,7.20431148,7.97730872
2021-05-01 09:15:00,14.9939,6.596063135,43.508048880906024,286.9818372991222,9,5,1,7.011329725,7.875229266
2021-05-01 09:30:00,13.999,6.140829030000001,37.70978117569075,231.5693189586293,9,5,1,6.596063135,7.771725793
2021-05-01 09:45:00,13.1391,5.331065445,28.42025877887305,151.51025951400803,9,5,1,6.140829030000001,7.6095698899999995
2021-05-01 10:00:00,12.3958,4.476809825,20.04182620921653,89.72344448436307,10,5,1,5.331065445,7.435032424999999
2021-05-01 10:15:00,11.7484,3.74173827,14.000605281182592,52.386600583765016,10,5,1,4.476809825,7.299358032000001
2021-05-01 10:30:00,11.2444,3.06315325,9.382907832985563,28.741284623060185,10,5,1,3.74173827,7.256977055
2021-05-01 10:45:00,10.879,2.5188519300000003,6.344615045264726,15.981145851872096,10,5,1,3.06315325,7.35919625
2021-05-01 11:00:00,10.6461,2.22544215,4.952592762996623,11.021708686557647,11,5,1,2.5188519300000003,7.5294532400000005
